 20180901
 Seconds  Measures(RH-%)  Meso-NH(RH-%)  FORECAST_AR(RH-%)
        7200   12.7540979       19.5009060       15.0446138    
        7260   12.7704916       19.4236584       14.9859657    
        7320   12.7704916       19.3422279       14.9194736    
        7380   12.7540979       19.2578983       14.8487272    
        7440   12.7213116       19.1698322       14.7766771    
        7500   12.7213116       19.0756550       14.7035398    
        7560   12.7049179       18.9758434       14.6283760    
        7620   12.6885242       18.8736153       14.5504379    
        7680   12.6557379       18.7693291       14.4736328    
        7740   12.6229506       18.6637707       14.4002628    
        7800   12.5737705       18.5577431       14.3299189    
        7860   12.5081968       18.4528370       14.2648468    
        7920   12.4590168       18.3499851       14.2076645    
        7980   12.3770494       18.2501030       14.1564674    
        8040   12.2786884       18.1555119       14.1078882    
        8100   12.1967211       18.0683002       14.0579681    
        8160   12.1147537       17.9881134       14.0025053    
        8220   12.0491800       17.9123497       13.9439821    
        8280   11.9836063       17.8375702       13.8829308    
        8340   11.9344263       17.7573318       13.8215046    
        8400   11.8852463       17.6712055       13.7669497    
        8460   11.8196726       17.5794086       13.7239170    
        8520   11.7868853       17.4851551       13.6950884    
        8580   11.7377052       17.3992500       13.6803770    
        8640   11.7213116       17.3270683       13.6755381    
        8700   11.7213116       17.2699070       13.6753111    
        8760   11.7213116       17.2282906       13.6763935    
        8820   11.7213116       17.1976357       13.6757946    
        8880   11.7213116       17.1722603       13.6688204    
        8940   11.7049179       17.1477318       13.6537161    
        9000   11.7049179       17.1196613       13.6288157    
        9060   11.6885242       17.0843563       13.5956516    
        9120   11.6885242       17.0413475       13.5569639    
        9180   11.7049179       16.9906101       13.5150566    
        9240   11.7213116       16.9329071       13.4713926    
        9300   11.7377052       16.8704300       13.4272099    
        9360   11.7377052       16.8045063       13.3816996    
        9420   11.7049179       16.7345638       13.3383961    
        9480   11.7049179       16.6579380       13.3010988    
        9540   11.6885242       16.5749416       13.2728739    
        9600   11.6885242       16.4909382       13.2572832    
        9660   11.6721315       16.4111595       13.2536297    
        9720   11.6557379       16.3408318       13.2584219    
        9780   11.6229506       16.2857666       13.2700214    
        9840   11.6065578       16.2475414       13.2890110    
        9900   11.5901642       16.2235260       13.2966919    
        9960   11.5409832       16.2131042       13.2570887    
       10020   11.4918032       16.2160664       13.1724463    
       10080   11.4590168       16.2183037       13.0953932    
       10140   11.4098358       16.1828899       13.0428085    
       10200   11.3442621       16.0866203       13.0086117    
       10260   11.2622948       15.9683666       12.9954920    
       10320   11.1967211       15.8747120       13.0014496    
       10380   11.1639347       15.8088923       13.0220718    
       10440   11.1475410       15.7671080       13.0504332    
       10500   11.1311474       15.7475071       13.0673246    
       10560   11.0655737       15.7483273       13.0564432    
       10620   11.0327873       15.7655182       13.0321960    
       10680   11.0000000       15.7757425       13.0131855    
       10740   10.9344263       15.7559090       13.0050478    
       10800   10.8688526       15.7125645       13.8125668    
       10860   10.8032789       15.6678810       13.8429813    
       10920   10.7377052       15.6344862       13.8855953    
       10980   10.6721315       15.6143064       13.9393301    
       11040   10.5901642       15.6089888       13.9986458    
       11100   10.4754095       15.6201124       14.0598211    
       11160   10.3606558       15.6454887       14.1200724    
       11220   10.2459021       15.6779232       14.1772223    
       11280   10.1475410       15.7123051       14.2306843    
       11340   10.0819674       15.7451162       14.2785206    
       11400   10.0000000       15.7753010       14.3209057    
       11460   9.91803265       15.8026571       14.3607101    
       11520   9.83606529       15.8273697       14.3988180    
       11580   9.75409794       15.8502073       14.4358397    
       11640   9.67213154       15.8715267       14.4738760    
       11700   9.59016418       15.8914518       14.5148535    
       11760   9.50819683       15.9112968       14.5618925    
       11820   9.44262314       15.9332256       14.6166372    
       11880   9.37704945       15.9598751       14.6724854    
       11940   9.29508209       15.9956493       14.7225494    
       12000   9.22950840       16.0386086       14.7541142    
       12060   9.14754105       16.0833149       14.7507010    
       12120   9.08196735       16.1240463       14.7045231    
       12180   9.01639366       16.1492100       14.6239433    
       12240   8.96721268       16.1459789       14.5264635    
       12300   8.86885262       16.1032314       14.4275389    
       12360   8.77049160       16.0220337       14.3367682    
       12420   8.68852425       15.9187765       14.2593355    
       12480   8.62295055       15.8107605       14.1996059    
       12540   8.55737686       15.7097044       14.1604109    
       12600   8.52459049       15.6210203       14.1414280    
       12660   8.49180317       15.5490456       14.1406946    
       12720   8.44262314       15.4978399       14.1544333    
       12780   8.37704945       15.4694109       14.1786709    
       12840   8.32786846       15.4617481       14.2113714    
       12900   8.27868843       15.4702501       14.2505589    
       12960   8.22950840       15.4911900       14.2916756    
       13020   8.18032742       15.5214863       14.3278446    
       13080   8.16393471       15.5569887       14.3517475    
       13140   8.13114738       15.5918293       14.3576155    
       13200   8.11475372       15.6188478       14.3409395    
       13260   8.06557369       15.6313190       14.3004189    
       13320   8.01639366       15.6244259       14.2410107    
       13380   7.96721315       15.5947390       14.1703577    
       13440   7.91803265       15.5430679       14.0953751    
       13500   7.86885262       15.4760590       14.0227737    
       13560   7.83606577       15.4012785       13.9729662    
       13620   7.80327892       15.3251114       13.9759750    
       13680   7.75409842       15.2600746       14.0185261    
       13740   7.72131157       15.2345648       14.0377207    
       13800   7.72131157       15.2633095       14.0066977    
       13860   7.72131157       15.3040380       13.9228334    
       13920   7.70491791       15.3095846       13.7915211    
       13980   7.67213106       15.2758427       13.6274443    
       14040   7.62295103       15.1969757       13.4470940    
       14100   7.55737686       15.0690603       13.2698050    
       14160   7.50819683       14.9060097       13.1152449    
       14220   7.47540998       14.7265587       12.9852171    
       14280   7.42622948       14.5574980       12.8602943    
       14340   7.37704897       14.4169521       12.7248793    
       14400   7.34426212       14.2945747       8.85658741    
       14460   7.31147528       14.1671171       8.73395348    
       14520   7.29508209       14.0244045       8.60410309    
       14580   7.27868843       13.8687563       8.46866417    
       14640   7.26229525       13.7038832       8.33044147    
       14700   7.22950840       13.5333090       8.19214439    
       14760   7.21311474       13.3593273       8.05459976    
       14820   7.18032789       13.1837044       7.91872025    
       14880   7.16393423       13.0081415       7.78692055    
       14940   7.13114738       12.8329315       7.66191959    
       15000   7.08196735       12.6586571       7.55091333    
       15060   7.03278685       12.4869547       7.45697594    
       15120   6.98360634       12.3204060       7.38078308    
       15180   6.91803265       12.1639004       7.32176971    
       15240   6.85245895       12.0227737       7.27695942    
       15300   6.84999990       11.8986778       7.24274302    
       15360   6.78333330       11.7907248       7.21462774    
       15420   6.71666670       11.6961479       7.17801762    
       15480   6.63333321       11.6128912       7.09317732    
       15540   6.55000019       11.5388765       6.96087027    
       15600   6.48333311       11.4665127       6.82406950    
       15660   6.45762730       11.3688993       6.69866896    
       15720   6.38983059       11.2184010       6.59728527    
       15780   6.37931013       11.0492144       6.52903032    
       15840   6.35087729       10.8950386       6.48658133    
       15900   6.32142878       10.7711926       6.45441294    
       15960   6.32727289       10.6780758       6.42071056    
       16020   6.33333349       10.6021633       6.37885475    
       16080   6.32075453       10.5297422       6.32501888    
       16140   6.28846169       10.4517422       6.25529480    
       16200   6.25490189       10.3635769       6.16753006    
       16260   6.21999979       10.2618437       6.06156826    
       16320   6.18367338       10.1432505       5.94058132    
       16380   6.14583349       10.0068016       5.80935812    
       16440   6.12765980       9.85459995       5.67217922    
       16500   6.08695650       9.69001770       5.53081131    
       16560   6.04444456       9.51675987       5.38612175    
       16620   6.00000000       9.33837605       5.23851490    
       16680   5.95348835       9.15644550       5.08865595    
       16740   5.90476179       8.97116756       4.93757153    
       16800   5.85365868       8.78274345       4.78703642    
       16860   5.77500010       8.59210682       4.63940048    
       16920   5.71794891       8.40066147       4.49613523    
       16980   5.65789461       8.21023750       4.35681629    
       17040   5.59459448       8.02336979       4.22054005    
       17100   5.55555534       7.84145880       4.08614874    
       17160   5.51428556       7.66437340       3.95272326    
       17220   5.44117641       7.49127340       3.82016635    
       17280   5.36363649       7.32124662       3.68865967    
       17340   5.31250000       7.15356445       3.55917430    
       17400   5.22580624       6.98790407       3.43435740    
       17460   5.13333321       6.82467794       3.32252359    
       17520   5.03448296       6.66572428       3.23631406    
       17580   4.96428585       6.51660490       3.17408681    
       17640   4.88888884       6.38963461       3.12753844    
       17700   4.80769253       6.29063606       3.08771586    
       17760   4.76000023       6.21043110       3.04829574    
       17820   4.66666651       6.14064598       3.00993061    
       17880   4.60869551       6.07367229       2.97626019    
       17940   4.54545450       6.00716925       2.94815087    
       18000   4.47619057       5.94392157       4.14779663    
       18060   4.40000010       5.88639498       4.12272406    
       18120   4.31578970       5.83381271       4.09371138    
       18180   4.16666651       5.78316593       4.06186485    
       18240   4.00000000       5.73144054       4.02985525    
       18300   3.81250000       5.67695284       3.99941158    
       18360   3.66666675       5.62016249       3.97185206    
       18420   3.57142854       5.56450272       3.94594097    
       18480   3.53846145       5.51308775       3.91901779    
       18540   3.41666675       5.46678305       3.88979220    
       18600   3.27272725       5.42417383       3.85544801    
       18660   3.20000005       5.38158846       3.80894756    
       18720   3.11111116       5.33519506       3.74690723    
       18780   3.00000000       5.28050900       3.66844463    
       18840   3.00000000       5.21304083       3.57359552    
       18900   3.00000000       5.13145590       3.46481371    
       18960   3.00000000       5.03535700       3.34415150    
       19020   3.00000000       4.92610168       3.21422577    
       19080   3.00000000       4.80504274       3.09019208    
       19140   3.00000000       4.67323732       3.01460767    
       19200   3.00000000       4.53725624       2.98964524    
       19260   3.00000000       4.42506981       2.97675943    
       19320   3.00000000       4.36969614       2.96779656    
       19380   9999.00000       4.34494972       2.96153641    
       19440   9999.00000       4.32789993       2.95668411    
       19500   9999.00000       4.31557751       2.95339823    
       19560   9999.00000       4.30757999       2.95252419    
       19620   9999.00000       4.30299664       2.95471668    
       19680   9999.00000       4.30160999       2.96200538    
       19740   9999.00000       4.30294991       2.97698760    
       19800   9999.00000       4.30653524       3.00087547    
       19860   9999.00000       4.31325340       3.03427339    
       19920   9999.00000       4.32557201       3.08071995    
       19980   9999.00000       4.34598875       3.14387846    
       20040   9999.00000       4.37638044       3.22118068    
       20100   9999.00000       4.41909838       3.30416703    
       20160   9999.00000       4.47669983       3.38208151    
       20220   9999.00000       4.54930782       3.46003747    
       20280   9999.00000       4.63238335       3.54252505    
       20340   9999.00000       4.71573925       3.62453890    
       20400   3.00000000       4.79587126       3.69616961    
       20460   3.00000000       4.87971163       3.75024009    
       20520   3.00000000       4.96597338       3.78654480    
       20580   3.00000000       5.04563141       3.81247950    
       20640   3.00000000       5.10898781       3.83547664    
       20700   3.00000000       5.15193462       3.85897422    
       20760   3.00000000       5.17943287       3.88481998    
       20820   3.00000000       5.20092058       3.91506243    
       20880   3.00000000       5.22243452       3.95304370    
       20940   3.00000000       5.24653149       3.99998593    
       21000   3.00000000       5.27507401       4.05397320    
       21060   3.00000000       5.31060600       4.11141396    
       21120   3.00000000       5.35547924       4.17081022    
       21180   3.00000000       5.40943575       4.23432350    
       21240   3.00000000       5.46989584       4.30357218    
       21300   3.00000000       5.53425884       4.37884617    
       21360   3.00000000       5.60177994       4.46123171    
       21420   3.00000000       5.67259169       4.55124664    
       21480   3.00000000       5.74740553       4.64781141    
       21540   3.00000000       5.82793236       4.74944544    
       21600   3.00000000       5.91602850       3.94584155    
       21660   3.00000000       6.01129961       4.06017876    
       21720   3.00000000       6.11172295       4.18028545    
       21780   3.00000000       6.21601391       4.30486727    
       21840   3.00000000       6.32460403       4.42684650    
       21900   3.00000000       6.43946266       4.53937817    
       21960   3.00000000       6.56084061       4.64153337    
       22020   3.00000000       6.68217182       4.74191809    
       22080   3.00000000       6.79489660       4.85725737    
       22140   3.00000000       6.89547396       4.98941326    
       22200   3.00000000       6.98809671       5.13121223    
       22260   3.00000000       7.08906651       5.27775478    
       22320   3.00000000       7.20730734       5.42624187    
       22380   3.00000000       7.33817053       5.57543087    
       22440   3.00000000       7.47532272       5.72317219    
       22500   3.00000000       7.61485672       5.86753082    
       22560   3.00000000       7.75490332       6.00731039    
       22620   3.00000000       7.89424610       6.14309359    
       22680   3.00000000       8.03093624       6.27654600    
       22740   3.00000000       8.16392612       6.40658331    
       22800   3.25000000       8.29368019       6.52955627    
       22860   3.44444442       8.42023087       6.64194584    
       22920   3.50000000       8.54192257       6.74217796    
       22980   3.54545450       8.65626049       6.83322859    
       23040   3.58333325       8.76065445       6.92187881    
       23100   3.69230771       8.85291004       7.01478386    
       23160   3.78571439       8.93421268       7.11495733    
       23220   3.79999995       9.01001167       7.22135353    
       23280   3.81250000       9.08629608       7.33080578    
       23340   3.82352948       9.16785145       7.43780947    
       23400   3.83333325       9.25604248       7.53679419    
       23460   3.84210515       9.34792614       7.62430286    
       23520   3.90000010       9.43756580       7.69727850    
       23580   3.95238090       9.51927662       7.75115299    
       23640   4.00000000       9.58958054       7.78262520    
       23700   4.04347849       9.64526176       7.79343939    
       23760   4.12500000       9.68114281       7.79168797    
       23820   4.23999977       9.69460106       7.79103565    
       23880   4.38461542       9.69001865       7.78762722    
       23940   4.51851845       9.67769432       7.77659559    
       24000   4.67857122       9.66333103       7.76246881    
       24060   4.85714293       9.64202785       7.75798750    
       24120   5.03571415       9.61465263       7.77414989    
       24180   5.13793087       9.58894634       7.81180143    
       24240   5.19999981       9.57475090       7.86049032    
       24300   5.25806475       9.57978439       7.90538692    
       24360   5.31250000       9.60257244       7.93621063    
       24420   5.39393950       9.63426590       7.95149040    
       24480   5.47058821       9.66463852       7.95400286    
       24540   5.54285717       9.68392563       7.94106483    
       24600   5.63888884       9.68686771       7.90731192    
       24660   5.75675678       9.67390060       7.85707903    
       24720   5.86842108       9.64534473       7.80246210    
       24780   5.94871807       9.59893513       7.75037050    
       24840   6.00000000       9.53596210       7.70068502    
       24900   6.09756088       9.46675682       7.65058041    
       24960   6.19047642       9.39896297       7.59518290    
       25020   6.30232573       9.33267307       7.53015804    
       25080   6.40909100       9.26531410       7.45660448    
       25140   6.53333330       9.19301701       7.38007545    
       25200   6.67391300       9.11102581       3.99904823    
       25260   6.80851078       9.01961231       3.94991326    
       25320   6.93750000       8.92400360       3.90110278    
       25380   7.06122446       8.82896137       3.85164809    
       25440   7.17999983       8.73516655       3.80491424    
       25500   7.31372547       8.64070606       3.76842380    
       25560   7.44230747       8.54522800       3.74653101    
       25620   7.56603765       8.45396996       3.73607421    
       25680   7.68518496       8.37474537       3.72412062    
       25740   7.80000019       8.31077957       3.69400024    
       25800   7.91071415       8.25659084       3.64579129    
       25860   8.01754379       8.19411564       3.58640742    
       25920   8.10344791       8.11226177       3.51971030    
       25980   8.20339012       8.01460171       3.44684315    
       26040   8.28333378       7.90714455       3.36769319    
       26100   8.36065578       7.79368973       3.28503799    
       26160   8.50819683       7.67541552       3.20334101    
       26220   8.65573788       7.55227566       3.12566924    
       26280   8.81967258       7.42637634       3.05308652    
       26340   8.96721268       7.30101919       2.98590040    
       26400   9.11475372       7.17869282       2.92457819    
       26460   9.24590206       7.06041622       2.86947203    
       26520   9.36065578       6.94714308       2.82135129    
       26580   9.49180317       6.84052706       2.78075528    
       26640   9.62295055       6.74205780       2.74484706    
       26700   9.75409794       6.65254545       2.70818210    
       26760   9.86885262       6.57023191       2.66557169    
       26820   9.96721268       6.49011230       2.61411428    
       26880   10.0983610       6.40639782       2.55405140    
       26940   10.2459021       6.31460619       2.48749924    
       27000   10.3934422       6.21397305       2.41762757    
       27060   10.5573769       6.10629749       2.34714270    
       27120   10.7213116       5.99435520       2.27794242    
       27180   10.8524590       5.88086319       2.21201062    
       27240   10.9836063       5.76787519       2.15203762    
       27300   11.1147537       5.65754795       2.09913397    
       27360   11.2622948       5.55226183       2.05315495    
       27420   11.3934422       5.45363569       2.01352096    
       27480   11.4918032       5.36215258       1.97721434    
       27540   11.5737705       5.27812862       1.94269061    
       27600   11.6557379       5.19983625       1.90997708    
       27660   11.7377052       5.12484598       1.87916005    
       27720   11.8360653       5.05265093       1.84679019    
       27780   11.9344263       4.98345947       1.80805862    
       27840   12.0163937       4.91582346       1.76117516    
       27900   12.1147537       4.84488487       1.70847690    
       27960   12.2131147       4.76685572       1.65745723    
       28020   12.3114758       4.68179226       1.61584246    
       28080   12.3934422       4.59481668       1.58462203    
       28140   12.4754095       4.51435375       1.56045628    
       28200   12.5409832       4.44517469       1.54385638    
       28260   12.5573769       4.38535070       1.53960454    
       28320   12.5901642       4.33284950       1.54557955    
       28380   12.6229506       4.29097652       1.55348933    
       28440   12.6229506       4.26245117       1.55945432    
       28500   12.6557379       4.24140882       1.56376088    
       28560   12.6557379       4.22120285       1.56706548    
       28620   12.6721315       4.19933701       1.57171845    
       28680   12.6721315       4.17628527       1.57969916    
       28740   12.6885242       4.15380001       1.58913600    
       28800   12.6885242       4.13465786       8.63538170    
