 20181031
 Seconds  Measures(TAU-ms)  Meso-NH(TAU-ms)  FORECAST_AR(TAU-ms)
       28680   5.85397768       6.45105124       6.40020275    
       28740   5.87117386       6.45105124       6.39807510    
       28800   5.81697845       6.43852234       6.39350224    
       28860   5.80182219       6.43852234       6.38504601    
       28920   5.78075552       6.42444468       6.37382936    
       28980   5.78075552       6.42444468       6.36050367    
       29040   5.74964428       6.40048075       6.34643936    
       29100   5.71008873       6.40048075       6.33279657    
       29160   5.72522211       6.36647415       6.32073927    
       29220   5.72522211       6.36647415       6.30955744    
       29280   5.65560007       6.32829571       6.29880857    
       29340   5.57922220       6.32829571       6.28807688    
       29400   5.52588892       6.29654694       6.27621031    
       29460   5.52588892       6.29654694       6.26465321    
       29520   5.51380014       6.26676512       6.25357676    
       29580   5.49631834       6.26676512       6.24065781    
       29640   5.47918606       6.23376036       6.22667789    
       29700   5.47918606       6.23376036       6.21181202    
       29760   5.46835709       6.20251417       6.19575453    
       29820   5.47017050       6.20251417       6.18078375    
       29880   5.47017479       6.16682053       6.16682053    
       29940   5.47017479       6.16682053       6.15305948    
       30000   5.47776937       6.12877464       6.14015293    
       30060   5.46210527       6.12877464       6.12877226    
       30120   5.40568399       6.09396267       6.12004900    
       30180   5.38576937       6.09396267       6.11429167    
       30240   5.37918425       6.06273890       6.11132717    
       30300   5.34789467       6.06273890       6.11068249    
       30360   5.33839464       6.04180145       6.11214542    
       30420   5.31530762       6.04180145       6.11664581    
       30480   5.31052637       6.03325081       6.12321806    
       30540   5.28018427       6.03325081       6.12974215    
       30600   5.27494717       6.03178072       6.13667488    
       30660   5.33364105       6.03178072       6.14218235    
       30720   5.32842112       6.04003906       6.14609289    
       30780   5.38657904       6.04003906       6.14900303    
       30840   5.36078930       6.04972553       6.15121841    
       30900   5.35587168       6.04972553       6.15352821    
       30960   5.36666679       6.05374908       6.15540361    
       31020   5.36997366       6.05374908       6.15741682    
       31080   5.41434193       6.05552197       6.16064739    
       31140   5.43748713       6.05552197       6.16614246    
       31200   5.48641014       6.05596495       6.17270756    
       31260   5.45363140       6.05596495       6.17984200    
       31320   5.47155285       6.06160736       6.18836451    
       31380   5.52892303       6.06160736       6.19796801    
       31440   5.60469246       6.07199907       6.20887375    
       31500   5.62471056       6.07199907       6.21961498    
       31560   5.71426296       6.08818531       6.23065424    
       31620   5.74464083       6.08818531       6.24284172    
       31680   5.79702568       6.10975647       6.25525713    
       31740   5.84431601       6.10975647       6.26977015    
       31800   5.91489458       6.13278580       6.28589249    
       31860   5.91092300       6.13278580       6.30261707    
       31920   5.97748709       6.15709543       6.31980944    
       31980   5.99123669       6.15709543       6.33667183    
       32040   6.03023672       6.18774700       6.35389996    
       32100   6.03341007       6.18774700       6.37120342    
       32160   6.07212830       6.22069216       6.38816404    
       32220   6.08642101       6.22069216       6.40516949    
       32280   6.09100008       6.25511789       5.19952488    
       32340   6.11756420       6.25511789       5.21686077    
       32400   6.15694857       6.28876162       5.23383951    
       32460   6.20313168       6.28876162       5.25152779    
       32520   6.19733334       6.31878853       5.27031374    
       32580   6.19979477       6.31878853       5.29012871    
       32640   6.19672489       6.34699535       5.31193256    
       32700   6.19674349       6.34699535       5.33377123    
       32760   6.20582056       6.38018370       5.35469055    
       32820   6.11361551       6.38018370       5.37445402    
       32880   6.11397505       6.41887188       5.39197159    
       32940   6.14710236       6.41887188       5.40744495    
       33000   6.18135881       6.45390320       5.42167234    
       33060   6.26707697       6.45390320       5.43569469    
       33120   6.26707697       6.48049498       5.44942808    
       33180   6.39646149       6.48049498       5.46287537    
       33240   6.46487522       6.50073528       5.47594929    
