 20190206
 Seconds  Measures(TAU-ms)  Meso-NH(TAU-ms)  FORECAST_AR(TAU-ms)
       32280   9.36341476       9.04580688       8.12650108    
       32340   9.47446346       9.04580688       8.08756065    
       32400   9.53390026       8.98950958       8.06267357    
       32460   9.66087532       8.98950958       8.05101013    
       32520   9.80025005       8.92038059       8.05171299    
       32580   9.94324398       8.92038059       8.06198120    
       32640   10.1055365       8.90415096       8.08054924    
       32700   10.2085505       8.90415096       8.10683727    
       32760   10.3674498       8.93414783       8.14372826    
       32820   10.4369516       8.93414783       8.17922783    
       32880   10.6144876       8.99357414       8.21438789    
       32940   10.6845503       8.99357414       8.25451374    
       33000   10.9020252       9.09201717       8.29521084    
       33060   10.9688540       9.09201717       8.33814240    
       33120   11.1194878       9.18874359       8.38194370    
       33180   11.2301502       9.18874359       8.42855549    
       33240   11.4155998       9.28708267       8.47251511    
       33300   11.5501461       9.28708267       8.51208782    
       33360   11.6709995       9.38769817       8.54973507    
       33420   11.9365997       9.38769817       8.58085346    
       33480   12.1263504       9.47736645       8.60314751    
       33540   12.1961708       9.47736645       8.61607933    
       33600   12.3095999       9.55914402       8.62488842    
       33660   12.5063000       9.55914402       8.63038826    
       33720   12.7142000       9.60549927       8.63291550    
       33780   12.7673655       9.60549927       8.63259697    
       33840   12.9022999       9.63376617       8.63469028    
       33900   13.1511250       9.63376617       8.64982891    
       33960   13.3989000       9.64863014       8.67980194    
       34020   13.5156345       9.64863014       8.71840668    
       34080   13.6333752       9.67170620       8.76233196    
       34140   13.7769251       9.67170620       8.80494881    
       34200   13.8191948       9.75179386       8.84121799    
       34260   14.0267076       9.75179386       8.88059235    
       34320   14.1292191       9.85113621       8.91394424    
       34380   14.2293253       9.85113621       8.94336796    
       34440   14.3557501       9.92442608       8.97666168    
       34500   14.3412437       9.92442608       9.01187229    
       34560   14.4376583       9.97343254       9.05636120    
       34620   14.5985746       9.97343254       9.10708046    
       34680   14.5861712       10.0370398       9.15437984    
       34740   14.6739511       10.0370398       9.19446278    
       34800   14.8145752       10.1364460       9.22434425    
       34860   14.7884150       10.1364460       9.24450302    
       34920   14.8509026       10.2217026       9.25664616    
       34980   14.7221670       10.2217026       9.26465797    
       35040   14.7221670       10.2663832       9.27838707    
       35100   14.6664190       10.2663832       9.30080318    
       35160   14.6072950       10.2788591       9.32954788    
       35220   14.5698442       10.2788591       9.35541153    
       35280   14.5668039       10.3130407       9.37493896    
       35340   14.5732441       10.3130407       9.38591194    
       35400   14.6103697       10.3715200       9.38771439    
       35460   14.6586742       10.3715200       9.38585281    
       35520   14.7035656       10.4046354       9.38924122    
       35580   14.7374449       10.4046354       9.39954472    
       35640   14.7899561       10.4012918       9.41256809    
       35700   14.7767391       10.4012918       9.43287277    
       35760   14.7985001       10.4182034       9.45953465    
       35820   14.7985001       10.4182034       9.49277878    
       35880   14.8125219       10.4455557       14.5422544    
       35940   14.8830004       10.4455557       14.5819626    
       36000   15.0043259       10.4977570       14.6221886    
       36060   15.0043259       10.4977570       14.6548100    
       36120   15.0708046       10.5546618       14.6815996    
       36180   15.1336308       10.5546618       14.7028255    
       36240   15.1465216       10.6150398       14.7164373    
       36300   15.1809330       10.6150398       14.7230864    
       36360   15.1681309       10.6511726       14.7237244    
       36420   15.2185001       10.6511726       14.7153120    
       36480   15.2629776       10.6572800       14.7012653    
       36540   15.2733774       10.6572800       14.6809273    
       36600   15.2875652       10.6404371       14.6518898    
       36660   15.2892218       10.6404371       14.6193218    
       36720   15.3144665       10.6028738       14.5835724    
       36780   15.2598448       10.6028738       14.5462618    
       36840   15.1759996       10.5340881       14.5099087    
       36900   15.1817780       10.5340881       14.4805365    
       36960   15.1189556       10.4555492       14.4559813    
       37020   15.0966959       10.4555492       14.4338293    
       37080   15.0321960       10.3854828       14.4182339    
       37140   15.0378914       10.3854828       14.4113417    
       37200   15.0389776       10.3378057       14.4128962    
       37260   14.9871302       10.3378057       14.4173765    
       37320   15.0007172       10.3180571       14.4219828    
       37380   14.9677172       10.3180571       14.4259386    
       37440   14.9693556       10.3338528       14.4301348    
       37500   14.9767609       10.3338528       14.4291477    
       37560   14.9763908       10.3516512       14.4259071    
       37620   15.0292826       10.3516512       14.4185619    
       37680   14.9591560       10.3719301       14.4026461    
       37740   15.0636740       10.3719301       14.3815918    
       37800   15.1218700       10.3847914       14.3515987    
       37860   15.1802177       10.3847914       14.3179836    
       37920   15.1374893       10.3659477       14.2821903    
       37980   15.2186441       10.3659477       14.2537107    
       38040   15.2617178       10.3144588       14.2322979    
       38100   15.2422390       10.3144588       14.2103844    
       38160   15.2751560       10.2570515       14.1914997    
       38220   15.3260002       10.2570515       14.1683817    
       38280   15.3815002       10.2295513       14.1349001    
       38340   15.4706736       10.2295513       14.1006279    
       38400   15.5289335       10.2159624       14.0638943    
       38460   15.6319561       10.2159624       14.0275459    
       38520   15.6654997       10.1629028       13.9993563    
       38580   15.7663040       10.1629028       13.9773855    
       38640   15.9068003       10.1008682       13.9646034    
       38700   15.9156084       10.1008682       13.9509611    
       38760   16.0108471       10.0711088       13.9279413    
       38820   16.1256084       10.0711088       13.8978024    
       38880   16.1968002       10.0775032       13.8657856    
       38940   16.2438660       10.0775032       13.8353586    
       39000   16.2501526       10.0471849       13.8054562    
       39060   16.2490005       10.0471849       13.7767906    
       39120   16.2021561       10.0097666       13.7459545    
       39180   16.0675335       10.0097666       13.7041855    
       39240   15.9999352       9.97487354       13.6552391    
       39300   15.9350433       9.97487354       13.6034212    
       39360   15.9346743       9.93224239       13.5495224    
       39420   15.9295778       9.93224239       13.4945688    
       39480   15.8929567       9.86218071       14.6012144    
       39540   15.8323698       9.86218071       14.5481596    
       39600   15.7230215       9.78471470       14.4961910    
       39660   15.6649332       9.78471470       14.4412594    
       39720   15.6001091       9.70203018       14.3778019    
       39780   15.5163040       9.70203018       14.3051863    
       39840   15.3938913       9.62278938       14.2314711    
       39900   15.3747330       9.62278938       14.1590509    
       39960   15.2386742       9.50917435       14.0951366    
       40020   15.1571302       9.50917435       14.0396023    
       40080   15.0622387       9.39095116       13.9856625    
       40140   15.0622387       9.39095116       13.9310541    
       40200   14.9978256       9.30622196       13.8771448    
       40260   14.8825436       9.30622196       13.8262577    
       40320   14.7971067       9.22839069       13.7833109    
       40380   14.7975216       9.22839069       13.7477779    
       40440   14.7565651       9.15366173       13.7179136    
       40500   14.7254782       9.15366173       13.6908865    
       40560   14.6260853       9.11144257       13.6649199    
       40620   14.6374130       9.11144257       13.6417141    
       40680   14.5558691       9.09264851       13.6140175    
       40740   14.4396744       9.09264851       13.5775328    
       40800   14.3585653       9.07838535       13.5249586    
       40860   14.3585653       9.07838535       13.4562273    
       40920   14.2760439       9.04628181       13.3796511    
       40980   14.1309566       9.04628181       13.2983322    
       41040   14.0210648       8.95084286       13.2250175    
       41100   14.0210648       8.95084286       13.1591959    
       41160   13.8993912       8.82465649       13.0947018    
       41220   13.7364998       8.82465649       13.0288181    
       41280   13.5980663       8.73004341       12.9574461    
       41340   13.5373039       8.73004341       12.8852720    
       41400   13.3452387       8.64068699       12.8087187    
       41460   13.2388000       8.64068699       12.7317171    
       41520   13.0561333       8.53063869       12.6574783    
       41580   13.0446301       8.53063869       12.5844641    
       41640   12.9444780       8.40446568       12.5171499    
       41700   12.8499107       8.40446568       12.4555950    
       41760   12.8034220       8.28999329       12.3961744    
       41820   12.7523909       8.28999329       12.3350725    
       41880   12.5911741       8.19863319       12.2702303    
       41940   12.4736671       8.19863319       12.2076101    
       42000   12.3437042       8.11621094       12.1462450    
       42060   12.3437042       8.11621094       12.0878019    
       42120   12.1594191       8.01926994       12.0342550    
       42180   12.0850000       8.01926994       11.9778385    
       42240   11.9711952       7.92700386       11.9171009    
       42300   11.9711952       7.92700386       11.8492203    
       42360   11.8626747       7.85352135       11.7776890    
       42420   11.7384872       7.85352135       11.7111998    
       42480   11.5909739       7.76264620       11.6526756    
       42540   11.5909739       7.76264620       11.5970392    
       42600   11.4569998       7.65706968       11.5447855    
       42660   11.3160000       7.65706968       11.4970617    
       42720   11.1756573       7.58255196       11.4534550    
       42780   11.1756573       7.58255196       11.4173183    
       42840   11.1118526       7.52121210       11.3871975    
       42900   11.0559092       7.52121210       11.3592854    
       42960   10.9586563       7.47603989       11.3354082    
       43020   10.8206778       7.47603989       11.3146935    
       43080   10.7383747       7.45458794       11.9435005    
       43140   10.6252584       7.45458794       11.9150229    
       43200   10.4634514       7.44895172       11.8848495    
       43260   10.4076662       7.44895172       11.8551741    
       43320   10.4076662       7.43536282       11.8283262    
       43380   10.3292065       7.43536282       11.8119955    
       43440   10.2788925       7.41490650       11.8058681    
       43500   10.2783337       7.41490650       11.8021412    
       43560   10.2783337       7.40824318       11.7956171    
       43620   10.3230381       7.40824318       11.7799091    
       43680   10.3023195       7.44203043       11.7607975    
       43740   10.2786665       7.44203043       11.7453966    
       43800   10.2786665       7.46480608       11.7338028    
       43860   10.2086954       7.46480608       11.7244549    
       43920   10.1898632       7.47671890       11.7112999    
       43980   10.1576195       7.47671890       11.6890669    
       44040   10.1576195       7.50479841       11.6604605    
       44100   10.1983995       7.50479841       11.6266594    
       44160   10.2102633       7.51826096       11.5836735    
       44220   10.2189445       7.51826096       11.5328150    
       44280   10.2189445       7.50510979       11.4760523    
       44340   10.2115879       7.50510979       11.4204836    
       44400   10.2936878       7.45623541       11.3678179    
       44460   10.2605333       7.45623541       11.3258400    
       44520   10.2605333       7.38269424       11.2953844    
       44580   10.3607140       7.38269424       11.2681856    
       44640   10.3888464       7.31984377       11.2441511    
       44700   10.3916664       7.31984377       11.2113647    
       44760   10.3916664       7.30051470       11.1695566    
       44820   10.4533634       7.30051470       11.1251259    
       44880   10.3859997       7.29350996       11.0767183    
       44940   10.3859997       7.29350996       11.0285444    
       45000   10.3396664       7.25033283       10.9819565    
       45060   9999.00000       7.25033283       10.9402962    
       45120   9999.00000       7.19015074       10.9022741    
       45180   9999.00000       7.19015074       10.8643322    
       45240   9999.00000       7.13505888       10.8281507    
       45300   9999.00000       7.13505888       10.7889090    
       45360   9999.00000       7.09332800       10.7451029    
       45420   9999.00000       7.09332800       10.7000828    
       45480   9999.00000       7.05771828       10.6560802    
       45540   9999.00000       7.05771828       10.6149416    
       45600   9999.00000       7.00295115       10.5777073    
       45660   9999.00000       7.00295115       10.5453186    
       45720   9999.00000       6.95152140       10.5147877    
       45780   9999.00000       6.95152140       10.4843302    
       45840   9999.00000       6.91474438       10.4539337    
       45900   9999.00000       6.91474438       10.4251566    
       45960   9999.00000       6.88521242       10.3981915    
       46020   9999.00000       6.88521242       10.3698149    
       46080   9999.00000       6.85535479       10.3364706    
       46140   9999.00000       6.85535479       10.2952795    
       46200   9999.00000       6.83260632       10.2502632    
       46260   9999.00000       6.83260632       10.2009678    
       46320   9999.00000       6.79025459       10.1511183    
       46380   9999.00000       6.79025459       10.1010294    
       46440   9999.00000       6.73273325       10.0462379    
       46500   9999.00000       6.73273325       9.98806286    
       46560   9999.00000       6.67263269       9.92853642    
       46620   9999.00000       6.67263269       9.86570549    
       46680   9999.00000       6.59357691       6.53690195    
       46740   9999.00000       6.59357691       6.49101067    
       46800   9999.00000       6.50875664       6.45535660    
       46860   9999.00000       6.50875664       6.42885303    
       46920   9999.00000       6.43884277       6.40966749    
       46980   9999.00000       6.43884277       6.39554119    
       47040   9999.00000       6.40640259       6.38078785    
       47100   9999.00000       6.40640259       6.36597252    
       47160   9999.00000       6.39933872       6.34908390    
       47220   9999.00000       6.39933872       6.33578253    
       47280   9999.00000       6.39194870       6.32972288    
       47340   9999.00000       6.39194870       6.32451725    
       47400   9999.00000       6.37387323       6.31923962    
       47460   9999.00000       6.37387323       6.31325006    
       47520   9999.00000       6.38259268       6.30485630    
       47580   9999.00000       6.38259268       6.29997063    
       47640   9999.00000       6.38876438       6.29315376    
       47700   9999.00000       6.38876438       6.28187609    
       47760   9999.00000       6.38473272       6.26627541    
       47820   9999.00000       6.38473272       6.25070190    
       47880   9999.00000       6.37096691       6.24347782    
       47940   9999.00000       6.37096691       6.24289846    
       48000   9999.00000       6.33986044       6.24680853    
       48060   9999.00000       6.33986044       6.25377321    
       48120   9999.00000       6.33958292       6.26518726    
       48180   9999.00000       6.33958292       6.28005886    
       48240   9999.00000       6.35655642       6.29455471    
       48300   9999.00000       6.35655642       6.30874920    
       48360   9999.00000       6.39049911       6.32248306    
       48420   9999.00000       6.39049911       6.33592653    
       48480   9999.00000       6.42152262       6.35216427    
       48540   9999.00000       6.42152262       6.37287855    
       48600   9999.00000       6.45052528       6.39987183    
       48660   9999.00000       6.45052528       6.43180275    
       48720   9999.00000       6.49030066       6.45914078    
       48780   9999.00000       6.49030066       6.48315287    
       48840   9999.00000       6.55500603       6.50770903    
       48900   9999.00000       6.55500603       6.53102112    
       48960   9999.00000       6.60087395       6.55391169    
       49020   9999.00000       6.60087395       6.57785320    
       49080   9999.00000       6.64828253       6.60079575    
       49140   9999.00000       6.64828253       6.62055874    
       49200   9999.00000       6.69283247       6.63515091    
       49260   9999.00000       6.69283247       6.64354181    
       49320   9999.00000       6.73329115       6.64950800    
       49380   9999.00000       6.73329115       6.65619612    
       49440   9999.00000       6.75263119       6.66098022    
       49500   9999.00000       6.75263119       6.66378546    
       49560   9999.00000       6.76239872       6.67007589    
       49620   9999.00000       6.76239872       6.67954922    
       49680   9999.00000       6.76412773       6.69399881    
       49740   9999.00000       6.76412773       6.71681213    
       49800   9999.00000       6.77899837       6.74600792    
       49860   9999.00000       6.77899837       6.77757072    
       49920   9999.00000       6.81313992       6.81086731    
       49980   9999.00000       6.81313992       6.84217501    
       50040   9999.00000       6.87210751       6.86893320    
       50100   9999.00000       6.87210751       6.89566088    
       50160   9999.00000       6.93787384       6.92187977    
       50220   9999.00000       6.93787384       6.94548941    
