 20190531
 Seconds  Measures(TAU-ms)  Meso-NH(TAU-ms)  FORECAST_AR(TAU-ms)
       25080   2.80204439       2.84720135       2.52001595    
       25140   2.80438638       2.84720135       2.51404786    
       25200   2.80438638       2.83631086       2.50831509    
       25260   2.80241871       2.83631086       2.50323009    
       25320   2.80559516       2.82211399       2.49831510    
       25380   2.80346346       2.82211399       2.49316263    
       25440   2.80346346       2.80852652       2.48761272    
       25500   2.80287814       2.80852652       2.48233223    
       25560   2.81639028       2.79623508       2.47760439    
       25620   2.81645012       2.79623508       2.47258377    
       25680   2.81941462       2.78258801       2.46721745    
       25740   2.80897570       2.78258801       2.46187806    
       25800   2.80302429       2.77095938       2.45675969    
       25860   2.78870010       2.77095938       2.45113897    
       25920   2.79565859       2.75784874       2.44506526    
       25980   2.78929257       2.75784874       2.43869257    
       26040   2.78719521       2.74491787       2.43208075    
       26100   2.77835011       2.74491787       2.42602229    
       26160   2.78321958       2.72956896       2.42038059    
       26220   2.77002430       2.72956896       2.41468525    
       26280   2.77402449       2.71282125       2.40876961    
       26340   2.77402449       2.71282125       2.40273452    
       26400   2.78292680       2.69746852       2.39662695    
       26460   2.79212189       2.69746852       2.39075089    
       26520   2.80029273       2.68137670       2.38515091    
       26580   2.80029273       2.68137670       2.37889504    
       26640   2.82382917       2.66535306       2.37194180    
       26700   2.83551216       2.66535306       2.36485529    
       26760   2.83978057       2.65103388       2.35744810    
       26820   2.83978057       2.65103388       2.34940410    
       26880   2.86660981       2.63450432       2.34085631    
       26940   2.89097571       2.63450432       2.33201027    
       27000   2.90529275       2.61706877       2.32279325    
       27060   2.90529275       2.61706877       2.31389022    
       27120   2.91834140       2.59799838       2.30575204    
       27180   2.93768287       2.59799838       2.29819179    
       27240   2.94226193       2.57786775       2.29095292    
       27300   2.94826818       2.57786775       2.28329825    
       27360   2.95219517       2.56115723       2.27517581    
       27420   2.96453667       2.56115723       2.26637292    
       27480   2.96397567       2.54605722       2.25665665    
       27540   2.96397567       2.54605722       2.24672079    
       27600   2.97029257       2.52940035       2.23672318    
       27660   3.00131702       2.52940035       2.22691154    
       27720   3.01659513       2.50926161       2.21741486    
       27780   3.02797556       2.50926161       2.20778751    
       27840   3.04990244       2.48881912       2.19789624    
       27900   3.07646346       2.48881912       2.18781018    
       27960   3.08209515       2.46958661       2.17711091    
       28020   3.10292864       2.46958661       2.16593838    
       28080   3.11734152       2.44930363       2.15487170    
       28140   3.13780499       2.44930363       2.14390421    
       28200   3.15080953       2.42650628       2.13309383    
       28260   3.17992854       2.42650628       2.12244177    
       28320   3.19339013       2.40404963       2.11225295    
       28380   3.22648787       2.40404963       2.10262465    
       28440   3.23314285       2.38211751       2.09317112    
       28500   3.24214292       2.38211751       2.08398318    
       28560   3.26565862       2.36182094       2.07511854    
       28620   3.26958537       2.36182094       2.06628394    
       28680   3.28621960       2.34201884       2.33899164    
       28740   3.28438091       2.34201884       2.32944274    
       28800   3.28438091       2.32337999       2.32000375    
       28860   3.28495359       2.32337999       2.31060433    
       28920   3.27543187       2.30469537       2.30110741    
       28980   3.27191114       2.30469537       2.29172158    
       29040   3.27191114       2.28718185       2.28267241    
       29100   3.27460861       2.28718185       2.27395248    
       29160   3.28102183       2.26947188       2.26574135    
       29220   3.27047825       2.26947188       2.25801921    
       29280   3.27047825       2.25289798       2.25054383    
       29340   3.27423906       2.25289798       2.24339223    
       29400   3.27652168       2.23862171       2.23658347    
       29460   3.28263044       2.23862171       2.22984505    
       29520   3.28263044       2.22572422       2.22319722    
       29580   3.27530432       2.22572422       2.21656632    
       29640   3.26813054       2.21394444       2.20996165    
       29700   3.25271749       2.21394444       2.20341182    
       29760   3.25271749       2.20229363       2.19695902    
       29820   3.25273919       2.20229363       2.19074607    
       29880   3.25613046       2.19103765       2.18476319    
       29940   3.25928879       2.19103765       2.17912865    
       30000   3.24978256       2.18048167       2.17376614    
       30060   3.23617387       2.18048167       2.16859460    
       30120   3.22432613       2.17098522       2.16359901    
       30180   3.22117400       2.17098522       2.15866184    
       30240   3.22117400       2.16237545       2.15389132    
       30300   3.21775556       2.16237545       2.14931035    
       30360   3.21900010       2.15418386       2.14490366    
       30420   3.21422219       2.15418386       2.14093685    
       30480   3.20508695       2.14657593       2.13735914    
       30540   3.19811106       2.14657593       2.13407564    
       30600   3.16828895       2.13973594       2.13135815    
       30660   3.13420010       2.13973594       2.12920260    
       30720   3.11432600       2.13452268       2.12735772    
       30780   3.10375547       2.13452268       2.12536383    
       30840   3.08271122       2.13140512       2.12300134    
       30900   3.06704450       2.13140512       2.12060189    
       30960   3.05913043       2.12925959       2.11815214    
       31020   3.04900002       2.12925959       2.11571097    
       31080   3.03748894       2.12540555       2.11418557    
       31140   3.02200007       2.12540555       2.11376476    
       31200   2.99878263       2.12107944       2.11392856    
       31260   2.97884774       2.12107944       2.11455250    
       31320   2.95973325       2.12014747       2.11554980    
       31380   2.94919991       2.12014747       2.11683059    
       31440   2.95650005       2.12144780       2.11835623    
       31500   2.95066667       2.12144780       2.12022400    
       31560   2.94860005       2.12423205       2.12280798    
       31620   2.94406676       2.12423205       2.12651801    
       31680   2.93371105       2.12798524       2.13072467    
       31740   2.93371105       2.12798524       2.13486814    
       31800   2.91754556       2.13451838       2.13880658    
       31860   2.90354538       2.13451838       2.14249063    
       31920   2.89411354       2.14297223       2.14643741    
       31980   2.90722227       2.14297223       2.15035343    
       32040   2.88479543       2.15061927       2.15416408    
       32100   2.88106823       2.15061927       2.15825820    
       32160   2.88090920       2.15930367       2.16256452    
       32220   2.87131119       2.15930367       2.16700554    
       32280   2.86563635       2.16755795       3.44775963    
       32340   2.85318184       2.16755795       3.44900393    
       32400   2.85359097       2.17660141       3.45034981    
       32460   2.87048888       2.17660141       3.45196819    
       32520   2.86052275       2.18609476       3.45387316    
       32580   2.86461353       2.18609476       3.45625591    
       32640   2.85809088       2.19672966       3.45878601    
       32700   2.85793328       2.19672966       3.46121025    
       32760   2.84570456       2.20880365       3.46373963    
       32820   2.83929539       2.20880365       3.46615314    
       32880   2.83975005       2.22116113       3.46838903    
       32940   2.84633327       2.22116113       3.47057033    
       33000   2.84031820       2.23356009       3.47247934    
       33060   2.85165906       2.23356009       3.47407007    
       33120   2.85297728       2.24526024       3.47527885    
       33180   2.85337782       2.24526024       3.47609925    
       33240   2.85602283       2.25598884       3.47736931    
       33300   2.87002277       2.25598884       3.47903180    
       33360   2.88920450       2.26557636       3.48104858    
       33420   2.89626670       2.26557636       3.48331261    
       33480   2.89438629       2.27741814       3.48543048    
       33540   2.90170455       2.27741814       3.48738241    
       33600   2.90728879       2.29111695       3.48891115    
       33660   2.91597772       2.29111695       3.49014544    
       33720   2.92318177       2.30461979       3.49133778    
       33780   2.93697739       2.30461979       3.49255967    
       33840   2.93718171       2.31684375       3.49397802    
       33900   2.93682218       2.31684375       3.49546671    
       33960   2.93682218       2.32910180       3.49739027    
       34020   2.93693328       2.32910180       3.49973011    
       34080   2.93359995       2.34199071       3.50222993    
       34140   2.93237782       2.34199071       3.50494814    
       34200   2.93237782       2.35636258       3.50752592    
       34260   2.94177771       2.35636258       3.50972128    
       34320   2.94848895       2.37125516       3.51207709    
       34380   2.95075560       2.37125516       3.51486897    
       34440   2.94156528       2.38546371       3.51805615    
       34500   2.95393324       2.38546371       3.52187228    
       34560   2.95948887       2.40009379       3.52598763    
       34620   2.95880008       2.40009379       3.53042912    
       34680   2.95242214       2.41617703       3.53502440    
       34740   2.95242214       2.41617703       3.53886604    
       34800   2.94597769       2.43335295       3.54186440    
       34860   2.96315551       2.43335295       3.54453373    
       34920   2.96537781       2.45090485       3.54715300    
       34980   2.96537781       2.45090485       3.54980922    
       35040   2.95195556       2.46491075       3.55259776    
       35100   2.93953323       2.46491075       3.55555868    
       35160   2.93953323       2.47855687       3.55853033    
       35220   2.92337775       2.47855687       3.56115270    
       35280   2.91868877       2.49250650       3.56324363    
       35340   2.91702271       2.49250650       3.56544089    
       35400   2.91646671       2.50616431       3.56800532    
       35460   2.91630435       2.50616431       3.57106686    
       35520   2.91373920       2.51741481       3.57444263    
       35580   2.90331101       2.51741481       3.57760191    
       35640   2.89039993       2.52987099       3.58031940    
       35700   2.89754343       2.52987099       3.58266664    
       35760   2.89245653       2.54336786       3.58463120    
       35820   2.88968897       2.54336786       3.58629036    
       35880   2.90855551       2.55500841       3.06501222    
       35940   2.91202164       2.55500841       3.06853271    
       36000   2.91736960       2.56507516       3.07224154    
       36060   2.91048884       2.56507516       3.07596397    
       36120   2.89913344       2.57374930       3.07946444    
       36180   2.90904355       2.57374930       3.08257580    
       36240   2.90784788       2.58231163       3.08489776    
       36300   2.90957785       2.58231163       3.08682394    
       36360   2.91064453       2.58931208       3.08884716    
       36420   2.91073918       2.58931208       3.09092069    
       36480   2.91013336       2.59313583       3.09321570    
       36540   2.90891123       2.59313583       3.09579587    
       36600   2.90002227       2.59740210       3.09854698    
       36660   2.90206528       2.59740210       3.10166240    
       36720   2.89842224       2.60260391       3.10489464    
       36780   2.90411115       2.60260391       3.10822415    
       36840   2.91073322       2.60818076       3.11154008    
       36900   2.92115211       2.60818076       3.11404681    
       36960   2.91617775       2.61417627       3.11587858    
       37020   2.91233325       2.61417627       3.11710548    
       37080   2.91557789       2.62053061       3.11807656    
       37140   2.91700006       2.62053061       3.11921477    
       37200   2.90644455       2.62451029       3.12072515    
       37260   2.90453339       2.62451029       3.12282777    
       37320   2.89748883       2.62727380       3.12526846    
       37380   2.90032601       2.62727380       3.12775064    
       37440   2.89395547       2.63100553       3.13016295    
       37500   2.90202212       2.63100553       3.13238502    
       37560   2.90753341       2.63585019       3.13485670    
       37620   2.90828252       2.63585019       3.13718748    
       37680   2.90788889       2.64036417       3.13908601    
       37740   2.91455555       2.64036417       3.14073753    
       37800   2.90619993       2.64581919       3.14226913    
       37860   2.88745642       2.64581919       3.14399362    
       37920   2.88826656       2.64957380       3.14607596    
       37980   2.88468885       2.64957380       3.14802170    
       38040   2.88204455       2.65304732       3.14977288    
       38100   2.87095547       2.65304732       3.15137839    
       38160   2.87095547       2.65820765       3.15231538    
       38220   2.86488891       2.65820765       3.15290475    
       38280   2.84666657       2.66270971       3.15298867    
       38340   2.83771110       2.66270971       3.15275288    
       38400   2.83771110       2.66468787       3.15283585    
       38460   2.82686663       2.66468787       3.15334034    
       38520   2.81388879       2.66471505       3.15440869    
       38580   2.80804443       2.66471505       3.15576744    
       38640   2.80804443       2.66602468       3.15704131    
       38700   2.80895567       2.66602468       3.15814209    
       38760   2.79979992       2.66958165       3.15893817    
       38820   2.79132605       2.66958165       3.15960789    
       38880   2.79451108       2.67282557       3.16053438    
       38940   2.78180003       2.67282557       3.16188169    
       39000   2.76469564       2.67484355       3.16323304    
       39060   2.75156522       2.67484355       3.16431022    
       39120   2.74806666       2.67787004       3.16535902    
       39180   2.73648882       2.67787004       3.16655707    
       39240   2.72997832       2.68102837       3.16777039    
       39300   2.72795653       2.68102837       3.16921282    
       39360   2.71352172       2.68419886       3.17081594    
       39420   2.70475554       2.68419886       3.17258143    
       39480   2.69971728       2.68752813       2.95390725    
       39540   2.68642211       2.68752813       2.95621133    
       39600   2.67775011       2.69158316       2.95839190    
       39660   2.66818595       2.69158316       2.96001720    
       39720   2.66818595       2.69611406       2.96086097    
       39780   2.64104652       2.69611406       2.96118021    
       39840   2.62404752       2.69975948       2.96147728    
       39900   2.59738088       2.69975948       2.96207571    
       39960   2.57695341       2.70062852       2.96218491    
       40020   2.55341864       2.70062852       2.96132350    
       40080   2.54480958       2.70159197       2.96065879    
       40140   2.53555822       2.70159197       2.96002245    
       40200   2.52548838       2.70050526       2.95915246    
       40260   2.52047610       2.70050526       2.95822310    
       40320   2.49992847       2.69994640       2.95742035    
       40380   2.49986053       2.69994640       2.95696092    
       40440   2.47395349       2.69859886       2.95708084    
       40500   2.45740485       2.69859886       2.95783710    
       40560   2.43045235       2.69776249       2.95905972    
