 20180811
 Seconds  Measures(GLF-%)  Meso-NH(GLF-%)  FORECAST_AR(GLF-%)
       25080   74.8255844       39.3290863       72.0500031    
       25140   74.9045486       39.3290863       72.0500031    
       25200   74.9931793       39.8388977       72.0500031    
       25260   75.1090927       39.8388977       72.0500031    
       25320   75.0186081       40.2258339       72.0500031    
       25380   75.0454559       40.2258339       72.0500031    
       25440   74.5568161       40.5797806       72.0500031    
       25500   74.1954575       40.5797806       72.0500031    
       25560   74.1954575       40.8729439       72.0500031    
       25620   74.3090897       40.8729439       72.0500031    
       25680   74.2511139       41.0850983       72.0500031    
       25740   74.0022202       41.0850983       72.0500031    
       25800   73.8568192       41.0384026       72.0500031    
       25860   73.5636368       41.0384026       72.0500031    
       25920   73.7113647       40.8505402       72.0500031    
       25980   73.7113647       40.8505402       72.0500031    
       26040   73.7681808       40.8699532       72.0500031    
       26100   73.5250015       40.8699532       72.0500031    
       26160   73.5733337       41.2432823       72.0500031    
       26220   73.4340897       41.2432823       72.0500031    
       26280   73.0000000       41.6822395       72.0500031    
       26340   73.0500031       41.6822395       72.0500031    
       26400   73.0466690       42.1769829       72.0500031    
       26460   72.8795471       42.1769829       72.0500031    
       26520   73.1454544       42.6671410       72.0500031    
       26580   73.1636353       42.6671410       72.0500031    
       26640   73.2799988       42.9685974       72.0500031    
       26700   73.2886353       42.9685974       72.0500031    
       26760   73.3090897       42.9401741       72.0500031    
       26820   73.1590881       42.9401741       72.0500031    
       26880   73.1590881       42.8959846       72.0500031    
       26940   72.6386337       42.8959846       72.0500031    
       27000   72.6976776       43.1461754       72.0500031    
       27060   72.6204529       43.1461754       72.0500031    
       27120   72.1999969       43.6701164       72.0500031    
       27180   71.1454544       43.6701164       72.0500031    
       27240   71.1454544       44.1659431       72.0500031    
       27300   70.6340942       44.1659431       72.0500031    
       27360   69.8750000       44.3130989       72.0500031    
       27420   69.9511642       44.3130989       72.0500031    
       27480   69.9386368       44.2205582       72.0500031    
