 20190201
 Seconds  Measures(SEE-arcsec)  Meso-NH(SEE-arcsec)  FORECAST_AR(SEE-arcsec)
       28740  0.700538456      0.631090164       1.05397248    
       28800  0.700538456      0.632742226       1.05397248    
       28860  0.700538456      0.632742226       1.05397248    
       28920  0.700538456      0.634054005       1.05397248    
       28980  0.700538456      0.634054005       1.05397248    
       29040  0.700538456      0.634392560       1.05397248    
       29100  0.700538456      0.634392560       1.05397248    
       29160  0.700538456      0.634099185       1.05397248    
       29220  0.700538456      0.634099185       1.05397248    
       29280  0.700538456      0.634709895       1.05397248    
       29340  0.700538456      0.634709895       1.05397248    
       29400  0.700538456      0.636132061       1.05397248    
       29460  0.700538456      0.636132061       1.05397248    
       29520  0.700538456      0.637839973       1.05397248    
       29580  0.700538456      0.637839973       1.05397248    
       29640  0.700538456      0.638452053       1.05397248    
       29700  0.700538456      0.638452053       1.05397248    
       29760  0.700538456      0.640230894       1.05397248    
       29820  0.700538456      0.640230894       1.05397248    
       29880  0.700538456      0.641039073       1.05397248    
       29940  0.700538456      0.641039073       1.05397248    
       30000  0.700538456      0.639015198       1.05397248    
       30060  0.700538456      0.639015198       1.05397248    
       30120  0.700538456      0.638600171       1.05397248    
       30180  0.700538456      0.638600171       1.05397248    
       30240  0.700538456      0.636571348       1.05397248    
       30300  0.700538456      0.636571348       1.05397248    
       30360  0.700538456      0.632841229       1.05397248    
       30420  0.700538456      0.632841229       1.05397248    
       30480  0.700538456      0.630031049       1.05397248    
       30540  0.700538456      0.630031049       1.05397248    
       30600  0.700538456      0.627745450       1.05397248    
       30660  0.700538456      0.627745450       1.05397248    
       30720  0.700538456      0.626817167       1.05397248    
       30780  0.700538456      0.626817167       1.05397248    
       30840  0.700538456      0.627853572       1.05397248    
       30900  0.700538456      0.627853572       1.05397248    
       30960  0.707000017      0.631715238       1.05397248    
       31020  0.714363635      0.631715238       1.05397248    
       31080  0.714500010      0.635965824       1.05397248    
       31140  0.714500010      0.635965824       1.05397248    
       31200  0.717199981      0.639982998       1.05397248    
       31260  0.718900025      0.639982998       1.05397248    
       31320  0.721777797      0.643734455       1.05397248    
       31380  0.722800016      0.643734455       1.05397248    
       31440  0.724666655      0.646604776       1.05397248    
       31500  0.725750029      0.646604776       1.05397248    
       31560  0.731875002      0.649034858       1.05397248    
       31620  0.734888911      0.649034858       1.05397248    
       31680  0.729125023      0.651069760       1.05397248    
       31740  0.718874991      0.651069760       1.05397248    
       31800  0.711374998      0.650624514       1.05397248    
       31860  0.714777768      0.650624514       1.05397248    
       31920  0.712000012      0.647913456       1.05397248    
       31980  0.719777763      0.647913456       1.05397248    
       32040  0.736500025      0.646172106       1.05397248    
       32100  0.735636353      0.646172106       1.05397248    
       32160  0.735636353      0.645389616       1.05397248    
       32220  0.737749994      0.645389616       1.05397248    
       32280  0.753000021      0.644608140       1.05397248    
       32340  0.765714288      0.644608140      0.649935782    
       32400  0.765714288      0.642159283      0.649935782    
       32460  0.774800003      0.642159283      0.649935782    
       32520  0.789437473      0.638329566      0.649935782    
