 20190403
 Seconds  Measures(TEMP-C°)  Meso-NH(TEMP-C°)  FORECAST_AR(TEMP-C°)
       16200   12.3398361       13.0797815       12.4932213    
       16260   12.3308201       13.0731478       12.4866095    
       16320   12.3222952       13.0656815       12.4808426    
       16380   12.3121309       13.0580769       12.4756260    
       16440   12.3011475       13.0508451       12.4711828    
       16500   12.2913113       13.0443687       12.4680319    
       16560   12.2832785       13.0387945       12.4669771    
       16620   12.2763939       13.0342560       12.4679298    
       16680   12.2685242       13.0313091       12.4688644    
       16740   12.2606554       13.0306015       12.4689903    
       16800   12.2524586       13.0313387       12.4682007    
       16860   12.2432785       13.0317574       12.4664993    
       16920   12.2340984       13.0309811       12.4644213    
       16980   12.2255735       13.0291119       12.4627514    
       17040   12.2168856       13.0267391       12.4621582    
       17100   12.2096720       13.0243311       12.4624472    
       17160   12.2040987       13.0224266       12.4626112    
       17220   12.1983604       13.0217419       12.4616127    
       17280   12.1916389       13.0219631       12.4597387    
       17340   12.1837702       13.0220366       12.4572077    
       17400   12.1773767       13.0214434       12.4539633    
       17460   12.1731148       13.0202017       12.4494877    
       17520   12.1678686       13.0182438       12.4429674    
       17580   12.1608200       13.0153685       12.4344797    
       17640   12.1485243       13.0110455       12.4241686    
       17700   12.1314754       13.0048876       12.4112654    
       17760   12.1122952       12.9971046       12.3950949    
       17820   12.0898361       12.9877701       12.3760033    
       17880   12.0640984       12.9760246       12.3550358    
       17940   12.0370493       12.9610729       12.3333273    
       18000   12.0144262       12.9429607       11.9534378    
       18060   11.9927874       12.9225626       11.9395189    
       18120   11.9734430       12.9009180       11.9283648    
       18180   11.9559021       12.8795748       11.9187040    
       18240   11.9399996       12.8608170       11.9109182    
       18300   11.9259014       12.8454094       11.9046812    
       18360   11.9121313       12.8325224       11.8996105    
       18420   11.8986883       12.8213787       11.8952332    
       18480   11.8867216       12.8117743       11.8916788    
       18540   11.8755741       12.8037167       11.8894424    
       18600   11.8622952       12.7968168       11.8888168    
       18660   11.8437700       12.7908802       11.8901415    
       18720   11.8244267       12.7859840       11.8932571    
       18780   11.8063936       12.7822866       11.8975410    
       18840   11.7888527       12.7799664       11.9019213    
       18900   11.7745905       12.7790470       11.9059982    
       18960   11.7624588       12.7793884       11.9097166    
       19020   11.7532787       12.7805958       11.9132214    
       19080   11.7452459       12.7817984       11.9166803    
       19140   11.7362299       12.7821226       11.9204569    
       19200   11.7281971       12.7816553       11.9240685    
       19260   11.7190161       12.7809925       11.9273148    
       19320   11.7088528       12.7804317       11.9299221    
       19380   11.6983604       12.7797270       11.9317188    
       19440   11.6886883       12.7784090       11.9337177    
       19500   11.6796722       12.7761879       11.9365454    
       19560   11.6696720       12.7735977       11.9392843    
       19620   11.6586885       12.7715168       11.9413624    
       19680   11.6486883       12.7700768       11.9423695    
       19740   11.6413116       12.7687759       11.9429379    
       19800   11.6368856       12.7670765       11.9430361    
       19860   11.6314754       12.7646713       11.9424791    
       19920   11.6239347       12.7615166       11.9410391    
       19980   11.6203279       12.7576160       11.9384613    
       20040   11.6177053       12.7526932       11.9351816    
       20100   11.6129513       12.7463665       11.9314098    
       20160   11.6073771       12.7385645       11.9267769    
       20220   11.6021309       12.7295809       11.9208431    
       20280   11.5970488       12.7200384       11.9138308    
       20340   11.5906553       12.7101994       11.9065170    
       20400   11.5827866       12.6996746       11.8996792    
       20460   11.5732784       12.6883717       11.8938789    
       20520   11.5627871       12.6766224       11.8896894    
       20580   11.5519676       12.6648788       11.8866262    
       20640   11.5406561       12.6536837       11.8840017    
       20700   11.5303278       12.6435575       11.8811626    
       20760   11.5206556       12.6343927       11.8784533    
       20820   11.5108194       12.6255522       11.8760042    
       20880   11.5009832       12.6167030       11.8739586    
       20940   11.4924593       12.6079865       11.8722458    
       21000   11.4842625       12.5998650       11.8711357    
       21060   11.4760656       12.5925608       11.8708172    
       21120   11.4659014       12.5858459       11.8717985    
       21180   11.4559021       12.5796061       11.8746681    
       21240   11.4470491       12.5741196       11.8798304    
       21300   11.4403276       12.5699911       11.8877439    
       21360   11.4355736       12.5678434       11.8983240    
       21420   11.4303274       12.5682459       11.9111500    
       21480   11.4249182       12.5717764       11.9257040    
       21540   11.4195080       12.5786743       11.9414730    
       21600   11.4137707       12.5881271       11.4100313    
       21660   11.4065571       12.5989847       11.4017668    
       21720   11.3985243       12.6105051       11.3925133    
       21780   11.3898363       12.6215677       11.3827314    
       21840   11.3827868       12.6304083       11.3732157    
       21900   11.3783607       12.6367569       11.3628778    
       21960   11.3747540       12.6417561       11.3509111    
       22020   11.3722954       12.6460228       11.3383179    
       22080   11.3708200       12.6488609       11.3254337    
       22140   11.3691807       12.6495104       11.3120050    
       22200   11.3677053       12.6484976       11.2976551    
       22260   11.3657379       12.6462460       11.2820730    
       22320   11.3644266       12.6426382       11.2657938    
       22380   11.3647537       12.6374121       11.2487059    
       22440   11.3654099       12.6305151       11.2308168    
       22500   11.3663931       12.6222191       11.2133770    
       22560   11.3659019       12.6127615       11.1975441    
       22620   11.3659019       12.6026726       11.1832819    
       22680   11.3649178       12.5931940       11.1693830    
       22740   11.3632784       12.5848503       11.1552095    
       22800   11.3626232       12.5770769       11.1411104    
       22860   11.3609838       12.5690718       11.1273346    
       22920   11.3604918       12.5603676       11.1140699    
       22980   11.3611479       12.5510921       11.1013489    
       23040   11.3616390       12.5416555       11.0888834    
       23100   11.3613119       12.5322428       11.0766163    
       23160   11.3596725       12.5227051       11.0646038    
       23220   11.3567209       12.5128040       11.0535297    
       23280   11.3540983       12.5026512       11.0438328    
       23340   11.3490162       12.4927912       11.0354013    
       23400   11.3409834       12.4838228       11.0279531    
       23460   11.3290167       12.4760780       11.0214186    
       23520   11.3180332       12.4694643       11.0160465    
       23580   11.3106556       12.4637823       11.0120659    
       23640   11.2996721       12.4589853       11.0086708    
       23700   11.2883606       12.4551458       11.0043974    
       23760   11.2809839       12.4523649       10.9985342    
       23820   11.2757378       12.4503307       10.9919939    
       23880   11.2700005       12.4475508       10.9857597    
       23940   11.2644262       12.4431677       10.9798279    
       24000   11.2601643       12.4378891       10.9735136    
       24060   11.2552462       12.4325342       10.9664612    
       24120   11.2519674       12.4272623       10.9584427    
       24180   11.2509832       12.4214811       10.9494152    
       24240   11.2513113       12.4144850       10.9400005    
       24300   11.2516394       12.4059153       10.9309139    
       24360   11.2514753       12.3960638       10.9227161    
       24420   11.2508192       12.3856936       10.9153814    
       24480   11.2509832       12.3753691       10.9086628    
       24540   11.2514753       12.3654680       10.9024134    
       24600   11.2518034       12.3560724       10.8965969    
       24660   11.2518034       12.3471565       10.8909121    
       24720   11.2513113       12.3386927       10.8849268    
       24780   11.2511473       12.3302975       10.8783073    
       24840   11.2506561       12.3214426       10.8710222    
       24900   11.2495079       12.3117208       10.8632860    
       24960   11.2463932       12.3008423       10.8555136    
       25020   11.2427874       12.2887602       10.8485746    
       25080   11.2395086       12.2757444       10.8428497    
       25140   11.2363930       12.2624912       10.8377838    
       25200   11.2336063       12.2502203       11.2186136    
       25260   11.2316389       12.2393484       11.2154732    
       25320   11.2291803       12.2290287       11.2120056    
       25380   11.2268848       12.2184381       11.2076874    
       25440   11.2252455       12.2073030       11.2036457    
       25500   11.2231150       12.1956711       11.1995411    
       25560   11.2211475       12.1837339       11.1956072    
       25620   11.2185249       12.1721325       11.1926060    
       25680   11.2172127       12.1615820       11.1901779    
       25740   11.2162294       12.1519489       11.1882105    
       25800   11.2155733       12.1430550       11.1861286    
       25860   11.2147541       12.1349545       11.1836300    
       25920   11.2144260       12.1275377       11.1807747    
       25980   11.2142620       12.1204996       11.1771088    
       26040   11.2131147       12.1134501       11.1729908    
       26100   11.2104921       12.1058197       11.1688976    
       26160   11.2077045       12.0974884       11.1651955    
       26220   11.2057381       12.0888615       11.1618214    
       26280   11.2034426       12.0803413       11.1586218    
       26340   11.2004919       12.0721006       11.1560535    
       26400   11.1975412       12.0641823       11.1539927    
       26460   11.1944265       12.0566301       11.1518297    
       26520   11.1916389       12.0494709       11.1497602    
       26580   11.1891804       12.0425949       11.1479502    
       26640   11.1863937       12.0357103       11.1461430    
       26700   11.1839342       12.0286160       11.1439543    
       26760   11.1808195       12.0213385       11.1413126    
       26820   11.1786880       12.0139742       11.1374245    
       26880   11.1786880       12.0064087       11.1312370    
       26940   11.1781969       11.9982681       11.1224489    
       27000   11.1786880       11.9889889       11.1125956    
       27060   11.1806555       11.9777002       11.1029406    
       27120   11.1837702       11.9640455       11.0932512    
       27180   11.1868849       11.9487829       11.0830078    
       27240   11.1881971       11.9333448       11.0713568    
       27300   11.1886883       11.9179926       11.0580320    
       27360   11.1881971       11.9021883       11.0435572    
       27420   11.1860657       11.8856783       11.0287542    
       27480   11.1827869       11.8687820       11.0139017    
       27540   11.1803274       11.8513813       10.9996481    
       27600   11.1772127       11.8332834       10.9871616    
       27660   11.1740980       11.8147078       10.9768610    
       27720   11.1732788       11.7962351       10.9678783    
       27780   11.1726227       11.7793627       10.9588337    
       27840   11.1714754       11.7647800       10.9486208    
       27900   11.1688528       11.7518740       10.9367523    
       27960   11.1662292       11.7393799       10.9229670    
       28020   11.1631145       11.7260523       10.9083395    
       28080   11.1593447       11.7112093       10.8945332    
       28140   11.1522951       11.6943655       10.8818378    
       28200   11.1422949       11.6760740       10.8691006    
       28260   11.1300001       11.6581011       10.8556995    
       28320   11.1172132       11.6418371       10.8415270    
       28380   11.1047544       11.6265821       10.8275251    
       28440   11.0913115       11.6111050       10.8150034    
       28500   11.0778685       11.5949507       10.8040457    
       28560   11.0654097       11.5784121       10.7938004    
       28620   11.0532789       11.5626564       10.7831707    
       28680   11.0418034       11.5481968       10.7711201    
       28740   11.0309839       11.5345707       10.7580395    
       28800   11.0206556       11.5208015       10.9813175    
       28860   11.0088520       11.5061245       10.9716969    
       28920   10.9960651       11.4906559       10.9637480    
       28980   10.9811478       11.4754524       10.9556389    
       29040   10.9659014       11.4618168       10.9455404    
       29100   10.9503279       11.4500685       10.9311647    
       29160   10.9344263       11.4390783       10.9129868    
       29220   10.9186888       11.4266262       10.8928633    
       29280   10.9045906       11.4107733       10.8718615    
       29340   10.8896723       11.3916311       10.8510857    
       29400   10.8750820       11.3696661       10.8302059    
       29460   10.8616390       11.3457632       10.8084373    
       29520   10.8490162       11.3215437       10.7865849    
       29580   10.8365574       11.2978878       10.7666368    
       29640   10.8229504       11.2739487       10.7493925    
       29700   10.8072128       11.2494116       10.7343149    
