 20181223
 Seconds  Measures(GLF-%)  Meso-NH(GLF-%)  FORECAST_AR(GLF-%)
       31980   63.9577789       62.4323158       60.8464050    
       32040   64.0977783       61.8129845       60.5473175    
       32100   64.3133316       61.8129845       60.2565308    
       32160   64.2522736       61.1874390       59.9679947    
       32220   64.4244461       61.1874390       59.6912613    
       32280   64.6200027       60.6540222       64.8932953    
       32340   64.9466629       60.6540222       65.1861725    
       32400   64.8681793       60.1311989       65.4740524    
       32460   65.1999969       60.1311989       65.7365646    
       32520   65.5355530       59.7338943       65.9288330    
       32580   65.8244476       59.7338943       66.0535965    
       32640   66.2565231       59.3738136       66.1770401    
       32700   66.1733322       59.3738136       66.3108063    
       32760   66.4288864       58.8900414       66.4694290    
       32820   66.7933350       58.8900414       66.6353989    
       32880   67.2755585       58.6123619       66.8093491    
       32940   67.2755585       58.6123619       66.9873047    
       33000   67.4777756       58.4309006       67.1069489    
       33060   67.3222198       58.4309006       67.2458878    
       33120   67.3045425       58.2249527       67.4372253    
       33180   67.2066650       58.2249527       67.6251526    
       33240   67.0911102       57.9000053       67.8211212    
       33300   66.9886398       57.9000053       68.0027618    
       33360   66.7697678       57.7625275       68.1559677    
       33420   66.7697678       57.7625275       68.2434540    
       33480   67.1452408       57.6259880       68.2889404    
       33540   68.0634155       57.6259880       68.3333206    
       33600   68.6774979       57.3969383       68.3933105    
       33660   68.6774979       57.3969383       68.5737991    
       33720   69.4743576       57.0522423       68.8181381    
       33780   70.1692276       57.0522423       69.1042175    
       33840   71.0128174       56.8089600       69.4198914    
       33900   71.2500000       56.8089600       69.6763229    
       33960   71.8358994       56.8432503       69.8989792    
       34020   72.4410248       56.8432503       70.1456451    
       34080   72.7384644       56.9466667       70.4590683    
       34140   72.8075027       56.9466667       70.8268585    
       34200   73.4666672       56.9532166       71.2008514    
       34260   73.5153809       56.9532166       71.5641327    
       34320   73.6051254       57.2742844       71.8165283    
       34380   73.6051254       57.2742844       71.9958344    
       34440   73.5487213       57.7472076       72.1470337    
       34500   73.4102554       57.7472076       72.3910751    
       34560   73.6589737       57.8850861       72.6894608    
       34620   73.6589737       57.8850861       73.0396347    
       34680   73.8974380       57.9594688       73.5340424    
       34740   73.9897461       57.9594688       74.0636673    
       34800   73.9000015       58.2098694       74.5910873    
       34860   73.4775009       58.2098694       75.0533447    
       34920   73.5205154       59.0037384       75.4134216    
       34980   73.7820511       59.0037384       75.6768417    
       35040   73.6875000       59.8155746       75.7711945    
       35100   73.9150009       59.8155746       75.7431412    
       35160   73.9150009       60.2698593       75.6639175    
       35220   74.0299988       60.2698593       75.5627060    
       35280   74.0749969       60.0813713       75.5029907    
       35340   74.3724976       60.0813713       75.5250473    
       35400   74.3724976       59.7189522       75.6218109    
       35460   74.7399979       59.7189522       75.8237457    
       35520   74.9100037       59.5486031       76.1206360    
       35580   75.0699997       59.5486031       76.4529266    
       35640   75.0699997       59.7008095       76.7914200    
       35700   75.3574982       59.7008095       77.1147385    
       35760   75.3824997       60.2454224       77.4074554    
       35820   75.3097534       60.2454224       77.6759415    
       35880   75.3925018       60.8209763       75.1398315    
       35940   74.9824982       60.8209763       74.8940277    
       36000   74.6825027       61.2970047       74.5969772    
       36060   74.3146362       61.2970047       74.3441238    
       36120   74.1774979       61.6859016       74.0906143    
       36180   73.7774963       61.6859016       73.9253693    
       36240   73.3399963       61.8887367       73.8301239    
       36300   72.9550018       61.8887367       73.7558899    
       36360   72.9550018       62.0731010       73.6018143    
       36420   72.7649994       62.0731010       73.3691788    
       36480   72.5049973       62.3704338       73.1000214    
       36540   72.0999985       62.3704338       72.7680664    
       36600   72.0999985       62.4322510       72.4440384    
       36660   71.8249969       62.4322510       72.1669159    
       36720   71.7675018       62.2234077       71.9096985    
       36780   71.4829254       62.2234077       71.6283569    
       36840   71.6975021       61.9755707       71.3278503    
       36900   70.9899979       61.9755707       71.0047531    
       36960   70.5682907       61.7503815       70.6461868    
       37020   70.1333313       61.7503815       70.2370682    
       37080   70.1333313       61.4870796       69.7736359    
       37140   69.8674393       61.4870796       69.2318878    
       37200   69.4568176       61.1082153       68.6367950    
       37260   69.4568176       61.1082153       68.0131454    
       37320   69.3955536       60.5254860       67.3741226    
       37380   69.2869568       60.5254860       66.7362823    
       37440   69.0999985       59.7434387       66.1115952    
       37500   68.8466644       59.7434387       65.4932251    
       37560   68.6022186       58.8137093       64.9208984    
       37620   68.5782623       58.8137093       64.3214645    
       37680   68.3391342       57.9531021       63.7009354    
       37740   68.2355576       57.9531021       63.0290184    
       37800   68.3333359       57.2751198       62.2718735    
       37860   68.5217361       57.2751198       61.4633713    
       37920   68.9869537       56.4922104       60.6446037    
       37980   69.2434769       56.4922104       59.8944283    
       38040   69.2434769       55.3678017       59.2543793    
       38100   69.5086975       55.3678017       58.6805191    
       38160   69.8826065       54.1376686       58.1475449    
       38220   70.1108704       54.1376686       57.7116165    
       38280   70.1108704       53.3071251       57.3218803    
       38340   70.0434799       53.3071251       56.9148293    
       38400   70.0152206       52.6003036       56.4808502    
       38460   70.0586929       52.6003036       56.0652275    
       38520   70.3488922       52.1169891       55.6300163    
       38580   70.6999969       52.1169891       55.2001953    
       38640   70.6066666       51.5642166       54.8032913    
       38700   70.9244461       51.5642166       54.4977303    
       38760   71.0733337       50.9550934       54.3482819    
       38820   71.3739166       50.9550934       54.2709045    
       38880   71.2733307       50.4524879       54.1861305    
       38940   71.0444412       50.4524879       54.0381241    
       39000   70.7488861       50.5385437       53.7339630    
       39060   70.6282578       50.5385437       53.2902870    
       39120   70.4622192       50.5884399       52.7577133    
       39180   70.2577744       50.5884399       52.1519585    
       39240   69.6777802       50.0191689       51.5196915    
       39300   69.6434784       50.0191689       50.8926849    
       39360   69.4933319       49.0803337       50.2785797    
       39420   69.2022247       49.0803337       49.6844177    
       39480   69.0955582       48.0360565       69.1267319    
       39540   69.0955582       48.0360565       69.4072189    
       39600   69.4244461       47.0091019       69.6793289    
       39660   69.5355530       47.0091019       69.9444809    
       39720   69.8466644       46.1127739       70.2193222    
       39780   69.8466644       46.1127739       70.5252686    
       39840   70.1177750       45.3977814       70.8106155    
       39900   70.1244431       45.3977814       71.0838242    
       39960   70.3888855       44.9249420       71.2991943    
       40020   70.3888855       44.9249420       71.5224152    
       40080   70.3933334       44.5746613       71.7450790    
       40140   70.0911102       44.5746613       71.9423752    
       40200   69.7399979       44.1628380       72.1273804    
       40260   69.7399979       44.1628380       72.2489853    
       40320   69.8422241       43.7731171       72.2800903    
       40380   69.7888870       43.7731171       72.2309341    
       40440   69.9955521       43.4146690       72.1482468    
       40500   69.9955521       43.4146690       72.0377045    
       40560   70.4222260       42.8292694       71.9824142    
       40620   70.7955551       42.8292694       71.9861450    
       40680   71.0955582       42.0872726       72.0905914    
       40740   71.0955582       42.0872726       72.3147659    
       40800   71.4755554       41.5921402       72.6419067    
       40860   71.7333298       41.5921402       73.0391083    
       40920   71.4891281       41.4474907       73.4112320    
       40980   71.5955582       41.4474907       73.7556229    
       41040   71.3688889       41.6740799       74.0796356    
       41100   71.3022232       41.6740799       74.3648071    
       41160   70.9456558       41.9632988       74.6358643    
       41220   70.9777756       41.9632988       74.8600311    
       41280   70.7088852       42.1641464       75.0759354    
       41340   70.1577759       42.1641464       75.2930908    
       41400   69.5130463       42.2597084       75.4730377    
       41460   69.2822189       42.2597084       75.6572647    
       41520   68.3799973       42.2157860       75.8195190    
       41580   67.2844467       42.2157860       75.9136353    
       41640   66.5822220       42.1328964       75.9400177    
       41700   66.5822220       42.1328964       75.8118210    
       41760   65.5355530       42.0401573       75.5649414    
       41820   64.4488907       42.0401573       75.2588196    
       41880   63.1311111       41.7318497       74.8880539    
       41940   63.1311111       41.7318497       74.5199509    
