 20190713
 Seconds  Measures(TAU-ms)  Meso-NH(TAU-ms)  FORECAST_AR(TAU-ms)
       25080   5.19725561       3.68682981       5.11675549    
       25140   5.15870476       3.68682981       5.09567642    
       25200   5.12240887       3.69362164       5.07403088    
       25260   5.10977268       3.69362164       5.05504513    
       25320   5.09830236       3.69735575       5.03960943    
       25380   5.08243179       3.69735575       5.02526712    
       25440   5.06263638       3.69940615       5.01086807    
       25500   5.06479073       3.69940615       4.99688530    
       25560   5.03034878       3.70110440       4.98146963    
       25620   4.98993158       3.70110440       4.96705818    
       25680   4.95786381       3.70226979       4.95376253    
       25740   4.96816301       3.70226979       4.93845940    
       25800   4.93956804       3.70313430       4.92211437    
       25860   4.93411350       3.70313430       4.90592289    
       25920   4.93577290       3.70367670       4.89160013    
       25980   4.93472099       3.70367670       4.87840176    
       26040   4.91750002       3.70395160       4.86240625    
       26100   4.87488651       3.70395160       4.84666395    
       26160   4.86376762       3.70325589       4.83127594    
       26220   4.83202314       3.70325589       4.81952524    
       26280   4.80365896       3.70210385       4.81330919    
       26340   4.76697731       3.70210385       4.80892801    
       26400   4.75083733       3.70193815       4.80338144    
       26460   4.71348858       3.70193815       4.79688263    
       26520   4.71348858       3.70136189       4.79081154    
       26580   4.65927887       3.70136189       4.78352547    
       26640   4.60604668       3.69915605       4.77635574    
       26700   4.60604668       3.69915605       4.76859808    
       26760   4.55627918       3.69570494       4.76037788    
       26820   4.51137209       3.69570494       4.75131464    
       26880   4.47369051       3.69240713       4.74585438    
       26940   4.45072079       3.69240713       4.74224615    
       27000   4.41858149       3.68888354       4.73846817    
       27060   4.41354752       3.68888354       4.73162937    
       27120   4.38769770       3.68464541       4.72165442    
       27180   4.35753489       3.68464541       4.71233177    
       27240   4.33926201       3.67995286       4.70369911    
       27300   4.30451202       3.67995286       4.69427490    
       27360   4.30451202       3.67444062       4.68341875    
       27420   4.24949980       3.67444062       4.67341375    
       27480   4.21199989       3.66769671       4.66471863    
       27540   4.21199989       3.66769671       4.65545511    
       27600   4.16242123       3.66031337       4.64707947    
       27660   4.12064886       3.66031337       4.63760662    
       27720   4.10388899       3.65178061       4.62598991    
       27780   4.10388899       3.65178061       4.61260080    
       27840   4.05085707       3.64309478       4.60051680    
       27900   3.96305871       3.64309478       4.58994865    
       27960   3.90557575       3.63257742       4.58058882    
       28020   3.90557575       3.63257742       4.57183647    
       28080   3.85615635       3.62079740       4.56309700    
       28140   3.81032252       3.62079740       4.55567408    
       28200   3.81032252       3.60905313       4.54870272    
       28260   3.80743337       3.60905313       4.54145575    
       28320   3.80743337       3.59771037       4.53366756    
       28380   3.78024149       3.59771037       4.52531433    
       28440   3.78164291       3.58579373       4.51690722    
       28500   3.75748158       3.58579373       4.50908804    
       28560   3.75748158       3.57240486       4.50188160    
       28620   3.73942304       3.57240486       4.49455595    
       28680   3.75963998       3.55766320       3.61225748    
       28740   3.75963998       3.55766320       3.60514712    
       28800   3.77041674       3.54221892       3.59590101    
       28860   3.76886964       3.54221892       3.58851647    
