 20181226
 Seconds  Measures(TAU-ms)  Meso-NH(TAU-ms)  FORECAST_AR(TAU-ms)
       36840   6.09184790       10.4321966       6.80999994    
       36900   6.10777760       10.4321966       6.80999994    
       36960   6.12297821       10.4434042       6.80999994    
       37020   6.18623924       10.4434042       6.80999994    
       37080   6.26404333       10.4503031       6.80999994    
       37140   6.34623909       10.4503031       6.80999994    
       37200   6.34623909       10.4511881       6.80999994    
       37260   6.42621756       10.4511881       6.80999994    
       37320   6.49354362       10.4455404       6.80999994    
       37380   6.53586960       10.4455404       6.80999994    
       37440   6.53586960       10.4166632       6.80999994    
       37500   6.59213066       10.4166632       6.80999994    
       37560   6.65058708       10.3545961       6.80999994    
       37620   6.71335554       10.3545961       6.80999994    
       37680   6.75510883       10.2970209       6.80999994    
       37740   6.84721756       10.2970209       6.80999994    
       37800   6.91395664       10.2438879       6.80999994    
       37860   6.91626644       10.2438879       6.80999994    
       37920   6.94684792       10.1994848       6.80999994    
       37980   6.99704361       10.1994848       6.80999994    
       38040   7.00206661       10.1546135       6.80999994    
       38100   7.05119991       10.1546135       6.80999994    
       38160   7.08117390       10.0932665       6.80999994    
       38220   7.11873913       10.0932665       6.80999994    
       38280   7.14106655       10.0382099       6.80999994    
       38340   7.16226673       10.0382099       6.80999994    
       38400   7.16969585       9.98570442       6.80999994    
       38460   7.16852188       9.98570442       6.80999994    
       38520   7.16102219       9.93017483       6.80999994    
       38580   7.18924427       9.93017483       6.80999994    
       38640   7.20208883       9.87564850       6.80999994    
       38700   7.20208883       9.87564850       6.80999994    
       38760   7.21168900       9.82273197       6.80999994    
       38820   7.24268866       9.82273197       6.80999994    
       38880   7.33760023       9.76859951       6.80999994    
       38940   7.33760023       9.76859951       6.80999994    
       39000   7.40753317       9.71353817       6.80999994    
       39060   7.49748898       9.71353817       6.80999994    
       39120   7.55980015       9.65393639       6.80999994    
       39180   7.55980015       9.65393639       6.80999994    
       39240   7.66655540       9.58788109       6.80999994    
       39300   7.71417761       9.58788109       6.80999994    
       39360   7.75578260       9.54248905       6.80999994    
       39420   7.79597759       9.54248905       6.80999994    
       39480   7.85608912       9.51324558       8.37800026    
