 20180918
 Seconds  Measures(TAU-ms)  Meso-NH(TAU-ms)  FORECAST_AR(TAU-ms)
       25080   2.53562784       4.02958727       2.33200002    
       25140   2.56709313       4.02958727       2.33200002    
       25200   2.57509518       4.03669977       2.33200002    
       25260   2.59388375       4.03669977       2.33200002    
       25320   2.60824990       4.04411554       2.33200002    
       25380   2.63117766       4.04411554       2.33200002    
       25440   2.66128254       4.05172491       2.33200002    
       25500   2.66128254       4.05172491       2.33200002    
       25560   2.68660879       4.05877161       2.33200002    
       25620   2.72323918       4.05877161       2.33200002    
       25680   2.72323918       4.06460905       2.33200002    
       25740   2.73986673       4.06460905       2.33200002    
       25800   2.75711370       4.07028484       2.33200002    
       25860   2.77669764       4.07028484       2.33200002    
       25920   2.77669764       4.07598734       2.33200002    
       25980   2.86286044       4.07598734       2.33200002    
       26040   2.93176746       4.08080721       2.33200002    
       26100   2.98986053       4.08080721       2.33200002    
       26160   2.98986053       4.08495808       2.33200002    
       26220   3.05237198       4.08495808       2.33200002    
       26280   3.11776733       4.08863640       2.33200002    
       26340   3.19702315       4.08863640       2.33200002    
       26400   3.19702315       4.09188414       2.33200002    
       26460   3.24593019       4.09188414       2.33200002    
       26520   3.31969762       4.09402466       2.33200002    
       26580   3.37704659       4.09402466       2.33200002    
       26640   3.39840484       4.09626293       2.33200002    
       26700   3.39840484       4.09626293       2.33200002    
       26760   3.45738101       4.09977341       2.33200002    
       26820   3.47614646       4.09977341       2.33200002    
       26880   3.52914643       4.10368776       2.33200002    
       26940   3.55557132       4.10368776       2.33200002    
       27000   3.58782935       4.10690212       2.33200002    
       27060   3.63739014       4.10690212       2.33200002    
       27120   3.65602446       4.10934162       2.33200002    
       27180   3.66002393       4.10934162       2.33200002    
       27240   3.69275618       4.11044264       2.33200002    
       27300   3.72245002       4.11044264       2.33200002    
       27360   3.76082063       4.11231995       2.33200002    
       27420   3.77830005       4.11231995       2.33200002    
       27480   3.80746150       4.11413383       2.33200002    
       27540   3.85361528       4.11413383       2.33200002    
       27600   3.90074348       4.11523724       2.33200002    
       27660   3.90925002       4.11523724       2.33200002    
       27720   3.94174361       4.11524153       2.33200002    
       27780   3.99797440       4.11524153       2.33200002    
       27840   4.02512836       4.11501932       2.33200002    
       27900   4.01275015       4.11501932       2.33200002    
       27960   4.03971815       4.11453819       2.33200002    
       28020   4.06912804       4.11453819       2.33200002    
       28080   4.10220528       4.11288929       2.33200002    
       28140   4.12515020       4.11288929       2.33200002    
       28200   4.16058969       4.11074400       2.33200002    
       28260   4.20489740       4.11074400       2.33200002    
       28320   4.24258995       4.10973501       2.33200002    
       28380   4.26025009       4.10973501       2.33200002    
       28440   4.29264116       4.10872841       2.33200002    
       28500   4.31766653       4.10872841       2.33200002    
       28560   4.36871815       4.10700655       2.33200002    
       28620   4.38492489       4.10700655       2.33200002    
       28680   4.43715000       4.10537148       4.50150013    
       28740   4.46269226       4.10537148       4.50150013    
       28800   4.46946144       4.10450077       4.50150013    
       28860   4.46946144       4.10450077       4.50150013    
       28920   4.49805260       4.10354519       4.50150013    
       28980   4.51499987       4.10354519       4.50150013    
       29040   4.53864861       4.10196495       4.50150013    
       29100   4.52318907       4.10196495       4.50150013    
       29160   4.52318907       4.09999800       4.50150013    
       29220   4.52340555       4.09999800       4.50150013    
       29280   4.53774977       4.09794712       4.50150013    
       29340   4.51324320       4.09794712       4.50150013    
       29400   4.51200008       4.09602308       4.50150013    
       29460   4.51058960       4.09602308       4.50150013    
       29520   4.51058960       4.09465647       4.50150013    
       29580   4.49674988       4.09465647       4.50150013    
       29640   4.44832516       4.09373617       4.50150013    
       29700   4.43517494       4.09373617       4.50150013    
       29760   4.43382072       4.09326172       4.50150013    
       29820   4.43279982       4.09326172       4.50150013    
       29880   4.42412519       4.09318447       4.50150013    
       29940   4.40548706       4.09318447       4.50150013    
       30000   4.35512829       4.09344673       4.50150013    
       30060   4.35672522       4.09344673       4.50150013    
       30120   4.37262487       4.09396791       4.50150013    
       30180   4.34123087       4.09396791       4.50150013    
       30240   4.32128191       4.09551334       4.50150013    
       30300   4.33580017       4.09551334       4.50150013    
       30360   4.36217070       4.09753704       4.50150013    
       30420   4.35487795       4.09753704       4.50150013    
       30480   4.35487795       4.09995604       4.50150013    
       30540   4.33887815       4.09995604       4.50150013    
       30600   4.33043909       4.10318756       4.50150013    
       30660   4.31895256       4.10318756       4.50150013    
       30720   4.31785345       4.10703993       4.50150013    
       30780   4.34380484       4.10703993       4.50150013    
       30840   4.36748791       4.11102390       4.50150013    
       30900   4.35419035       4.11102390       4.50150013    
       30960   4.35419035       4.11534500       4.50150013    
       31020   4.34316301       4.11534500       4.50150013    
       31080   4.32267427       4.12032509       4.50150013    
       31140   4.30234098       4.12032509       4.50150013    
       31200   4.30660486       4.12637806       4.50150013    
       31260   4.30790710       4.12637806       4.50150013    
       31320   4.29206991       4.13396454       4.50150013    
       31380   4.30472708       4.13396454       4.50150013    
       31440   4.28979063       4.14307022       4.50150013    
       31500   4.30453491       4.14307022       4.50150013    
       31560   4.32927895       4.15225601       4.50150013    
       31620   4.34152269       4.15225601       4.50150013    
       31680   4.34746504       4.16149521       4.50150013    
       31740   4.36425591       4.16149521       4.50150013    
       31800   4.33676767       4.17170191       4.50150013    
       31860   4.33676767       4.17170191       4.50150013    
       31920   4.32967424       4.18300724       4.50150013    
       31980   4.33181381       4.18300724       4.50150013    
       32040   4.31423235       4.19470406       4.50150013    
       32100   4.31423235       4.19470406       4.50150013    
       32160   4.30413961       4.20670271       4.50150013    
       32220   4.26453495       4.20670271       4.50150013    
       32280   4.24661922       4.21900749       4.29300022    
       32340   4.21033335       4.21900749       4.29300022    
       32400   4.21033335       4.23145628       4.29300022    
       32460   4.20004749       4.23145628       4.29300022    
       32520   4.17206955       4.24401283       4.29300022    
       32580   4.15404558       4.24401283       4.29300022    
       32640   4.14627266       4.25685358       4.29300022    
       32700   4.14627266       4.25685358       4.29300022    
       32760   4.15600014       4.27000332       4.29300022    
       32820   4.14400005       4.27000332       4.29300022    
       32880   4.12633324       4.28334761       4.29300022    
       32940   4.12633324       4.28334761       4.29300022    
       33000   4.12382221       4.29657650       4.29300022    
       33060   4.10206652       4.29657650       4.29300022    
       33120   4.07728910       4.30946064       4.29300022    
       33180   4.07728910       4.30946064       4.29300022    
       33240   4.05513334       4.32181835       4.29300022    
       33300   4.03771114       4.32181835       4.29300022    
       33360   4.01091099       4.33412981       4.29300022    
       33420   4.01091099       4.33412981       4.29300022    
       33480   3.98628879       4.34671450       4.29300022    
       33540   3.95931101       4.34671450       4.29300022    
       33600   3.95931101       4.35918093       4.29300022    
       33660   3.94679999       4.35918093       4.29300022    
       33720   3.92580009       4.37204409       4.29300022    
       33780   3.88557768       4.37204409       4.29300022    
       33840   3.88557768       4.38547754       4.29300022    
       33900   3.87615561       4.38547754       4.29300022    
       33960   3.86380005       4.39888811       4.29300022    
       34020   3.82584453       4.39888811       4.29300022    
       34080   3.80202270       4.41176128       4.29300022    
       34140   3.80784440       4.41176128       4.29300022    
       34200   3.80884433       4.42401552       4.29300022    
       34260   3.79895544       4.42401552       4.29300022    
       34320   3.79784083       4.43563557       4.29300022    
       34380   3.79446673       4.43563557       4.29300022    
       34440   3.77184439       4.44654465       4.29300022    
       34500   3.75604439       4.44654465       4.29300022    
       34560   3.75484085       4.45676756       4.29300022    
       34620   3.75597787       4.45676756       4.29300022    
       34680   3.76368880       4.46661139       4.29300022    
       34740   3.76366663       4.46661139       4.29300022    
       34800   3.77129555       4.47613764       4.29300022    
       34860   3.76697779       4.47613764       4.29300022    
       34920   3.74435544       4.48483086       4.29300022    
       34980   3.75386667       4.48483086       4.29300022    
       35040   3.71562219       4.49177694       4.29300022    
       35100   3.71562219       4.49177694       4.29300022    
       35160   3.67820001       4.49662876       4.29300022    
       35220   3.66515565       4.49662876       4.29300022    
       35280   3.63781810       4.49952650       4.29300022    
       35340   3.64715552       4.49952650       4.29300022    
       35400   3.61762214       4.50083303       4.29300022    
       35460   3.60155559       4.50083303       4.29300022    
       35520   3.60155559       4.50226116       4.29300022    
       35580   3.57444453       4.50226116       4.29300022    
       35640   3.56377769       4.50465441       4.29300022    
       35700   3.54117775       4.50465441       4.29300022    
       35760   3.54117775       4.50715876       4.29300022    
       35820   3.53931117       4.50715876       4.29300022    
       35880   3.53375554       4.50942945       4.23600006    
       35940   3.52036953       4.50942945       4.23600006    
       36000   3.51404452       4.51149035       4.23600006    
       36060   3.50102162       4.51149035       4.23600006    
       36120   3.50943470       4.51334381       4.23600006    
       36180   3.52834773       4.51334381       4.23600006    
       36240   3.53166676       4.51522732       4.23600006    
       36300   3.53922224       4.51522732       4.23600006    
       36360   3.53841305       4.51704025       4.23600006    
       36420   3.52543473       4.51704025       4.23600006    
       36480   3.52342224       4.51893854       4.23600006    
       36540   3.53617787       4.51893854       4.23600006    
       36600   3.53297830       4.52121449       4.23600006    
       36660   3.52693486       4.52121449       4.23600006    
       36720   3.52782226       4.52391863       4.23600006    
       36780   3.51877785       4.52391863       4.23600006    
       36840   3.50552177       4.52713966       4.23600006    
       36900   3.49702168       4.52713966       4.23600006    
       36960   3.51235557       4.53108120       4.23600006    
