 20190511
 Seconds  Measures(TAU-ms)  Meso-NH(TAU-ms)  FORECAST_AR(TAU-ms)
       21720   3.71490693       5.63760900       4.21549988    
       21780   3.69704556       5.63760900       4.21549988    
       21840   3.69911361       5.60825539       4.21549988    
       21900   3.68948841       5.60825539       4.21549988    
       21960   3.67546511       5.58656979       4.21549988    
       22020   3.65625000       5.58656979       4.21549988    
       22080   3.65574408       5.56592178       4.21549988    
       22140   3.64538646       5.56592178       4.21549988    
       22200   3.62770462       5.55252123       4.21549988    
       22260   3.63275552       5.55252123       4.21549988    
       22320   3.63775563       5.55166864       4.21549988    
       22380   3.61438632       5.55166864       4.21549988    
       22440   3.62479544       5.56074190       4.21549988    
       22500   3.62946677       5.56074190       4.21549988    
       22560   3.64315557       5.55905962       4.21549988    
       22620   3.63822722       5.55905962       4.21549988    
       22680   3.65563631       5.55595779       4.21549988    
       22740   3.66091108       5.55595779       4.21549988    
       22800   3.65711355       5.55707407       4.21549988    
       22860   3.64140916       5.55707407       4.21549988    
       22920   3.63931823       5.55731440       4.21549988    
       22980   3.64380002       5.55731440       4.21549988    
       23040   3.63034081       5.55533314       4.21549988    
       23100   3.61515903       5.55533314       4.21549988    
       23160   3.58947730       5.55182838       4.21549988    
       23220   3.57975554       5.55182838       4.21549988    
       23280   3.57461357       5.54473829       4.21549988    
       23340   3.53756809       5.54473829       4.21549988    
       23400   3.50506806       5.53989220       4.21549988    
       23460   3.46259093       5.53989220       4.21549988    
       23520   3.46259093       5.53389359       4.21549988    
       23580   3.43188643       5.53389359       4.21549988    
       23640   3.40170455       5.53234816       4.21549988    
       23700   3.40957785       5.53234816       4.21549988    
       23760   3.39263630       5.53899288       4.21549988    
       23820   3.37634087       5.53899288       4.21549988    
       23880   3.39011121       5.54211235       4.21549988    
       23940   3.38334084       5.54211235       4.21549988    
       24000   3.37245464       5.53918314       4.21549988    
       24060   3.39064455       5.53918314       4.21549988    
       24120   3.39029551       5.53484106       4.21549988    
       24180   3.40995455       5.53484106       4.21549988    
       24240   3.43225002       5.53856182       4.21549988    
       24300   3.45546675       5.53856182       4.21549988    
