 20180918
 Seconds  Measures(SEE-arcsec)  Meso-NH(SEE-arcsec)  FORECAST_AR(SEE-arcsec)
       28800  0.729149997      0.537899852      0.726499677    
       28860  0.728951216      0.537899852      0.722037137    
       28920  0.723224998      0.537712276      0.718264401    
       28980  0.715749979      0.537712276      0.714519620    
       29040  0.712179482      0.538580656      0.711344659    
       29100  0.710358977      0.538580656      0.708058059    
       29160  0.709949970      0.540637255      0.704776347    
       29220  0.708350003      0.540637255      0.701602936    
       29280  0.709769249      0.543223739      0.698434770    
       29340  0.708794892      0.543223739      0.694654405    
       29400  0.705775023      0.545890808      0.691328406    
       29460  0.703097582      0.545890808      0.687043071    
       29520  0.703097582      0.547558784      0.682772517    
       29580  0.700404763      0.547558784      0.677968919    
       29640  0.692714274      0.548271000      0.673199415    
       29700  0.687785685      0.548271000      0.668318868    
       29760  0.684024394      0.547909439      0.664222956    
       29820  0.682428598      0.547909439      0.660134077    
       29880  0.675238073      0.546898961      0.656326652    
       29940  0.671780467      0.546898961      0.651951909    
       30000  0.667268276      0.545697510      0.647614300    
       30060  0.666642845      0.545697510      0.642814159    
       30120  0.659785688      0.545285881      0.638203681    
       30180  0.660902441      0.545285881      0.633774459    
       30240  0.658853650      0.543347001      0.629356861    
       30300  0.657214284      0.543347001      0.624600947    
       30360  0.654162765      0.541012704      0.620214760    
       30420  0.650953472      0.541012704      0.615821302    
       30480  0.650953472      0.539282262      0.611791372    
       30540  0.645534873      0.539282262      0.608136177    
       30600  0.641860485      0.537294567      0.605015635    
       30660  0.641227245      0.537294567      0.602252126    
       30720  0.636069775      0.535268962      0.600052297    
       30780  0.628744185      0.535268962      0.598066807    
       30840  0.621813953      0.535061538      0.596304476    
       30900  0.620522738      0.535061538      0.594529331    
       30960  0.620522738      0.537636697      0.592474103    
       31020  0.620244443      0.537636697      0.589958787    
       31080  0.620155573      0.541043580      0.586898088    
       31140  0.619499981      0.541043580      0.583255708    
       31200  0.619066656      0.543015420      0.579304516    
       31260  0.616466641      0.543015420      0.575411737    
       31320  0.618222237      0.542677343      0.572105706    
       31380  0.617717385      0.542677343      0.569003165    
       31440  0.619088888      0.540250003      0.566128194    
       31500  0.618911088      0.540250003      0.562724948    
       31560  0.616199970      0.538793623      0.559034109    
       31620  0.615086973      0.538793623      0.554631233    
       31680  0.613711119      0.537940264      0.549945295    
       31740  0.610733330      0.537940264      0.545125961    
       31800  0.610577762      0.535465181      0.540528238    
       31860  0.610577762      0.535465181      0.536003292    
       31920  0.610777795      0.531015635      0.531893909    
       31980  0.608844459      0.531015635      0.527847409    
       32040  0.608155549      0.526734650      0.523987532    
       32100  0.608155549      0.526734650      0.520061374    
       32160  0.607777774      0.523554444      0.516195595    
       32220  0.609155536      0.523554444      0.512183309    
       32280  0.608590901      0.520302117      0.508233368    
       32340  0.607249975      0.520302117      0.503998876    
       32400  0.607249975      0.516736805      0.600084007    
       32460  0.603590906      0.516736805      0.598521173    
       32520  0.601204574      0.513182521      0.596951962    
       32580  0.602222204      0.513182521      0.594676554    
       32640  0.603244424      0.509060204      0.592132688    
       32700  0.603244424      0.509060204      0.589453399    
       32760  0.602644444      0.504278183      0.587289631    
       32820  0.601688862      0.504278183      0.585472047    
       32880  0.602355540      0.498984337      0.583903134    
       32940  0.602355540      0.498984337      0.582527161    
       33000  0.600888908      0.493609548      0.581526816    
       33060  0.602022231      0.493609548      0.580626190    
       33120  0.604111135      0.488836795      0.579944909    
       33180  0.604111135      0.488836795      0.579132617    
       33240  0.607822239      0.485561222      0.578985453    
       33300  0.609288871      0.485561222      0.578144908    
       33360  0.609466672      0.482589483      0.577420652    
       33420  0.609466672      0.482589483      0.576418340    
       33480  0.610711098      0.479664296      0.575589657    
       33540  0.611711085      0.479664296      0.575076997    
       33600  0.611711085      0.477746576      0.574963391    
       33660  0.612422228      0.477746576      0.574780405    
       33720  0.614600003      0.476170957      0.574852586    
       33780  0.617511094      0.476170957      0.574728191    
       33840  0.617511094      0.474853396      0.574854314    
       33900  0.617999971      0.474853396      0.574998915    
       33960  0.620555580      0.474179149      0.575899124    
       34020  0.625444472      0.474179149      0.576816499    
       34080  0.627454519      0.474099696      0.577797949    
       34140  0.627200007      0.474099696      0.578544557    
       34200  0.629422247      0.474817812      0.579146743    
       34260  0.631222248      0.474817812      0.579381704    
       34320  0.631613612      0.476136237      0.579886198    
       34380  0.632044435      0.476136237      0.580140889    
       34440  0.634488881      0.477393508      0.580182612    
       34500  0.637777805      0.477393508      0.579907417    
       34560  0.639431834      0.478583664      0.579223216    
       34620  0.639599979      0.478583664      0.578159869    
       34680  0.639355540      0.478092164      0.577327073    
       34740  0.641133308      0.478092164      0.576779723    
       34800  0.642295480      0.475994438      0.576946259    
       34860  0.643177807      0.475994438      0.577548146    
       34920  0.649266660      0.473924011      0.578763962    
       34980  0.649644434      0.473924011      0.580031514    
       35040  0.655911088      0.473905206      0.581868052    
       35100  0.655911088      0.473905206      0.584254324    
       35160  0.661111116      0.476607502      0.587280095    
       35220  0.663044453      0.476607502      0.590700030    
       35280  0.665272713      0.481072456      0.593896627    
       35340  0.663266659      0.481072456      0.596400976    
       35400  0.664111137      0.487411529      0.598290741    
       35460  0.666288912      0.487411529      0.599335492    
       35520  0.666288912      0.492532194      0.600269735    
       35580  0.666266680      0.492532194      0.600772560    
       35640  0.666333318      0.494885296      0.601201594    
       35700  0.666844428      0.494885296      0.601447523    
       35760  0.666844428      0.496083438      0.601669312    
       35820  0.665466666      0.496083438      0.601841152    
       35880  0.662644446      0.496671945      0.602193177    
       35940  0.660673916      0.496671945      0.602432430    
       36000  0.662066638      0.496885419      0.660630167    
       36060  0.660347819      0.496885419      0.660337508    
       36120  0.659652174      0.497186035      0.660640776    
       36180  0.657565236      0.497186035      0.661112607    
       36240  0.657800019      0.497967362      0.661853790    
       36300  0.654977798      0.497967362      0.662316263    
       36360  0.652782619      0.499761850      0.662818968    
       36420  0.650934756      0.499761850      0.662548542    
       36480  0.650933325      0.501796246      0.662636280    
       36540  0.648355544      0.501796246      0.662560344    
       36600  0.645934761      0.502903223      0.662642479    
       36660  0.644630432      0.502903223      0.662682950    
       36720  0.644755542      0.504093111      0.662528455    
       36780  0.642177761      0.504093111      0.662049055    
       36840  0.640347838      0.505306840      0.662021697    
       36900  0.637000024      0.505306840      0.661543489    
       36960  0.634822249      0.505531609      0.661711752    
       37020  0.635244429      0.505531609      0.661575317    
       37080  0.634826064      0.506555855      0.661571085    
       37140  0.633977771      0.506555855      0.661298752    
       37200  0.633444428      0.508548975      0.661096394    
       37260  0.633444428      0.508548975      0.660750449    
       37320  0.632511139      0.510505736      0.660402715    
       37380  0.629555583      0.510505736      0.660033286    
       37440  0.626999974      0.511862934      0.659679115    
       37500  0.626999974      0.511862934      0.658934593    
       37560  0.625977755      0.512376785      0.658443332    
       37620  0.623044431      0.512376785      0.657894731    
       37680  0.619933307      0.512329996      0.657506764    
       37740  0.620326102      0.512329996      0.656945944    
       37800  0.620422244      0.512240529      0.656398654    
       37860  0.619000018      0.512240529      0.655832231    
       37920  0.617311120      0.512087405      0.655497730    
       37980  0.617673934      0.512087405      0.655073464    
       38040  0.616933346      0.512200415      0.654593885    
       38100  0.613733351      0.512200415      0.654243886    
       38160  0.610444427      0.513092935      0.653982937    
       38220  0.609434783      0.513092935      0.653896630    
       38280  0.608600020      0.513961852      0.653990746    
       38340  0.607400000      0.513961852      0.653861582    
       38400  0.603799999      0.514756620      0.653927267    
       38460  0.602217376      0.514756620      0.653770089    
       38520  0.600444436      0.515903771      0.654017866    
       38580  0.594222248      0.515903771      0.654309988    
       38640  0.589844465      0.517718554      0.653980136    
       38700  0.583318174      0.517718554      0.652652025    
       38760  0.582911134      0.520377159      0.650580287    
       38820  0.575977802      0.520377159      0.647669554    
       38880  0.575355530      0.520200551      0.644665301    
       38940  0.575355530      0.520200551      0.642141521    
       39000  0.575711131      0.516653478      0.640274286    
       39060  0.575088918      0.516653478      0.639053226    
       39120  0.574111104      0.512134552      0.638708949    
       39180  0.574111104      0.512134552      0.638528645    
       39240  0.576955557      0.509690166      0.638790846    
       39300  0.582066655      0.509690166      0.639079094    
       39360  0.582244456      0.510284126      0.639239013    
       39420  0.582244456      0.510284126      0.639194489    
       39480  0.581488907      0.512074172      0.639261425    
       39540  0.582888901      0.512074172      0.639255702    
       39600  0.581466675      0.512976110      0.582864463    
       39660  0.581466675      0.512976110      0.583487511    
       39720  0.581755579      0.514041662      0.583676755    
       39780  0.582909107      0.514041662      0.582867086    
       39840  0.584372103      0.515668809      0.581857622    
       39900  0.584372103      0.515668809      0.580716491    
       39960  0.585785687      0.516581833      0.579584837    
       40020  0.586560965      0.516581833      0.578136146    
       40080  0.583292663      0.515839875      0.577303529    
       40140  0.583292663      0.515839875      0.576377809    
       40200  0.581536591      0.514182329      0.575528264    
       40260  0.580512166      0.514182329      0.574790299    
       40320  0.581073165      0.513908386      0.574488580    
       40380  0.581073165      0.513908386      0.574575186    
       40440  0.583121955      0.513246357      0.575175643    
       40500  0.589926839      0.513246357      0.575729668    
       40560  0.591048777      0.513356805      0.576129138    
       40620  0.591048777      0.513356805      0.576132596    
       40680  0.591146350      0.515290082      0.576021671    
       40740  0.589707315      0.515290082      0.575440288    
       40800  0.588500023      0.516206980      0.574725688    
       40860  0.587487817      0.516206980      0.573861241    
       40920  0.585642874      0.515617013      0.573115289    
       40980  0.582119048      0.515617013      0.572797596    
       41040  0.578261912      0.513923168      0.572683632    
       41100  0.578560948      0.513923168      0.572805345    
       41160  0.575119019      0.512828708      0.573039412    
       41220  0.571380973      0.512828708      0.572977245    
       41280  0.568714261      0.513280988      0.572211921    
       41340  0.567804873      0.513280988      0.571229517    
       41400  0.564585388      0.514185846      0.570596337    
       41460  0.561333358      0.514185846      0.570380569    
       41520  0.557666659      0.514635324      0.569971681    
       41580  0.556512177      0.514635324      0.569510341    
       41640  0.550682902      0.515381992      0.568730295    
       41700  0.546761930      0.515381992      0.567770422    
       41760  0.543238103      0.515712321      0.566580534    
       41820  0.539619029      0.515712321      0.565500438    
       41880  0.539024413      0.514710128      0.564281821    
       41940  0.536261916      0.514710128      0.563050866    
       42000  0.533166647      0.512818575      0.561707795    
       42060  0.530166686      0.512818575      0.560122311    
       42120  0.530146360      0.510574877      0.558296680    
