 20190316
 Seconds  Measures(PWV-mm)  Meso-NH(PWV-mm)  FORECAST_AR(PWV-mm)
        3480   6.20322227       5.97004175       5.95100021    
        3540   6.20322227       5.97004175       5.95100021    
        3600   6.21621418       5.98244095       5.95100021    
        3660   6.21810722       5.98244095       5.95100021    
        3720   6.22281504       5.99208641       5.95100021    
        3780   6.22282124       5.99208641       5.95100021    
        3840   6.22282124       6.00701523       5.95100021    
        3900   6.22203684       6.00701523       5.95100021    
        3960   6.19442844       6.02503538       5.95100021    
        4020   6.18062973       6.02503538       5.95100021    
        4080   6.18035698       6.04102135       5.95100021    
        4140   6.18159246       6.04102135       5.95100021    
        4200   6.20666647       6.05965185       5.95100021    
        4260   6.20666647       6.05965185       5.95100021    
        4320   6.20666647       6.08196354       5.95100021    
        4380   6.22137022       6.08196354       5.95100021    
        4440   6.21292305       6.10525608       5.95100021    
        4500   6.21292305       6.10525608       5.95100021    
        4560   6.23084593       6.12606287       5.95100021    
        4620   6.23084593       6.12606287       5.95100021    
        4680   6.21281481       6.13303280       5.95100021    
        4740   6.19481468       6.13303280       5.95100021    
        4800   6.18007708       6.12907410       5.95100021    
        4860   6.17796278       6.12907410       5.95100021    
        4920   6.17796278       6.12647200       5.95100021    
        4980   6.17334604       6.12647200       5.95100021    
        5040   6.16422224       6.12188911       5.95100021    
        5100   6.16042328       6.12188911       5.95100021    
        5160   6.16042328       6.10410357       5.95100021    
        5220   6.15792608       6.10410357       5.95100021    
        5280   6.13573074       6.08073425       5.95100021    
        5340   6.13573074       6.08073425       5.95100021    
        5400   6.12022209       6.05451298       5.95100021    
        5460   6.12673092       6.05451298       5.95100021    
        5520   6.10737038       6.03420973       5.95100021    
        5580   6.10888481       6.03420973       5.95100021    
        5640   6.09051847       6.01101303       5.95100021    
        5700   6.10184622       6.01101303       5.95100021    
        5760   6.08029652       5.98000002       5.95100021    
        5820   6.06488895       5.98000002       5.95100021    
        5880   6.06715393       5.95247889       5.95100021    
        5940   6.06715393       5.95247889       5.95100021    
        6000   6.04538441       5.92453957       5.95100021    
        6060   6.04538441       5.92453957       5.95100021    
        6120   6.04538441       5.89502478       5.95100021    
        6180   6.03322220       5.89502478       5.95100021    
        6240   6.01357698       5.87206554       5.95100021    
        6300   6.01357698       5.87206554       5.95100021    
        6360   5.97865391       5.84783268       5.95100021    
        6420   5.97865391       5.84783268       5.95100021    
        6480   5.95774078       5.81971121       5.95100021    
        6540   5.94069242       5.81971121       5.95100021    
        6600   5.91151857       5.79118681       5.95100021    
        6660   5.87125921       5.79118681       5.95100021    
        6720   5.85496140       5.76428699       5.95100021    
        6780   5.85496140       5.76428699       5.95100021    
        6840   5.82718515       5.73735332       5.95100021    
        6900   5.81311560       5.73735332       5.95100021    
        6960   5.81311560       5.70769453       5.95100021    
        7020   5.79551840       5.70769453       5.95100021    
        7080   5.75023079       5.67580318       5.71700001    
        7140   5.75023079       5.67580318       5.71700001    
        7200   5.71577787       5.64269161       5.71700001    
        7260   5.65999985       5.64269161       5.71700001    
        7320   5.63592291       5.60931206       5.71700001    
        7380   5.63592291       5.60931206       5.71700001    
        7440   5.60865402       5.57463360       5.71700001    
        7500   5.60865402       5.57463360       5.71700001    
        7560   5.59140730       5.53731251       5.71700001    
        7620   5.59688473       5.53731251       5.71700001    
        7680   5.58129644       5.49976492       5.71700001    
        7740   5.55853844       5.49976492       5.71700001    
        7800   5.54185200       5.46250629       5.71700001    
        7860   5.50646162       5.46250629       5.71700001    
        7920   5.50646162       5.42813206       5.71700001    
        7980   5.51229620       5.42813206       5.71700001    
        8040   5.47692299       5.39286947       5.71700001    
        8100   5.46966648       5.39286947       5.71700001    
        8160   5.46966648       5.35274839       5.71700001    
        8220   5.44807673       5.35274839       5.71700001    
        8280   5.42799997       5.31226778       5.71700001    
        8340   5.41584635       5.31226778       5.71700001    
        8400   5.38753843       5.28037071       5.71700001    
        8460   5.37303686       5.28037071       5.71700001    
        8520   5.34419250       5.25067663       5.71700001    
        8580   5.34419250       5.25067663       5.71700001    
        8640   5.33662987       5.21878672       5.71700001    
        8700   5.31392288       5.21878672       5.71700001    
        8760   5.31392288       5.18864250       5.71700001    
        8820   5.30777788       5.18864250       5.71700001    
        8880   5.27757692       5.16788721       5.71700001    
        8940   5.27757692       5.16788721       5.71700001    
        9000   5.26140738       5.14871693       5.71700001    
        9060   5.22407389       5.14871693       5.71700001    
        9120   5.22407389       5.12631941       5.71700001    
        9180   5.20946169       5.12631941       5.71700001    
        9240   5.19825935       5.10303211       5.71700001    
        9300   5.18230772       5.10303211       5.71700001    
        9360   5.16481495       5.08087349       5.71700001    
        9420   5.12692595       5.08087349       5.71700001    
        9480   5.11100006       5.06179142       5.71700001    
        9540   5.11100006       5.06179142       5.71700001    
        9600   5.09107399       5.04302216       5.71700001    
        9660   5.07550001       5.04302216       5.71700001    
        9720   5.07550001       5.02553129       5.71700001    
        9780   5.06300020       5.02553129       5.71700001    
        9840   5.03784609       5.00837183       5.71700001    
        9900   5.02829647       5.00837183       5.71700001    
        9960   5.02829647       4.98638153       5.71700001    
       10020   5.03000021       4.98638153       5.71700001    
