 20181218
 Seconds  Measures(WS-m/s)  Meso-NH(WS-m/s)  FORECAST_AR(WS-m/s)
        7200   5.53131151       8.68641376       6.75000000    
        7260   5.52360678       8.69259834       6.75000000    
        7320   5.53426218       8.69417953       6.75000000    
        7380   5.54688501       8.69275284       6.75000000    
        7440   5.56573772       8.68619251       6.75000000    
        7500   5.57065582       8.67102528       6.75000000    
        7560   5.57934427       8.64745808       6.75000000    
        7620   5.58262300       8.62132359       6.75000000    
        7680   5.59245920       8.60140133       6.75000000    
        7740   5.61459017       8.59556389       6.75000000    
        7800   5.62573767       8.60504627       6.75000000    
        7860   5.64590168       8.62201309       6.75000000    
        7920   5.65163946       8.63484955       6.75000000    
        7980   5.65327883       8.63663483       6.75000000    
        8040   5.63606548       8.62766933       6.75000000    
        8100   5.64295101       8.61120796       6.75000000    
        8160   5.64590168       8.59096241       6.75000000    
        8220   5.64213133       8.57134724       6.75000000    
        8280   5.65196705       8.55469227       6.75000000    
        8340   5.66541004       8.53902912       6.75000000    
        8400   5.67868853       8.52119160       6.75000000    
        8460   5.67721319       8.50289059       6.75000000    
        8520   5.67524576       8.48906612       6.75000000    
        8580   5.68786907       8.48314381       6.75000000    
        8640   5.68950796       8.48425674       6.75000000    
        8700   5.68639326       8.48819256       6.75000000    
        8760   5.68639326       8.48875332       6.75000000    
        8820   5.68852472       8.48005295       6.75000000    
        8880   5.67655754       8.46053791       6.75000000    
        8940   5.67163944       8.43336105       6.75000000    
        9000   5.67000008       8.40575314       6.75000000    
        9060   5.66786861       8.38421440       6.75000000    
        9120   5.65475416       8.36916924       6.75000000    
        9180   5.66786861       8.35489559       6.75000000    
        9240   5.67393446       8.33275890       6.75000000    
        9300   5.67098379       8.29913425       6.75000000    
        9360   5.67098379       8.26093388       6.75000000    
        9420   5.66934443       8.22940063       6.75000000    
        9480   5.66147518       8.20924377       6.75000000    
        9540   5.65983629       8.19730663       6.75000000    
        9600   5.66393423       8.18858242       6.75000000    
        9660   5.66065598       8.17905617       6.75000000    
        9720   5.65360641       8.16611862       6.75000000    
        9780   5.62573767       8.14854908       6.75000000    
        9840   5.61065578       8.12614346       6.75000000    
        9900   5.60049200       8.09877110       6.75000000    
        9960   5.58655739       8.06597519       6.75000000    
       10020   5.57983589       8.02863693       6.75000000    
       10080   5.56147528       7.99028540       6.75000000    
       10140   5.54590178       7.95483732       6.75000000    
       10200   5.53278685       7.92326927       6.75000000    
       10260   5.53196716       7.89343643       6.75000000    
       10320   5.53737688       7.86257172       6.75000000    
       10380   5.52557373       7.83014488       6.75000000    
       10440   5.49885225       7.79812336       6.75000000    
       10500   5.48180342       7.76830387       6.75000000    
       10560   5.48049164       7.74127722       6.75000000    
       10620   5.49508190       7.71755171       6.75000000    
       10680   5.49557400       7.69721508       6.75000000    
       10740   5.50295067       7.67997456       6.75000000    
       10800   5.50459003       7.66655874       5.07999992    
       10860   5.50180340       7.65872574       5.07999992    
       10920   5.50229502       7.65749311       5.07999992    
       10980   5.50114775       7.66227484       5.07999992    
       11040   5.50278711       7.67132664       5.07999992    
       11100   5.49754095       7.68235350       5.07999992    
       11160   5.51311493       7.69238710       5.07999992    
       11220   5.50819683       7.69852734       5.07999992    
       11280   5.50409842       7.69979000       5.07999992    
       11340   5.49098349       7.69701147       5.07999992    
       11400   5.47868872       7.69220734       5.07999992    
       11460   5.47409821       7.68791723       5.07999992    
       11520   5.46180344       7.68651485       5.07999992    
       11580   5.44327879       7.68886185       5.07999992    
       11640   5.43377066       7.69447517       5.07999992    
       11700   5.44606543       7.70158339       5.07999992    
       11760   5.43508196       7.70733738       5.07999992    
       11820   5.42803288       7.70899487       5.07999992    
       11880   5.42360640       7.70439291       5.07999992    
       11940   5.42475414       7.69322729       5.07999992    
       12000   5.40344286       7.67806196       5.07999992    
       12060   5.40213108       7.66139793       5.07999992    
       12120   5.39393425       7.64350700       5.07999992    
       12180   5.39672136       7.62407303       5.07999992    
       12240   5.40573788       7.60449409       5.07999992    
       12300   5.39590168       7.58715677       5.07999992    
       12360   5.39081955       7.57355547       5.07999992    
       12420   5.38967228       7.56345844       5.07999992    
       12480   5.39573765       7.55507231       5.07999992    
       12540   5.40770483       7.54532576       5.07999992    
       12600   5.40934420       7.53127861       5.07999992    
       12660   5.42032766       7.51007748       5.07999992    
       12720   5.42606544       7.48069382       5.07999992    
       12780   5.43918037       7.44421005       5.07999992    
       12840   5.44278669       7.40448427       5.07999992    
       12900   5.45065594       7.36605835       5.07999992    
       12960   5.47114754       7.33072567       5.07999992    
       13020   5.47327852       7.29727411       5.07999992    
       13080   5.46967220       7.26410627       5.07999992    
       13140   5.46737719       7.23032141       5.07999992    
       13200   5.46245909       7.19548130       5.07999992    
       13260   5.46655750       7.16066885       5.07999992    
       13320   5.48377037       7.12791586       5.07999992    
       13380   5.48639345       7.09810829       5.07999992    
       13440   5.50327873       7.07059193       5.07999992    
       13500   5.50737715       7.04421329       5.07999992    
       13560   5.51344252       7.01817799       5.07999992    
       13620   5.51508188       6.99219275       5.07999992    
       13680   5.51278687       6.96589947       5.07999992    
       13740   5.51688528       6.93831110       5.07999992    
       13800   5.53377056       6.90836382       5.07999992    
       13860   5.53491783       6.87554073       5.07999992    
       13920   5.52180338       6.84034729       5.07999992    
       13980   5.50606537       6.80440760       5.07999992    
       14040   5.51180315       6.76975393       5.07999992    
       14100   5.52163935       6.73800421       5.07999992    
       14160   5.53508186       6.70920038       5.07999992    
       14220   5.53098345       6.68113756       5.07999992    
       14280   5.52868843       6.65057039       5.07999992    
       14340   5.51721334       6.61541557       5.07999992    
       14400   5.51278687       6.57506323       5.05000019    
       14460   5.50754118       6.53006172       5.05000019    
       14520   5.51852465       6.48215103       5.05000019    
       14580   5.51557398       6.43406105       5.05000019    
       14640   5.50934410       6.38857937       5.05000019    
       14700   5.50524569       6.34713173       5.05000019    
       14760   5.50065565       6.30938721       5.05000019    
       14820   5.48540974       6.27458286       5.05000019    
       14880   5.48491812       6.24230385       5.05000019    
       14940   5.48327875       6.21177101       5.05000019    
       15000   5.48081970       6.18120670       5.05000019    
       15060   5.48081970       6.14811850       5.05000019    
       15120   5.46934414       6.11055231       5.05000019    
       15180   5.45868874       6.06878281       5.05000019    
       15240   5.45918036       6.02529097       5.05000019    
       15300   5.45918036       5.98326778       5.05000019    
       15360   5.45180321       5.94513941       5.05000019    
       15420   5.44196701       5.91158581       5.05000019    
       15480   5.44049168       5.88170099       5.05000019    
       15540   5.44360638       5.85351801       5.05000019    
       15600   5.42032766       5.82524586       5.05000019    
       15660   5.40999985       5.79661560       5.05000019    
       15720   5.40147543       5.76829910       5.05000019    
       15780   5.40803289       5.73984528       5.05000019    
       15840   5.41049194       5.70909309       5.05000019    
       15900   5.40721321       5.67386961       5.05000019    
       15960   5.41409826       5.63406610       5.05000019    
       16020   5.42360640       5.59198046       5.05000019    
       16080   5.40639353       5.55081367       5.05000019    
       16140   5.38999987       5.51294470       5.05000019    
