 20180928
 Seconds  Measures(SEE-arcsec)  Meso-NH(SEE-arcsec)  FORECAST_AR(SEE-arcsec)
       31200  0.773176491      0.772733927      0.996682703    
       31260  0.772735298      0.772733927      0.992568851    
       31320  0.770029426      0.768489957      0.988192201    
       31380  0.767176449      0.768489957      0.983723998    
       31440  0.767176449      0.763653696      0.979126453    
       31500  0.767676473      0.763653696      0.974445283    
       31560  0.767029405      0.757736146      0.969908655    
       31620  0.762971401      0.757736146      0.965681016    
       31680  0.757176459      0.751187861      0.961922228    
       31740  0.757200003      0.751187861      0.958578646    
       31800  0.744942844      0.745179594      0.955393612    
       31860  0.742055535      0.745179594      0.952286780    
       31920  0.742055535      0.740946889      0.949016213    
       31980  0.738891900      0.740946889      0.945668459    
       32040  0.741999984      0.737346351      0.942321777    
       32100  0.740205109      0.737346351      0.938715041    
       32160  0.740205109      0.733023882      0.935080647    
       32220  0.735625029      0.733023882      0.931162059    
       32280  0.732219517      0.728708208      0.791978657    
       32340  0.738095224      0.728708208      0.787412047    
       32400  0.738095224      0.724237502      0.783009768    
       32460  0.733790696      0.724237502      0.779174507    
       32520  0.731863618      0.719087064      0.775821507    
       32580  0.729022205      0.719087064      0.772907913    
       32640  0.729022205      0.714327157      0.770285547    
       32700  0.727826059      0.714327157      0.767682076    
       32760  0.715804338      0.711559653      0.765119314    
       32820  0.705217421      0.711559653      0.762133300    
       32880  0.705217421      0.710062206      0.759061098    
       32940  0.700586975      0.710062206      0.755376339    
       33000  0.696543455      0.708270550      0.751240551    
       33060  0.691413045      0.708270550      0.747145653    
       33120  0.691413045      0.705306947      0.743075192    
       33180  0.684173942      0.705306947      0.739507020    
       33240  0.680239141      0.700534105      0.736487210    
       33300  0.677804351      0.700534105      0.733762562    
       33360  0.677804351      0.695722759      0.730916321    
       33420  0.674826086      0.695722759      0.728094816    
       33480  0.673913062      0.693298757      0.724892795    
       33540  0.671391308      0.693298757      0.721914291    
       33600  0.671391308      0.690576673      0.719269753    
       33660  0.671760857      0.690576673      0.716763616    
       33720  0.668521762      0.686270714      0.714727581    
       33780  0.668478251      0.686270714      0.712566555    
       33840  0.668478251      0.683450520      0.709964216    
       33900  0.664195657      0.683450520      0.706842601    
       33960  0.661422193      0.682014227      0.703729510    
       34020  0.657755554      0.682014227      0.700487971    
       34080  0.653847814      0.678842068      0.697269261    
       34140  0.651978254      0.678842068      0.694367230    
       34200  0.651311100      0.675374329      0.691798389    
       34260  0.643888891      0.675374329      0.689708054    
       34320  0.640533328      0.672078669      0.687817335    
       34380  0.638456523      0.672078669      0.686475217    
       34440  0.636644423      0.670135915      0.686306775    
       34500  0.634333313      0.670135915      0.687056482    
       34560  0.632222235      0.669191301      0.687923074    
       34620  0.632222235      0.669191301      0.688651145    
       34680  0.628888905      0.672720492      0.688776612    
       34740  0.623244464      0.672720492      0.688396871    
       34800  0.618777752      0.676702678      0.687719226    
       34860  0.618777752      0.676702678      0.686772346    
       34920  0.612222195      0.678191602      0.685720086    
       34980  0.608227253      0.678191602      0.684628427    
       35040  0.604340911      0.678325295      0.683587551    
       35100  0.600511134      0.678325295      0.682675481    
       35160  0.592644453      0.677984774      0.681852996    
       35220  0.584177792      0.677984774      0.680953801    
       35280  0.583249986      0.677649140      0.679972947    
       35340  0.579911113      0.677649140      0.678781569    
       35400  0.572666645      0.677827954      0.677005231    
       35460  0.566822231      0.677827954      0.674930036    
       35520  0.565136373      0.677593946      0.672728658    
       35580  0.561777771      0.677593946      0.670607567    
       35640  0.558266640      0.675103605      0.669213057    
       35700  0.551477253      0.675103605      0.668468714    
       35760  0.546500027      0.671956241      0.668656588    
       35820  0.544688880      0.671956241      0.669462681    
       35880  0.542155564      0.671607196      0.596101165    
       35940  0.540931821      0.671607196      0.596600771    
       36000  0.528136373      0.674743474      0.596856952    
       36060  0.526355565      0.674743474      0.596798480    
       36120  0.524022222      0.678323925      0.596281111    
       36180  0.521181822      0.678323925      0.595630288    
       36240  0.517454565      0.680272281      0.595022023    
       36300  0.515866637      0.680272281      0.594466150    
       36360  0.509977758      0.681320548      0.593737006    
       36420  0.509500027      0.681320548      0.593236089    
       36480  0.505090892      0.682315230      0.592667282    
       36540  0.502888918      0.682315230      0.591784358    
       36600  0.499177784      0.683156252      0.591146529    
