 20180813
 Seconds  Measures(WS-m/s)  Meso-NH(WS-m/s)  FORECAST_AR(WS-m/s)
        7200   6.87868834       5.34446049       5.13235188    
        7260   6.88327885       5.31690359       5.11451292    
        7320   6.90672112       5.29146194       5.09828281    
        7380   6.91901636       5.26858521       5.08208895    
        7440   6.92229509       5.24774790       5.06493855    
        7500   6.94032764       5.22797537       5.04550266    
        7560   6.93754101       5.20812368       5.02286196    
        7620   6.96163940       5.18709803       4.99646187    
        7680   6.98098373       5.16387129       4.96542311    
        7740   6.99655724       5.13745499       4.93000841    
        7800   7.01918030       5.10705185       4.89222956    
        7860   7.04688501       5.07190514       4.85588217    
        7920   7.05639362       5.03270960       4.82552195    
        7980   7.03754091       4.99216175       4.80398178    
        8040   7.00606537       4.95453691       4.79225922    
        8100   7.01344252       4.92392159       4.78910542    
        8160   7.00606537       4.90260220       4.79216671    
        8220   6.98704910       4.89088058       4.79916668    
        8280   6.96065569       4.88751364       4.80804920    
        8340   6.94131136       4.89033508       4.81708050    
        8400   6.94491816       4.89707804       4.82532787    
        8460   6.94409847       4.90559530       4.83222818    
        8520   6.93737698       4.91421700       4.83822680    
        8580   6.94672108       4.92206001       4.84429216    
        8640   6.94803286       4.92889357       4.85177660    
        8700   6.97163916       4.93509054       4.86185551    
        8760   6.98016405       4.94155216       4.87521124    
        8820   6.99131155       4.94937754       4.89190435    
        8880   7.00147533       4.95962334       4.91104317    
        8940   6.99278688       4.97283459       4.93072128    
        9000   6.97918034       4.98902464       4.94914341    
        9060   6.96557379       5.00754833       4.96444607    
        9120   6.95081949       5.02717876       4.97522783    
        9180   6.92885256       5.04632711       4.98063803    
        9240   6.93016386       5.06334496       4.98011112    
        9300   6.94622946       5.07672119       4.97367287    
        9360   6.94672108       5.08501816       4.96197224    
        9420   6.93770504       5.08709860       4.94683313    
        9480   6.92163944       5.08248281       4.93109512    
        9540   6.89819670       5.07176685       4.91770077    
        9600   6.87885237       5.05679750       4.90888023    
        9660   6.87770510       5.04050779       4.90555716    
        9720   6.86901617       5.02613354       4.90735960    
        9780   6.83163929       5.01619005       4.91338015    
        9840   6.79557371       5.01190472       4.92229033    
        9900   6.76622963       5.01328373       4.93286562    
        9960   6.75885248       5.01947689       4.94408751    
       10020   6.73573780       5.02916765       4.95522690    
       10080   6.71245909       5.04094124       4.96599102    
       10140   6.70459032       5.05358458       4.97624683    
       10200   6.69442606       5.06626034       4.98571873    
       10260   6.68081951       5.07854080       4.99404478    
       10320   6.64016390       5.09018850       5.00085831    
       10380   6.62180328       5.10084009       5.00631618    
       10440   6.60213137       5.10993624       5.01116896    
       10500   6.59803295       5.11700487       5.01636791    
       10560   6.60950804       5.12217045       5.02265263    
       10620   6.63770485       5.12632990       5.02974081    
       10680   6.64508200       5.13081408       5.03661013    
       10740   6.64131165       5.13669777       5.04235840    
       10800   6.66245890       5.14411449       7.08540249    
       10860   6.67524576       5.15201139       7.07536983    
       10920   6.68918037       5.15907192       7.06583309    
       10980   6.68967199       5.16456413       7.05776548    
       11040   6.69081974       5.16885424       7.05145121    
       11100   6.70426226       5.17304277       7.04704905    
       11160   6.69475412       5.17834520       7.04367924    
       11220   6.71229506       5.18563604       7.04056215    
       11280   6.70409822       5.19523716       7.03719330    
       11340   6.70852470       5.20683193       7.03232288    
       11400   6.72573757       5.21958637       7.02541494    
       11460   6.72032785       5.23240280       7.01608086    
       11520   6.70901632       5.24410391       7.00381994    
       11580   6.72032785       5.25363684       6.98835754    
       11640   6.74147558       5.26014280       6.96941853    
       11700   6.77836084       5.26301336       6.94719648    
       11760   6.78983593       5.26196575       6.92227650    
       11820   6.79885244       5.25704098       6.89538145    
       11880   6.80754089       5.24876690       6.86800003    
       11940   6.82032776       5.23807192       6.84156132    
       12000   6.82655716       5.22599316       6.81795835    
       12060   6.81508207       5.21353674       6.79960394    
       12120   6.80688524       5.20183945       6.78841543    
       12180   6.81032801       5.19253635       6.78564501    
       12240   6.79196739       5.18764162       6.79039192    
       12300   6.77344275       5.18914509       6.79959106    
       12360   6.73131132       5.19849491       6.80998087    
       12420   6.70557356       5.21553898       6.81931400    
       12480   6.67524576       5.23791265       6.82702017    
