 20181016
 Seconds  Measures(PWV-mm)  Meso-NH(PWV-mm)  FORECAST_AR(PWV-mm)
        3480   2.03374076       3.01793361       2.02069592    
        3540   2.03374076       3.01793361       2.01688170    
        3600   2.03210711       2.99347758       2.01228023    
        3660   2.03248143       2.99347758       2.00767064    
        3720   2.03517866       2.96363831       2.00483084    
        3780   2.03542852       2.96363831       2.00495648    
        3840   2.04037046       2.93556499       2.00605130    
        3900   2.03803563       2.93556499       2.00714540    
        3960   2.04359269       2.91547585       2.00711656    
        4020   2.03596425       2.91547585       2.00692081    
        4080   2.03596425       2.89855814       2.00760627    
        4140   2.04259253       2.89855814       2.01089621    
        4200   2.03981471       2.87983561       2.01526690    
        4260   2.03760719       2.87983561       2.02056217    
        4320   2.03760719       2.86612034       2.02667117    
        4380   2.03231025       2.86612034       2.03109765    
        4440   2.03099990       2.85678363       2.03277683    
        4500   2.03099990       2.85678363       2.03396654    
        4560   2.01928568       2.84893465       2.03583288    
        4620   2.01928568       2.84893465       2.03971910    
        4680   2.01017857       2.83274031       2.04550838    
        4740   2.01017857       2.83274031       2.05055237    
        4800   1.99996424       2.82025218       2.05435681    
        4860   1.99996424       2.82025218       2.05598330    
        4920   1.99465513       2.81304240       2.05602956    
        4980   1.99327588       2.81304240       2.05679679    
        5040   1.98807144       2.80110025       2.05815840    
        5100   1.98807144       2.80110025       2.06076932    
        5160   1.98085189       2.78390622       2.06398559    
        5220   1.98467863       2.78390622       2.06706524    
        5280   1.97440743       2.76958179       2.06970358    
        5340   1.97440743       2.76958179       2.07230115    
        5400   1.96646428       2.75883818       2.07499957    
        5460   1.95514286       2.75883818       2.07853079    
        5520   1.95514286       2.74532390       2.08317208    
        5580   1.94703567       2.74532390       2.08962536    
        5640   1.94125926       2.73432589       2.09716105    
        5700   1.94125926       2.73432589       2.10174942    
        5760   1.93114817       2.72826719       2.10352254    
        5820   1.93114817       2.72826719       2.10060620    
        5880   1.92937040       2.72547817       2.09263635    
        5940   1.93014288       2.72547817       2.08485818    
        6000   1.92037034       2.71234465       2.07674289    
        6060   1.92037034       2.71234465       2.07396889    
        6120   1.92037034       2.68066239       2.07666588    
        6180   1.92746425       2.68066239       2.07671857    
        6240   1.92048144       2.64836526       2.07509351    
        6300   1.92048144       2.64836526       2.07333779    
        6360   1.92333329       2.63796139       2.07131028    
        6420   1.92203569       2.63796139       2.07100916    
        6480   1.92311108       2.62256813       2.07223749    
        6540   1.92378569       2.62256813       2.07500100    
        6600   1.92592597       2.60731101       2.07864761    
        6660   1.92592597       2.60731101       2.08215165    
        6720   1.92578566       2.59771824       2.08508801    
        6780   1.92711115       2.59771824       2.08692217    
        6840   1.93255556       2.59222436       2.08889580    
        6900   1.93255556       2.59222436       2.09106326    
        6960   1.94107139       2.58563590       2.09249711    
        7020   1.95027590       2.58563590       2.09437680    
        7080   1.94496429       2.58042645       1.94545054    
        7140   1.94496429       2.58042645       1.94673991    
        7200   1.94827580       2.57325768       1.94982183    
        7260   1.95334482       2.57325768       1.95329654    
        7320   1.95334482       2.56636047       1.95657778    
        7380   1.95506895       2.56636047       1.95800626    
        7440   1.95221424       2.56397724       1.95666826    
        7500   1.96013796       2.56397724       1.95509422    
        7560   1.95960712       2.56111407       1.95358801    
        7620   1.95960712       2.56111407       1.95211685    
        7680   1.97582138       2.55117774       1.95178723    
        7740   1.98817241       2.55117774       1.95235336    
        7800   1.98817241       2.53911591       1.95321572    
        7860   1.99246430       2.53911591       1.95487165    
        7920   1.99300003       2.52857471       1.95468652    
        7980   2.01246428       2.52857471       1.95282352    
        8040   2.01722217       2.52029133       1.95139301    
        8100   2.01722217       2.52029133       1.95104432    
        8160   2.03460717       2.51252580       1.95184886    
        8220   2.04644442       2.51252580       1.95273983    
        8280   2.06242847       2.50286341       1.95303941    
        8340   2.08685708       2.50286341       1.95273685    
        8400   2.08685708       2.49579430       1.95232737    
        8460   2.09677768       2.49579430       1.95222616    
        8520   2.10907149       2.48820639       1.95324445    
        8580   2.11881471       2.48820639       1.95501983    
        8640   2.14403701       2.48243117       1.95698178    
        8700   2.14403701       2.48243117       1.95885539    
        8760   2.16432142       2.47826934       1.96043718    
        8820   2.18627596       2.47826934       1.96225870    
        8880   2.18978572       2.47322607       1.96356082    
        8940   2.18978572       2.47322607       1.96477818    
        9000   2.20520687       2.47083187       1.96672368    
        9060   2.23799992       2.47083187       1.96856904    
