 20190625
 Seconds  Measures(PWV-mm)  Meso-NH(PWV-mm)  FORECAST_AR(PWV-mm)
        3480   4.04903316       3.84598470       4.04109955    
        3540   4.04903316       3.84598470       4.00980377    
        3600   4.04596758       3.84129429       3.99571180    
        3660   4.00333357       3.84129429       3.98150110    
        3720   3.99309683       3.83537507       3.96917105    
        3780   3.97106671       3.83537507       3.95647478    
        3840   3.93183327       3.82936335       3.94196033    
        3900   3.93183327       3.82936335       3.92819786    
        3960   3.89516664       3.82385516       3.91464639    
        4020   3.89516664       3.82385516       3.90128016    
        4080   3.86273336       3.81850243       3.88709712    
        4140   3.86273336       3.81850243       3.87627625    
        4200   3.83293343       3.81286693       3.86812115    
        4260   3.82525802       3.81286693       3.85759830    
        4320   3.80929995       3.80660915       3.83881402    
        4380   3.81616139       3.80660915       3.82283759    
        4440   3.78083324       3.79934406       3.80421233    
        4500   3.78083324       3.79934406       3.79413295    
        4560   3.77061296       3.79108882       3.78185534    
        4620   3.75909996       3.79108882       3.77720928    
        4680   3.75393558       3.78181148       3.77263975    
        4740   3.74453330       3.78181148       3.76420331    
        4800   3.73499990       3.77196980       3.75408769    
        4860   3.72546673       3.77196980       3.74325967    
        4920   3.70861292       3.76134014       3.73278618    
        4980   3.69636655       3.76134014       3.72413683    
        5040   3.68058062       3.74904513       3.71925712    
        5100   3.66989994       3.74904513       3.71544695    
        5160   3.65748382       3.73482561       3.71014905    
        5220   3.63974190       3.73482561       3.70185685    
        5280   3.62873340       3.71948290       3.69452524    
        5340   3.62873340       3.71948290       3.68145537    
        5400   3.62883878       3.70335603       3.67734575    
        5460   3.61326671       3.70335603       3.67194533    
        5520   3.60058069       3.68678117       3.67033601    
        5580   3.60030007       3.68678117       3.66921687    
        5640   3.58974195       3.67000151       3.66663861    
        5700   3.59073329       3.67000151       3.66325068    
        5760   3.57964516       3.65297985       3.65907812    
        5820   3.58206677       3.65297985       3.65495872    
        5880   3.56819344       3.63532352       3.65042853    
        5940   3.57130003       3.63532352       3.64805365    
        6000   3.55063343       3.61663246       3.64799380    
        6060   3.53222585       3.61663246       3.64704823    
        6120   3.52290010       3.59631133       3.64002013    
        6180   3.52322578       3.59631133       3.63530803    
        6240   3.49343324       3.57416892       3.62922096    
        6300   3.49343324       3.57416892       3.62829685    
        6360   3.48632264       3.55105209       3.62505555    
        6420   3.48379993       3.55105209       3.62725139    
        6480   3.47232246       3.52804756       3.62998247    
        6540   3.45690322       3.52804756       3.63099051    
        6600   3.44759989       3.50598001       3.63085365    
        6660   3.43667746       3.50598001       3.62908411    
        6720   3.42866659       3.48469377       3.62796664    
        6780   3.41970968       3.48469377       3.62878847    
        6840   3.41269994       3.46348977       3.63169193    
        6900   3.39706445       3.46348977       3.63401294    
        6960   3.39706445       3.44188190       3.63599038    
        7020   3.36732268       3.44188190       3.63613176    
        7080   3.34916663       3.42024517       3.34599662    
        7140   3.34916663       3.42024517       3.33294106    
        7200   3.34645152       3.39908099       3.32184267    
        7260   3.31206441       3.39908099       3.31347990    
        7320   3.31206441       3.37847757       3.30579448    
