 20190622
 Seconds  Measures(PWV-mm)  Meso-NH(PWV-mm)  FORECAST_AR(PWV-mm)
        3480   2.45796299       1.76337886       2.47069907    
        3540   2.45796299       1.76337886       2.47106528    
        3600   2.46700001       1.72324526       2.47717452    
        3660   2.46207404       1.72324526       2.48477936    
        3720   2.46232152       1.68631506       2.49220037    
        3780   2.46740746       1.68631506       2.49966288    
        3840   2.46789289       1.65570915       2.50589705    
        3900   2.47396302       1.65570915       2.51285744    
        3960   2.47421432       1.63258183       2.52105141    
        4020   2.47955561       1.63258183       2.52968001    
        4080   2.48039293       1.60828102       2.53919649    
        4140   2.48651862       1.60828102       2.54991817    
        4200   2.48810720       1.58416629       2.56146264    
        4260   2.49237037       1.58416629       2.57216597    
        4320   2.49237037       1.56209803       2.57842994    
        4380   2.50639296       1.56209803       2.58445549    
        4440   2.49740744       1.54165792       2.58962345    
        4500   2.49740744       1.54165792       2.59627867    
        4560   2.50596285       1.52154207       2.60330462    
        4620   2.51035714       1.52154207       2.61349368    
        4680   2.51035714       1.50011933       2.62475419    
        4740   2.51885724       1.50011933       2.63593459    
        4800   2.51885724       1.47881687       2.64752913    
        4860   2.52689290       1.47881687       2.65932488    
        4920   2.52689290       1.46319044       2.67187548    
        4980   2.53510714       1.46319044       2.68574953    
        5040   2.54085183       1.45214617       2.70167685    
        5100   2.54085183       1.45214617       2.71892452    
        5160   2.54665375       1.44336975       2.73518395    
        5220   2.55144453       1.44336975       2.75006795    
        5280   2.55176926       1.43648064       2.76408720    
        5340   2.55176926       1.43648064       2.77536559    
        5400   2.56437039       1.43233550       2.78822708    
        5460   2.55973077       1.43233550       2.80152941    
        5520   2.56225920       1.43035102       2.81470251    
        5580   2.56669235       1.43035102       2.82821012    
        5640   2.57496142       1.42873418       2.84103751    
        5700   2.57496142       1.42873418       2.85375571    
        5760   2.58388472       1.42775118       2.86672854    
        5820   2.58388472       1.42775118       2.87997484    
        5880   2.59265375       1.42666566       2.89393377    
        5940   2.59265375       1.42666566       2.90866852    
        6000   2.59459257       1.42595899       2.92420053    
        6060   2.59459257       1.42595899       2.93913507    
        6120   2.59459257       1.42628002       2.95098448    
        6180   2.60807133       1.42628002       2.96247506    
        6240   2.59422231       1.42737734       2.97365713    
        6300   2.59422231       1.42737734       2.98475528    
        6360   2.60248137       1.42943788       2.99432993    
        6420   2.60248137       1.42943788       3.00453711    
        6480   2.61074066       1.43159223       3.01494145    
        6540   2.61074066       1.43159223       3.02483249    
        6600   2.61781478       1.43386221       3.03425026    
        6660   2.61781478       1.43386221       3.04263139    
        6720   2.62370372       1.43622768       3.05093455    
        6780   2.62370372       1.43622768       3.05979419    
        6840   2.63014817       1.43835652       3.06913662    
        6900   2.63014817       1.43835652       3.07826042    
        6960   2.63861537       1.44040656       3.08650708    
        7020   2.64337039       1.44040656       3.09364700    
        7080   2.64692307       1.44251120       2.66998863    
        7140   2.64692307       1.44251120       2.67259049    
        7200   2.65833330       1.44452405       2.67511392    
        7260   2.65630770       1.44452405       2.67858887    
        7320   2.65829635       1.44658160       2.68164444    
        7380   2.66557693       1.44658160       2.68454671    
        7440   2.66837049       1.44868016       2.68727684    
        7500   2.67557693       1.44868016       2.68988872    
        7560   2.67777777       1.45058346       2.69250154    
        7620   2.68534613       1.45058346       2.69433689    
        7680   2.68729639       1.45203686       2.69565177    
        7740   2.69438457       1.45203686       2.69713640    
        7800   2.69629622       1.45331728       2.69895005    
        7860   2.70307398       1.45331728       2.70065713    
        7920   2.70307398       1.45500517       2.69977021    
        7980   2.71603560       1.45500517       2.69961810    
        8040   2.70977783       1.45699370       2.70085621    
        8100   2.70977783       1.45699370       2.70203352    
        8160   2.71071434       1.45897532       2.70262098    
        8220   2.71396303       1.45897532       2.70268536    
        8280   2.71803713       1.46099019       2.70295835    
        8340   2.71803713       1.46099019       2.70329428    
        8400   2.72244453       1.46289945       2.70300341    
        8460   2.72244453       1.46289945       2.70209551    
        8520   2.72729635       1.46452439       2.70085716    
        8580   2.72729635       1.46452439       2.69993758    
        8640   2.73025918       1.46612000       2.69906425    
        8700   2.73025918       1.46612000       2.69706941    
        8760   2.73025918       1.46737099       2.69551253    
        8820   2.73003578       1.46737099       2.69449949    
        8880   2.73203707       1.46807802       2.69358706    
        8940   2.73203707       1.46807802       2.69111490    
        9000   2.74092865       1.46852875       2.68896556    
        9060   2.73439288       1.46852875       2.68783236    
        9120   2.73439288       1.46890497       2.68626046    
        9180   2.73833323       1.46890497       2.68446779    
        9240   2.73746419       1.46911418       2.68261051    
        9300   2.74133325       1.46911418       2.68060088    
        9360   2.73974991       1.46922445       2.67867613    
        9420   2.74366665       1.46922445       2.67637444    
        9480   2.74214292       1.46928203       2.67386627    
        9540   2.74399996       1.46928203       2.67152500    
        9600   2.74399996       1.46944201       2.66938424    
        9660   2.74766660       1.46944201       2.66721582    
        9720   2.74766660       1.46965456       2.66340065    
        9780   2.75753570       1.46965456       2.66009808    
        9840   2.74959254       1.46936691       2.65778756    
