 20181204
 Seconds  Measures(WD-m/s_VX)  Measures(WD-m/s_VY)  Meso-NH(WD-m/s_VX)  Meso-NH(WD-m/s_VY)  FORECAST_AR(WD-m/s_VX)  FORECAST_AR(WD-m/s_VY)
        7800   7.68656206      -14.6971607       3.12451768      -10.2489967       7.56253195      -15.0586691    
        7860   7.68853045      -14.6532326       3.08127856      -10.2907896       7.51257658      -15.0469427    
        7920   7.66716003      -14.6190329       3.02603126      -10.3191900       7.46984386      -15.0054197    
        7980   7.67189217      -14.5962467       2.96298122      -10.3225155       7.43184805      -14.9455500    
        8040   7.68929100      -14.5774441       2.90567684      -10.2917366       7.40191364      -14.8845892    
        8100   7.70433044      -14.6230803       2.85891390      -10.2296782       7.38744974      -14.8361387    
        8160   7.71355391      -14.5884409       2.81942153      -10.1505432       7.36985970      -14.8167009    
        8220   7.74219227      -14.5785561       2.79061413      -10.0728922       7.36379337      -14.8159542    
        8280   7.72584581      -14.5595531       2.77363157      -10.0134697       7.36162806      -14.8252792    
        8340   7.72374582      -14.5660028       2.76350403      -9.97924042       7.34957933      -14.8407545    
        8400   7.76997423      -14.5620604       2.75492358      -9.96331215       7.33885717      -14.8534107    
        8460   7.72387505      -14.5298080       2.73943758      -9.95614338       7.32586098      -14.8742428    
        8520   7.72275877      -14.5276165       2.71776175      -9.95215416       7.30515814      -14.8851337    
        8580   7.71268654      -14.5294514       2.70307899      -9.95103455       7.28863382      -14.8911428    
        8640   7.71917439      -14.5199041       2.69053125      -9.95075226       7.27995539      -14.9122725    
        8700   7.73378944      -14.5065670       2.67391896      -9.94643021       7.27979517      -14.9382334    
        8760   7.74172401      -14.5442600       2.66164207      -9.94477654       7.30951738      -14.9577484    
        8820   7.75805473      -14.5450897       2.66093063      -9.95446205       7.35374069      -14.9645138    
        8880   7.77832031      -14.5712938       2.67998981      -9.96630764       7.39726114      -14.9495440    
        8940   7.77668715      -14.5969810       2.72508645      -9.96534348       7.44757175      -14.9264507    
        9000   7.75245810      -14.5911169       2.77913094      -9.94789886       7.49067354      -14.9055128    
        9060   7.75588322      -14.6255188       2.82635641      -9.91846085       7.52115297      -14.8772106    
        9120   7.79134178      -14.6311331       2.86979175      -9.88099861       7.54661751      -14.8400898    
        9180   7.79777193      -14.5979967       2.91002655      -9.83777905       7.57292461      -14.7943649    
        9240   7.80020571      -14.6112127       2.94554710      -9.78558254       7.60208988      -14.7446041    
        9300   7.79497099      -14.6113501       2.97776389      -9.71998310       7.63609600      -14.6838837    
        9360   7.81090975      -14.6223679       3.01077819      -9.64888382       7.66640949      -14.6098757    
        9420   7.82954168      -14.6710243       3.04855824      -9.57837105       7.70655584      -14.5255575    
        9480   7.87262058      -14.6782103       3.08978820      -9.50082970       7.74872684      -14.4352007    
        9540   7.91187477      -14.6759405       3.13492560      -9.41203594       7.78637314      -14.3437405    
        9600   7.91362238      -14.6592321       3.18212438      -9.31507492       7.82651615      -14.2522345    
        9660   7.93049908      -14.6393881       3.22727776      -9.21669197       7.86432362      -14.1609268    
        9720   7.95864248      -14.6236076       3.27437592      -9.11747551       7.89924049      -14.0735731    
        9780   7.95856190      -14.5916023       3.32596493      -9.01670456       7.92965317      -13.9853621    
        9840   7.96187210      -14.5470419       3.37646389      -8.91917896       7.95627356      -13.8913956    
        9900   7.95704460      -14.5282116       3.42171168      -8.82717228       7.98622704      -13.8002853    
        9960   7.95682096      -14.5277739       3.46242452      -8.73755360       8.02108479      -13.7084427    
       10020   7.96610355      -14.5046568       3.50106049      -8.64691162       8.05397987      -13.6185236    
       10080   7.97935152      -14.4681416       3.54125667      -8.55595970       8.08534622      -13.5379372    
       10140   7.94665766      -14.4193993       3.58347821      -8.46453953       8.11991310      -13.4745789    
       10200   7.93748760      -14.3922005       3.62466383      -8.37207508       8.15714550      -13.4314499    
       10260   7.93310213      -14.3642712       3.66733623      -8.28570652       8.18453789      -13.3963938    
       10320   7.94557333      -14.3487234       3.71652818      -8.21699238       8.20478344      -13.3647633    
       10380   7.96724176      -14.3379202       3.76501608      -8.16855717       8.22966099      -13.3348389    
       10440   7.95388079      -14.3147783       3.80228925      -8.13296318       8.25141811      -13.3065863    
       10500   7.96500111      -14.2849407       3.83427811      -8.10160542       8.26433468      -13.2845745    
       10560   7.97653484      -14.2871618       3.86834383      -8.07224178       8.27162170      -13.2665882    
       10620   7.96030569      -14.2757473       3.89989591      -8.04752636       8.27332878      -13.2513504    
       10680   7.94671249      -14.2338181       3.92497468      -8.02946281       8.26747704      -13.2429008    
       10740   7.93307543      -14.2467909       3.94531369      -8.01690388       8.26096439      -13.2398272    
       10800   7.95357800      -14.2279587       3.96139002      -8.00865173       7.97949982      -14.1583281    
       10860   7.98718166      -14.1837912       3.97191262      -8.00545883       7.97230434      -14.1504641    
