 20190121
 Seconds  Measures(WD-m/s_VX)  Measures(WD-m/s_VY)  Meso-NH(WD-m/s_VX)  Meso-NH(WD-m/s_VY)  FORECAST_AR(WD-m/s_VX)  FORECAST_AR(WD-m/s_VY)
        3660   4.77886868      -1.29138827       4.63414240       1.90730906       4.83665514      -1.22871733    
        3720   4.80822468      -1.31071961       4.62684345       1.97098827       4.86503172      -1.22589386    
        3780   4.85499382      -1.32207048       4.61138868       2.04690409       4.88899994      -1.22268522    
        3840   4.89852858      -1.32356811       4.58828115       2.13211298       4.91313601      -1.22746503    
        3900   4.90277529      -1.31257260       4.56050301       2.21852422       4.93382740      -1.23554981    
        3960   4.94762850      -1.30066454       4.53177977       2.29631114       4.95403004      -1.23616004    
        4020   4.97997570      -1.26882625       4.50513029       2.36107612       4.97964334      -1.22358489    
        4080   4.97778368      -1.24495602       4.48164701       2.41772461       5.01538038      -1.20185423    
        4140   4.98176050      -1.21370256       4.46094894       2.47568560       5.05722809      -1.17543745    
        4200   4.98687506      -1.19945276       4.44329071       2.54102826       5.10444069      -1.14103043    
        4260   4.99213648      -1.18570185       4.43054342       2.61385584       5.15088940      -1.10443556    
        4320   5.01976728      -1.17766857       4.42395353       2.69169235       5.19045734      -1.06868947    
        4380   5.04608822      -1.13108790       4.42200661       2.77314472       5.21770382      -1.03428173    
        4440   5.05844593      -1.13016856       4.42070580       2.85718966       5.23758173      -1.00290358    
        4500   5.08730221      -1.12938416       4.41529322       2.94034910       5.25555229     -0.972462475    
        4560   5.10585546      -1.14879465       4.40239954       3.01764822       5.27187920     -0.929925978    
        4620   5.13192320      -1.14843476       4.38265944       3.08824825       5.28740263     -0.881313980    
        4680   5.14945650      -1.12317812       4.35925913       3.15698600       5.29711676     -0.830189466    
        4740   5.16550159      -1.08195078       4.33453417       3.23089051       5.30704260     -0.787922621    
        4800   5.16947651      -1.08112884       4.30899858       3.31284499       5.31497192     -0.752911150    
        4860   5.20050049      -1.07565880       4.28259182       3.39796019       5.32262945     -0.725473702    
        4920   5.21016550      -1.07075071       4.25584459       3.47813845       5.33411312     -0.690287530    
        4980   5.22136974      -1.02158499       4.23003578       3.54948330       5.35334969     -0.650044620    
        5040   5.22638130     -0.990033209       4.20679712       3.61398220       5.38071156     -0.606826365    
        5100   5.25130844     -0.966453791       4.18850994       3.67642975       5.41713285     -0.570436776    
        5160   5.27775621     -0.965698838       4.17879248       3.74032378       5.45734453     -0.541939676    
        5220   5.29547548     -0.973611712       4.18036890       3.80441761       5.49684000     -0.518855214    
        5280   5.29585314     -0.954270124       4.19240236       3.86345673       5.53703976     -0.495300353    
        5340   5.29502821     -0.946875215       4.21024704       3.91307020       5.57314777     -0.473227590    
        5400   5.29762268     -0.958585024       4.22892904       3.95427346       5.60188293     -0.445309758    
        5460   5.31318426     -0.954056084       4.24643755       3.99249768       5.62263107     -0.411149859    
        5520   5.34203005     -0.983425796       4.26242828       4.03283596       5.63962364     -0.370983064    
        5580   5.35790062     -0.987544477       4.27526093       4.07755089       5.64929962     -0.328528702    
        5640   5.35893154     -0.967287004       4.28197765       4.12671280       5.65607643     -0.289323211    
        5700   5.36025810     -0.958995402       4.28105068       4.17955208       5.66473675     -0.254257500    
        5760   5.36351633     -0.930274785       4.27323294       4.23427677       5.67478514     -0.219442874    
        5820   5.36820698     -0.898183584       4.26127958       4.28829861       5.68637657     -0.182314649    
        5880   5.38490963     -0.862882078       4.24891806       4.33904171       5.69472694     -0.144683406    
        5940   5.41259623     -0.798257649       4.23903704       4.38510180       5.70452166     -0.106627896    
        6000   5.40793467     -0.770452082       4.23255920       4.42709112       5.71468258      -7.21327588E-02
        6060   5.41602468     -0.721304417       4.22829485       4.46659994       5.73005819      -4.17194553E-02
        6120   5.44231272     -0.683889270       4.22480059       4.50442505       5.75162935      -1.43161817E-02
        6180   5.46628284     -0.648758948       4.22259617       4.53942537       5.78244114       9.22810566E-03
        6240   5.46262169     -0.587931693       4.22513676       4.56984854       5.81927013       2.78471392E-02
