 20190621
 Seconds  Measures(GLF-%)  Meso-NH(GLF-%)  FORECAST_AR(GLF-%)
       21480   81.7333298       24.9642792       82.2291489    
       21540   81.6523819       24.9642792       82.0436172    
       21600   81.9243927       25.3926849       81.8911743    
       21660   81.6571426       25.3926849       81.7718658    
       21720   81.3880920       25.4497089       81.7228546    
       21780   81.4023819       25.4497089       81.7546234    
       21840   81.5878067       25.5756626       81.8213882    
       21900   81.4268265       25.5756626       81.9329529    
       21960   81.3666687       25.9965649       82.0309296    
       22020   81.5261917       25.9965649       82.1437378    
       22080   81.4547653       26.5718212       82.2197876    
       22140   81.4219513       26.5718212       82.2329330    
       22200   81.4642868       27.1424904       82.2047195    
       22260   81.5547638       27.1424904       82.1067581    
       22320   81.7833328       27.5861473       81.9540482    
       22380   81.7731705       27.5861473       81.7275162    
       22440   81.6095276       27.8244152       81.4792023    
       22500   81.5023804       27.8244152       81.1734848    
       22560   81.2095261       27.8574944       80.8054810    
       22620   81.2095261       27.8574944       80.3951874    
       22680   80.8476181       27.7134171       79.9661865    
       22740   80.4809494       27.7134171       79.5934067    
       22800   80.4219513       27.3484364       79.2591629    
       22860   80.3609772       27.3484364       78.9692764    
       22920   80.4452362       26.9330235       78.7638855    
       22980   80.2928543       26.9330235       78.6112671    
       23040   80.1487808       26.7181492       78.4431992    
       23100   80.1214294       26.7181492       78.2154007    
       23160   79.9761887       26.8578949       77.9098816    
       23220   79.7785721       26.8578949       77.5646439    
       23280   79.4880981       26.8680534       77.1557465    
       23340   79.4880981       26.8680534       76.7707672    
       23400   79.3095245       26.6267757       76.3796310    
       23460   79.2714310       26.6267757       75.9696579    
       23520   79.4357147       26.2146397       75.6053772    
       23580   79.4357147       26.2146397       75.2899475    
       23640   79.3000031       25.8924103       75.0583344    
       23700   79.3000031       25.8924103       74.9150620    
       23760   79.2428589       25.7691193       74.8071899    
       23820   79.2170715       25.7691193       74.7416382    
       23880   79.3095245       25.9638634       74.6576080    
       23940   79.5372086       25.9638634       74.5631714    
       24000   79.5372086       26.3011303       74.4625244    
       24060   79.7750015       26.3011303       74.3703613    
       24120   79.9822235       26.6010857       74.2774658    
       24180   80.0586929       26.6010857       74.1436462    
       24240   79.9108658       26.9250507       73.9864883    
       24300   79.9108658       26.9250507       73.8459091    
       24360   79.8282623       27.2616100       73.7134552    
       24420   79.8434753       27.2616100       73.5936203    
       24480   79.7717361       27.5255699       73.4367065    
       24540   79.7717361       27.5255699       73.2149429    
       24600   79.8543472       27.8017330       72.9702377    
       24660   80.1130447       27.8017330       72.6930542    
       24720   80.1644440       27.9099712       72.4853210    
       24780   80.2695618       27.9099712       72.3447037    
       24840   80.2717361       27.9149284       72.1475220    
       24900   80.3822250       27.9149284       71.8449402    
       24960   80.3777771       28.1988392       71.4287872    
       25020   80.5043488       28.1988392       71.0181503    
       25080   80.6043472       28.2661381       80.8913574    
       25140   80.7288895       28.2661381       81.2181396    
       25200   81.1466675       27.8847790       81.5444260    
       25260   81.2391281       27.8847790       81.7844315    
       25320   81.5695648       27.4619484       81.9331970    
       25380   82.0400009       27.4619484       81.9607773    
       25440   82.2244415       27.3547268       81.8954697    
       25500   82.2244415       27.3547268       81.7743301    
       25560   82.5688858       27.0797329       81.6560593    
       25620   82.6755524       27.0797329       81.5673523    
       25680   82.9222260       26.4657993       81.4706497    
       25740   82.9681854       26.4657993       81.4098358    
       25800   83.1266632       25.8383923       81.3971710    
       25860   83.1355591       25.8383923       81.4633026    
       25920   83.2088852       25.2813816       81.5684357    
       25980   83.2931824       25.2813816       81.7146759    
       26040   83.1666641       25.0066051       81.8873291    
       26100   83.2888870       25.0066051       82.0530014    
       26160   83.3711090       24.9552803       82.2343292    
       26220   83.5318146       24.9552803       82.4214706    
       26280   83.5599976       25.0320473       82.7129364    
       26340   83.7688904       25.0320473       83.0902557    
       26400   83.9644470       25.2353210       83.4440994    
       26460   83.9644470       25.2353210       83.8046799    
       26520   83.9599991       25.8727493       84.1963730    
       26580   83.9244461       25.8727493       84.5866394    
       26640   83.9977798       26.5348206       84.9994812    
       26700   83.9977798       26.5348206       85.5285187    
       26760   84.0355530       27.3328800       86.1338882    
       26820   84.0311127       27.3328800       86.8219833    
       26880   84.0733337       28.2875900       87.5412903    
       26940   84.3533325       28.2875900       88.3047562    
       27000   84.3533325       29.5446453       89.0964584    
       27060   84.4333344       29.5446453       89.9270248    
       27120   84.3955536       30.9705524       90.7964401    
       27180   84.4244461       30.9705524       91.6421356    
       27240   84.4244461       32.4916000       92.3675385    
       27300   84.4133301       32.4916000       92.9431610    
       27360   84.2155533       34.1291504       93.3383179    
       27420   84.0311127       34.1291504       93.6245651    
       27480   84.0311127       35.3445396       93.8163528    
       27540   83.9733353       35.3445396       93.9700012    
       27600   83.8911133       35.8920174       94.1278229    
       27660   83.8911133       35.8920174       94.2718887    
       27720   83.7022247       36.0989151       94.3976669    
       27780   83.5133362       36.0989151       94.5067062    
       27840   83.5644455       36.3389778       94.6129074    
       27900   83.6295471       36.3389778       94.6942825    
       27960   83.6577759       36.5832710       94.7616196    
       28020   83.8888855       36.5832710       94.8311081    
       28080   83.8386383       36.8542061       94.8593521    
       28140   83.8136368       36.8542061       94.9022903    
       28200   83.9177780       37.1287308       94.9039383    
       28260   84.0177765       37.1287308       94.8249435    
       28320   83.8840942       37.2940559       94.7472153    
       28380   83.9377747       37.2940559       94.5648499    
       28440   83.9888916       37.3373222       94.3715210    
       28500   84.0066681       37.3373222       94.2891769    
       28560   83.9347839       37.4081078       94.2972717    
       28620   83.8888855       37.4081078       94.4027481    
       28680   83.7311096       37.4663773       83.7348480    
       28740   83.4866638       37.4663773       83.6513748    
       28800   83.4866638       37.9085770       83.6370392    
       28860   83.1866684       37.9085770       83.7219925    
       28920   83.2488861       38.5360603       83.8611679    
       28980   83.1886368       38.5360603       84.0501938    
       29040   83.2488861       39.3854980       84.2574768    
       29100   83.3622208       39.3854980       84.4577713    
       29160   83.4369583       40.4664383       84.6244049    
       29220   83.3577805       40.4664383       84.7158737    
       29280   83.3466644       41.6753922       84.7488480    
       29340   83.2799988       41.6753922       84.7458267    
       29400   83.3760834       42.7794533       84.7090759    
       29460   83.2266693       42.7794533       84.6366425    
       29520   83.0422211       43.5880470       84.4859238    
       29580   82.9199982       43.5880470       84.3071899    
       29640   82.9173889       44.1968651       84.1140747    
       29700   83.0355530       44.1968651       83.9291916    
       29760   83.0444412       44.5052185       83.7923813    
       29820   83.1068192       44.5052185       83.6858292    
       29880   83.2155533       44.7110519       83.6471634    
       29940   83.1795425       44.7110519       83.5778656    
       30000   83.2590942       45.0514488       83.4641495    
       30060   83.4681854       45.0514488       83.3901062    
       30120   83.5666656       45.5196037       83.3159256    
       30180   83.6318207       45.5196037       83.2190399    
       30240   83.7840881       45.7711601       83.0330963    
       30300   83.8454514       45.7711601       82.7289505    
       30360   83.8454514       46.0173454       82.2795639    
       30420   84.0613632       46.0173454       81.7185898    
       30480   84.2613602       45.8944588       81.0821457    
       30540   84.2976761       45.8944588       80.3922424    
       30600   84.1395340       45.1716309       79.6875534    
       30660   84.2318192       45.1716309       78.9706802    
       30720   84.1863632       44.1499977       78.2616577    
       30780   84.2697678       44.1499977       77.5596008    
       30840   84.2372055       43.0939789       76.8446121    
       30900   84.2772751       43.0939789       76.2068405    
       30960   84.2386398       42.1134949       75.6175156    
       31020   84.4795456       42.1134949       75.1092606    
       31080   84.7279053       41.1326408       74.6597977    
       31140   84.7295456       41.1326408       74.2521362    
       31200   84.8795471       40.3557587       73.8956528    
       31260   84.9136353       40.3557587       73.5413208    
       31320   84.9136353       39.8620491       73.2938156    
       31380   85.0727310       39.8620491       73.1402664    
       31440   85.1886368       39.5668602       72.9871521    
       31500   85.2931824       39.5668602       72.8226318    
       31560   85.2931824       39.6779938       72.5872574    
       31620   85.3522720       39.6779938       72.2687454    
       31680   85.3181839       39.7751656       71.9087219    
       31740   85.4066696       39.7751656       71.5536194    
