 20190712
 Seconds  Measures(GLF-%)  Meso-NH(GLF-%)  FORECAST_AR(GLF-%)
       41820   80.4558792       54.3667870       78.8728561    
       41880   80.4588242       54.3274231       78.7061996    
       41940   80.3764725       54.3274231       78.5710526    
       42000   80.3764725       54.2214699       78.4436417    
       42060   80.5485687       54.2214699       78.3431625    
       42120   80.6138916       54.1402855       78.2801819    
       42180   80.0837860       54.1402855       78.2199402    
       42240   80.0837860       54.0912666       78.1877289    
       42300   80.0999985       54.0912666       78.1392822    
       42360   79.9128189       54.1373100       78.0625000    
       42420   80.0350037       54.1373100       77.9563065    
       42480   80.0350037       54.3076324       77.8354721    
       42540   80.1243896       54.3076324       77.7430115    
       42600   80.2785721       54.3697281       77.6407318    
       42660   80.2190475       54.3697281       77.5019379    
       42720   80.3000031       54.3887138       77.2919312    
       42780   80.5476227       54.3887138       77.0469131    
       42840   80.7166672       54.3492355       76.8762894    
       42900   81.0428543       54.3492355       76.7270584    
       42960   81.2418594       54.0572739       76.5700684    
       43020   81.3023834       54.0572739       76.4212418    
       43080   81.2595215       54.0396652       80.3738480    
       43140   81.1139526       54.0396652       80.2859039    
       43200   80.9255829       54.0065651       80.2792969    
       43260   80.9255829       54.0065651       80.2850876    
       43320   80.9204559       53.8301353       80.2344360    
       43380   81.0068207       53.8301353       80.1968689    
       43440   81.1888885       53.8677139       80.2145157    
       43500   81.2750015       53.8677139       80.2687607    
       43560   81.0659103       53.8684769       80.2655487    
       43620   81.0022736       53.8684769       80.2463074    
       43680   81.0688858       53.9927063       80.2707138    
       43740   80.8409119       53.9927063       80.3025894    
       43800   80.9545441       54.1357040       80.3045197    
       43860   81.1954575       54.1357040       80.2977982    
       43920   81.1954575       54.2924690       80.2552261    
       43980   81.0454559       54.2924690       80.1457672    
       44040   81.1818161       54.3539047       79.9598770    
       44100   81.0837173       54.3539047       79.7390594    
       44160   80.8568192       54.3010941       79.5810242    
       44220   80.5613632       54.3010941       79.4652481    
       44280   80.7159119       54.0055237       79.3930359    
       44340   80.6813965       54.0055237       79.3841705    
       44400   80.7840881       53.7801666       79.4104767    
       44460   80.8000031       53.7801666       79.4370499    
       44520   81.0999985       53.8337021       79.4988327    
       44580   81.6488342       53.8337021       79.6139832    
       44640   81.7477264       53.9294930       79.7566757    
       44700   81.9266663       53.9294930       79.8712082    
       44760   81.0543442       54.2477150       79.8823471    
       44820   81.2799988       54.2477150       79.8197327    
       44880   81.5400009       54.6437492       79.7112122    
       44940   81.5260849       54.6437492       79.5733490    
       45000   81.4826050       54.6656723       79.4955826    
       45060   81.2911148       54.6656723       79.4372025    
       45120   81.0044479       54.5514259       79.3847885    
       45180   80.4478226       54.5514259       79.3235397    
       45240   80.1130447       54.5875587       79.2566376    
       45300   80.1222229       54.5875587       79.2480621    
       45360   79.7244415       54.6385384       79.2757263    
       45420   79.7978287       54.6385384       79.3208923    
       45480   79.6760864       54.6420441       79.3818359    
       45540   79.6577759       54.6420441       79.3916168    
       45600   79.7377777       54.8266602       79.3649216    
       45660   79.8586960       54.8266602       79.3274994    
       45720   79.7978287       55.0282288       79.2712021    
       45780   79.7288895       55.0282288       79.1855850    
       45840   80.2511139       55.1098328       79.1001282    
       45900   80.3565216       55.1098328       79.0126266    
       45960   79.9499969       55.1499290       78.9006805    
       46020   80.1088867       55.1499290       78.7698898    
       46080   79.4822235       55.2408829       78.6238937    
       46140   79.3521729       55.2408829       78.4535828    
       46200   79.4739151       55.1912842       78.2633667    
       46260   79.3155518       55.1912842       78.0956421    
       46320   79.4133301       55.0950317       77.9667435    
