 20190311
 Seconds  Measures(WD-m/s_VX)  Measures(WD-m/s_VY)  Meso-NH(WD-m/s_VX)  Meso-NH(WD-m/s_VY)  FORECAST_AR(WD-m/s_VX)  FORECAST_AR(WD-m/s_VY)
        7260   3.55694318      -2.35745215       4.40399122     -0.625877619       3.54275775      -3.66863298    
        7320   3.54496694      -2.34142160       4.41634655     -0.617455184       3.54275775      -3.66863298    
        7380   3.52617240      -2.33001924       4.43100882     -0.618306160       3.54275775      -3.66863298    
        7440   3.51175833      -2.31913066       4.44636250     -0.624147177       3.54275775      -3.66863298    
        7500   3.50833750      -2.29868245       4.46020222     -0.629257679       3.54275775      -3.66863298    
        7560   3.49318695      -2.27702546       4.47053003     -0.628136337       3.54275775      -3.66863298    
        7620   3.47357106      -2.26340461       4.47575569     -0.616979897       3.54275775      -3.66863298    
        7680   3.41747880      -2.21955109       4.47551060     -0.595632076       3.54275775      -3.66863298    
        7740   3.40280986      -2.22572875       4.47175407     -0.568367064       3.54275775      -3.66863298    
        7800   3.37631607      -2.21002746       4.46730089     -0.542029142       3.54275775      -3.66863298    
        7860   3.36500955      -2.19516850       4.46294212     -0.522864223       3.54275775      -3.66863298    
        7920   3.37447190      -2.17911887       4.45657730     -0.515006781       3.54275775      -3.66863298    
        7980   3.34057498      -2.15244722       4.44388676     -0.520149350       3.54275775      -3.66863298    
        8040   3.33354282      -2.15656137       4.42194271     -0.537931263       3.54275775      -3.66863298    
        8100   3.31516099      -2.16173959       4.39245987     -0.565540075       3.54275775      -3.66863298    
        8160   3.28535390      -2.15233541       4.36075687     -0.597651184       3.54275775      -3.66863298    
        8220   3.26702380      -2.12722588       4.33189535     -0.628321230       3.54275775      -3.66863298    
        8280   3.26893139      -2.12707400       4.30838919     -0.653788626       3.54275775      -3.66863298    
        8340   3.28486419      -2.12410784       4.29045343     -0.673652649       3.54275775      -3.66863298    
        8400   3.29428625      -2.10919189       4.27665758     -0.689637065       3.54275775      -3.66863298    
        8460   3.29012966      -2.07856011       4.26414061     -0.703800142       3.54275775      -3.66863298    
        8520   3.28599572      -2.05434346       4.24966192     -0.717003703       3.54275775      -3.66863298    
        8580   3.28996968      -2.03395700       4.23184299     -0.728353977       3.54275775      -3.66863298    
        8640   3.30158257      -1.99681497       4.21252346     -0.736269414       3.54275775      -3.66863298    
        8700   3.28484797      -1.94655049       4.19559336     -0.739482105       3.54275775      -3.66863298    
        8760   3.24178767      -1.92619395       4.18419170     -0.738246739       3.54275775      -3.66863298    
        8820   3.22340775      -1.91301680       4.17794847     -0.734583259       3.54275775      -3.66863298    
        8880   3.20965624      -1.88304591       4.17264605     -0.730726004       3.54275775      -3.66863298    
        8940   3.18439841      -1.86516607       4.16369820     -0.727954149       3.54275775      -3.66863298    
        9000   3.17605066      -1.82325649       4.14932632     -0.726704955       3.54275775      -3.66863298    
        9060   3.18497276      -1.80932188       4.13160276     -0.727145910       3.54275775      -3.66863298    
        9120   3.17959070      -1.79217732       4.11456537     -0.729242921       3.54275775      -3.66863298    
        9180   3.16941714      -1.78271651       4.10079050     -0.732094228       3.54275775      -3.66863298    
        9240   3.15327501      -1.74665344       4.09058142     -0.733701646       3.54275775      -3.66863298    
        9300   3.13521147      -1.69059598       4.08264065     -0.731790781       3.54275775      -3.66863298    
        9360   3.15035319      -1.68242562       4.07508469     -0.725149274       3.54275775      -3.66863298    
        9420   3.16627574      -1.66479492       4.06708956     -0.714568138       3.54275775      -3.66863298    
        9480   3.15654540      -1.64861071       4.05969858     -0.702633083       3.54275775      -3.66863298    
        9540   3.11809158      -1.61877334       4.05533934     -0.692601681       3.54275775      -3.66863298    
        9600   3.09088111      -1.59017813       4.05569315     -0.686762512       3.54275775      -3.66863298    
        9660   3.07243395      -1.56468880       4.06001663     -0.684976757       3.54275775      -3.66863298    
        9720   3.08955717      -1.54218209       4.06577539     -0.684633732       3.54275775      -3.66863298    
        9780   3.07400560      -1.50694835       4.07081366     -0.682272255       3.54275775      -3.66863298    
        9840   3.02600026      -1.48383057       4.07454062     -0.675776899       3.54275775      -3.66863298    
        9900   3.03165317      -1.45576751       4.07790375     -0.665705383       3.54275775      -3.66863298    
        9960   3.04672194      -1.41813111       4.08259344     -0.654857039       3.54275775      -3.66863298    
       10020   3.02230763      -1.40819752       4.08904219     -0.646037996       3.54275775      -3.66863298    
       10080   2.99120665      -1.36379361       4.09513044     -0.639877200       3.54275775      -3.66863298    
       10140   3.01020694      -1.32627857       4.09724712     -0.634167552       3.54275775      -3.66863298    
       10200   3.03865099      -1.28542316       4.09252501     -0.625303745       3.54275775      -3.66863298    
       10260   3.05208206      -1.25911081       4.07992554     -0.610646367       3.54275775      -3.66863298    
       10320   3.04147530      -1.24944890       4.06005859     -0.590322912       3.54275775      -3.66863298    
       10380   3.03671575      -1.20782340       4.03427124     -0.567534566       3.54275775      -3.66863298    
       10440   3.02211714      -1.18108666       4.00391436     -0.547295988       3.54275775      -3.66863298    
       10500   3.02723932      -1.16534936       3.97036076     -0.534270763       3.54275775      -3.66863298    
       10560   3.04482007      -1.15254629       3.93495965     -0.531052113       3.54275775      -3.66863298    
       10620   3.03437018      -1.12861884       3.89874792     -0.537023425       3.54275775      -3.66863298    
       10680   3.04518056      -1.09601510       3.86310506     -0.548723221       3.54275775      -3.66863298    
       10740   3.06214333      -1.06341529       3.82916880     -0.562140405       3.54275775      -3.66863298    
       10800   3.05670667      -1.04233956       3.79777217     -0.574046135       3.54275775      -3.66863298    
       10860   3.06840396     -0.998915970       3.76990199     -0.582656026       3.43413258      -2.58780456    
       10920   3.09534144     -0.964465618       3.74639487     -0.587906718       3.43413258      -2.58780456    
       10980   3.09108496     -0.937023640       3.72732997     -0.591000915       3.43413258      -2.58780456    
       11040   3.11480737     -0.894650698       3.71131682     -0.593382776       3.43413258      -2.58780456    
       11100   3.13402700     -0.866132140       3.69552946     -0.595899463       3.43413258      -2.58780456    
       11160   3.14786172     -0.843916059       3.67753887     -0.598694384       3.43413258      -2.58780456    
       11220   3.18336582     -0.821401060       3.65657616     -0.601566672       3.43413258      -2.58780456    
       11280   3.21085811     -0.799428701       3.63381743     -0.603843451       3.43413258      -2.58780456    
       11340   3.22602630     -0.779542029       3.61156273     -0.604315400       3.43413258      -2.58780456    
       11400   3.21745539     -0.744189143       3.59217882     -0.601770222       3.43413258      -2.58780456    
       11460   3.22962546     -0.729578137       3.57740426     -0.595670760       3.43413258      -2.58780456    
       11520   3.24338627     -0.695128500       3.56829667     -0.586063147       3.43413258      -2.58780456    
       11580   3.24940038     -0.688974202       3.56516147     -0.573180616       3.43413258      -2.58780456    
       11640   3.25911856     -0.668630958       3.56671286     -0.557448328       3.43413258      -2.58780456    
       11700   3.24388194     -0.636942089       3.56985044     -0.539889932       3.43413258      -2.58780456    
       11760   3.25510931     -0.606241763       3.57160258     -0.522262990       3.43413258      -2.58780456    
       11820   3.28582740     -0.585743010       3.57123542     -0.506247044       3.43413258      -2.58780456    
       11880   3.31371832     -0.557956517       3.57001972     -0.492556036       3.43413258      -2.58780456    
       11940   3.32976031     -0.529260695       3.56913185     -0.480596095       3.43413258      -2.58780456    
       12000   3.32459831     -0.493387848       3.56873226     -0.469066232       3.43413258      -2.58780456    
       12060   3.35458207     -0.466249019       3.56833696     -0.457173258       3.43413258      -2.58780456    
       12120   3.37985110     -0.443391263       3.56754804     -0.445243388       3.43413258      -2.58780456    
       12180   3.39030719     -0.410567284       3.56638002     -0.434307188       3.43413258      -2.58780456    
       12240   3.40082598     -0.398368001       3.56496477     -0.425059795       3.43413258      -2.58780456    
       12300   3.41564441     -0.416157097       3.56353855     -0.417252719       3.43413258      -2.58780456    
       12360   3.45046687     -0.406058013       3.56214023     -0.409554094       3.43413258      -2.58780456    
       12420   3.46841407     -0.383388579       3.56043148     -0.399692744       3.43413258      -2.58780456    
       12480   3.48237205     -0.370677173       3.55759645     -0.385047317       3.43413258      -2.58780456    
       12540   3.48714995     -0.348480761       3.55218816     -0.363280207       3.43413258      -2.58780456    
       12600   3.47302198     -0.328598619       3.54222035     -0.333009303       3.43413258      -2.58780456    
       12660   3.46496677     -0.327011764       3.52581286     -0.294536561       3.43413258      -2.58780456    
       12720   3.47577310     -0.309239566       3.50262046     -0.250103980       3.43413258      -2.58780456    
       12780   3.45269442     -0.287569672       3.47494483     -0.203472048       3.43413258      -2.58780456    
       12840   3.44839287     -0.270262808       3.44671226     -0.158691719       3.43413258      -2.58780456    
       12900   3.44848108     -0.253869057       3.42120767     -0.118546911       3.43413258      -2.58780456    
       12960   3.43185234     -0.239550188       3.39994788      -8.40721726E-02   3.43413258      -2.58780456    
       13020   3.40503049     -0.212809190       3.38237333      -5.49495146E-02   3.43413258      -2.58780456    
       13080   3.38066411     -0.200406209       3.36653280      -3.00709698E-02   3.43413258      -2.58780456    
       13140   3.37439179     -0.192258745       3.34991455      -7.95388874E-03   3.43413258      -2.58780456    
       13200   3.39793015     -0.199657246       3.33035612       1.28670903E-02   3.43413258      -2.58780456    
       13260   3.39770317     -0.190668970       3.30700731       3.32892686E-02   3.43413258      -2.58780456    
       13320   3.39312911     -0.179076090       3.28059340       5.31881191E-02   3.43413258      -2.58780456    
       13380   3.37532878     -0.159601659       3.25281405       7.18119293E-02   3.43413258      -2.58780456    
       13440   3.37997556     -0.128305107       3.22553992       8.84816572E-02   3.43413258      -2.58780456    
       13500   3.41072893     -0.109503388       3.20013857      0.102995344       3.43413258      -2.58780456    
       13560   3.39483404      -9.56019759E-02   3.17698717      0.115565479       3.43413258      -2.58780456    
       13620   3.37526917      -6.41521290E-02   3.15552211      0.126467004       3.43413258      -2.58780456    
       13680   3.37305212      -2.43835859E-02   3.13466668      0.135837376       3.43413258      -2.58780456    
       13740   3.38611150      -1.01568075E-02   3.11321783      0.143721953       3.43413258      -2.58780456    
       13800   3.36579227       4.47263243E-03   3.09057355      0.150208890       3.43413258      -2.58780456    
       13860   3.33879256       3.45728770E-02   3.06712317      0.155554339       3.43413258      -2.58780456    
       13920   3.33051157       3.99716422E-02   3.04429507      0.160608634       3.43413258      -2.58780456    
       13980   3.35120058       7.19838738E-02   3.02421618      0.167141899       3.43413258      -2.58780456    
       14040   3.35176826       7.91552365E-02   3.00880837      0.177305415       3.43413258      -2.58780456    
       14100   3.35837245       7.94964731E-02   2.99903059      0.192674920       3.43413258      -2.58780456    
       14160   3.36599374      0.108751088       2.99479985      0.213590339       3.43413258      -2.58780456    
       14220   3.34229207      0.124058194       2.99507952      0.238382936       3.43413258      -2.58780456    
       14280   3.34690309      0.126259193       2.99803901      0.263665527       3.43413258      -2.58780456    
       14340   3.34860039      0.131002054       3.00148845      0.286520213       3.43413258      -2.58780456    
       14400   3.34115291      0.128316611       3.00318027      0.305549562       3.43413258      -2.58780456    
       14460   3.34540510      0.140826508       3.00121355      0.320951074       3.36576796     -0.855290115    
       14520   3.32803798      0.151552930       2.99437571      0.334167421       3.36576796     -0.855290115    
       14580   3.31589341      0.169293314       2.98250151      0.347103119       3.36576796     -0.855290115    
       14640   3.31178880      0.191214889       2.96665382      0.361169994       3.36576796     -0.855290115    
       14700   3.30008316      0.201754272       2.94894457      0.376567125       3.36576796     -0.855290115    
       14760   3.29688978      0.210908830       2.93174624      0.392258137       3.36576796     -0.855290115    
       14820   3.28356242      0.226362899       2.91650581      0.406663537       3.36576796     -0.855290115    
       14880   3.25768971      0.227180600       2.90292430      0.418464959       3.36576796     -0.855290115    
       14940   3.22679138      0.228412807       2.88940883      0.426989764       3.36576796     -0.855290115    
       15000   3.21417022      0.226687595       2.87421632      0.432177484       3.36576796     -0.855290115    
       15060   3.20401263      0.226332888       2.85654521      0.434421897       3.36576796     -0.855290115    
       15120   3.16708374      0.232778817       2.83677030      0.434424758       3.36576796     -0.855290115    
       15180   3.15426588      0.227485761       2.81565022      0.433130413       3.36576796     -0.855290115    
       15240   3.13695097      0.244277030       2.79360342      0.431687593       3.36576796     -0.855290115    
       15300   3.12234092      0.254286677       2.77051544      0.431368113       3.36576796     -0.855290115    
       15360   3.10281181      0.269932777       2.74592733      0.433332801       3.36576796     -0.855290115    
       15420   3.08547020      0.293941319       2.71928287      0.438184619       3.36576796     -0.855290115    
       15480   3.06130600      0.312560976       2.69026709      0.445791811       3.36576796     -0.855290115    
       15540   3.02397895      0.315068692       2.65909815      0.455439597       3.36576796     -0.855290115    
       15600   2.98867154      0.320788503       2.62631989      0.466172606       3.36576796     -0.855290115    
       15660   2.94905853      0.325183779       2.59272146      0.477253586       3.36576796     -0.855290115    
       15720   2.89724493      0.326367199       2.55894089      0.488239437       3.36576796     -0.855290115    
       15780   2.86022520      0.325520307       2.52488494      0.498877943       3.36576796     -0.855290115    
       15840   2.82354212      0.331932724       2.49000192      0.508955181       3.36576796     -0.855290115    
       15900   2.78240657      0.336450160       2.45352697      0.517930746       3.36576796     -0.855290115    
       15960   2.74088669      0.358723402       2.41508222      0.524828732       3.36576796     -0.855290115    
       16020   2.70239711      0.355393410       2.37506032      0.528251588       3.36576796     -0.855290115    
       16080   2.68952346      0.352890968       2.33475757      0.526599586       3.36576796     -0.855290115    
       16140   2.66820073      0.361005247       2.29635644      0.518471599       3.36576796     -0.855290115    
       16200   2.64533925      0.349835068       2.26258230      0.503195405       3.36576796     -0.855290115    
       16260   2.64602017      0.337503523       2.23594904      0.481225044       3.36576796     -0.855290115    
       16320   2.64045382      0.335580766       2.21769595      0.454004735       3.36576796     -0.855290115    
       16380   2.61832118      0.329907119       2.20743203      0.423713624       3.36576796     -0.855290115    
       16440   2.61644959      0.329051822       2.20293784      0.393084735       3.36576796     -0.855290115    
       16500   2.60742092      0.327323914       2.20099664      0.364109963       3.36576796     -0.855290115    
       16560   2.59407854      0.320117503       2.19891739      0.337657154       3.36576796     -0.855290115    
       16620   2.59289455      0.316054255       2.19514108      0.313943744       3.36576796     -0.855290115    
       16680   2.58511019      0.320596218       2.18885493      0.292916119       3.36576796     -0.855290115    
       16740   2.57284379      0.313979834       2.17988014      0.274429619       3.36576796     -0.855290115    
       16800   2.56397915      0.313588917       2.16873503      0.257919520       3.36576796     -0.855290115    
       16860   2.53677106      0.324284285       2.15584779      0.241771102       3.36576796     -0.855290115    
       16920   2.52795982      0.329882115       2.14104605      0.224013403       3.36576796     -0.855290115    
       16980   2.51374650      0.330801815       2.12391829      0.204117492       3.36576796     -0.855290115    
       17040   2.49125957      0.331406444       2.10455132      0.184213609       3.36576796     -0.855290115    
       17100   2.47441173      0.325040281       2.08369493      0.167816222       3.36576796     -0.855290115    
       17160   2.45342755      0.315203220       2.06225038      0.155976623       3.36576796     -0.855290115    
       17220   2.43544340      0.313758910       2.04098535      0.147374168       3.36576796     -0.855290115    
       17280   2.40067840      0.300149739       2.02067876      0.140672341       3.36576796     -0.855290115    
       17340   2.38384199      0.295762688       2.00229478      0.134800941       3.36576796     -0.855290115    
       17400   2.35246563      0.288884729       1.98680055      0.128725260       3.36576796     -0.855290115    
       17460   2.31736708      0.283788741       1.97476792      0.121578194       3.36576796     -0.855290115    
       17520   2.28602552      0.273111463       1.96614397      0.112893090       3.36576796     -0.855290115    
       17580   2.25716805      0.258228272       1.95999920      0.102473721       3.36576796     -0.855290115    
       17640   2.23132730      0.242569119       1.95455706       9.02239010E-02   3.36576796     -0.855290115    
       17700   2.19982862      0.233669907       1.94769967       7.60692731E-02   3.36576796     -0.855290115    
       17760   2.16288924      0.230795726       1.93749285       6.01416603E-02   3.36576796     -0.855290115    
       17820   2.11431766      0.214616105       1.92265260       4.29215580E-02   3.36576796     -0.855290115    
       17880   2.08177876      0.202418551       1.90288806       2.52121184E-02   3.36576796     -0.855290115    
       17940   2.03875327      0.192087486       1.87900651       7.96273351E-03   3.36576796     -0.855290115    
       18000   2.00132513      0.182265908       1.85266352      -7.93144014E-03   3.36576796     -0.855290115    
       18060   1.96614718      0.185231730       1.82592392      -2.17972342E-02   3.61152148      0.240734935    
       18120   1.92464352      0.181743339       1.80075073      -3.32774222E-02   3.61152148      0.240734935    
       18180   1.89229095      0.172653675       1.77853811      -4.23314460E-02   3.61152148      0.240734935    
       18240   1.83271110      0.152205586       1.75987673      -4.92114164E-02   3.61152148      0.240734935    
       18300   1.78291690      0.136579782       1.74459743      -5.43535613E-02   3.61152148      0.240734935    
       18360   1.72437596      0.113830075       1.73196328      -5.82281090E-02   3.61152148      0.240734935    
       18420   1.67698467       8.96162018E-02   1.72101402      -6.12560846E-02   3.61152148      0.240734935    
       18480   1.64240861       6.84794784E-02   1.71077752      -6.37618601E-02   3.61152148      0.240734935    
       18540   1.61476994       5.23135439E-02   1.70031059      -6.59489483E-02   3.61152148      0.240734935    
       18600   1.59018219       2.64338423E-02   1.68875861      -6.79209530E-02   3.61152148      0.240734935    
