 20190616
 Seconds  Measures(WD-m/s_VX)  Measures(WD-m/s_VY)  Meso-NH(WD-m/s_VX)  Meso-NH(WD-m/s_VY)  FORECAST_AR(WD-m/s_VX)  FORECAST_AR(WD-m/s_VY)
        7260   1.61142135      -9.21826649       2.31545568      -4.50776482       1.78180313      -8.38272476    
        7320   1.60710466      -9.19605923       2.29747725      -4.56359434       1.78180313      -8.38272476    
        7380   1.60880530      -9.17934895       2.27554345      -4.61636305       1.78180313      -8.38272476    
        7440   1.59812021      -9.15879536       2.25077033      -4.66613245       1.78180313      -8.38272476    
        7500   1.58133411      -9.12382412       2.22671938      -4.71345758       1.78180313      -8.38272476    
        7560   1.59199011      -9.07945251       2.20702958      -4.75815058       1.78180313      -8.38272476    
        7620   1.57587481      -9.06744766       2.19227529      -4.79960394       1.78180313      -8.38272476    
        7680   1.55067587      -9.05434895       2.17955661      -4.83766794       1.78180313      -8.38272476    
        7740   1.53929424      -9.01632309       2.16425681      -4.87361622       1.78180313      -8.38272476    
        7800   1.54588795      -8.99139214       2.14271665      -4.91049528       1.78180313      -8.38272476    
        7860   1.53481805      -8.96304226       2.11524868      -4.95128202       1.78180313      -8.38272476    
        7920   1.52639365      -8.93514633       2.08680177      -4.99677038       1.78180313      -8.38272476    
        7980   1.50382781      -8.90873814       2.06281543      -5.04534388       1.78180313      -8.38272476    
        8040   1.49784982      -8.87483501       2.04464674      -5.09374428       1.78180313      -8.38272476    
        8100   1.49343622      -8.86306381       2.03081799      -5.13796282       1.78180313      -8.38272476    
        8160   1.47873640      -8.85389996       2.02109742      -5.17473030       1.78180313      -8.38272476    
        8220   1.48412776      -8.82423973       2.01709747      -5.20151997       1.78180313      -8.38272476    
        8280   1.48133421      -8.78703213       2.01908779      -5.21611500       1.78180313      -8.38272476    
        8340   1.47800481      -8.76547337       2.02415895      -5.21789026       1.78180313      -8.38272476    
        8400   1.46605468      -8.74460793       2.02784944      -5.20861292       1.78180313      -8.38272476    
        8460   1.46798086      -8.72844410       2.02757406      -5.19291878       1.78180313      -8.38272476    
        8520   1.46086013      -8.70941448       2.02454829      -5.17764664       1.78180313      -8.38272476    
        8580   1.44976842      -8.69289494       2.02200651      -5.16826296       1.78180313      -8.38272476    
        8640   1.43995965      -8.67015934       2.02244735      -5.16566849       1.78180313      -8.38272476    
        8700   1.41782403      -8.66628742       2.02631426      -5.16778135       1.78180313      -8.38272476    
        8760   1.39402556      -8.66817570       2.03195047      -5.17295170       1.78180313      -8.38272476    
        8820   1.36321461      -8.65966702       2.03696752      -5.18087721       1.78180313      -8.38272476    
        8880   1.35761929      -8.65927315       2.03919315      -5.19173098       1.78180313      -8.38272476    
        8940   1.31723046      -8.65333366       2.03674579      -5.20574045       1.78180313      -8.38272476    
        9000   1.30593228      -8.63520336       2.02926993      -5.22317553       1.78180313      -8.38272476    
        9060   1.28341448      -8.65001392       2.01909947      -5.24408388       1.78180313      -8.38272476    
        9120   1.26567352      -8.66749191       2.00923157      -5.26819038       1.78180313      -8.38272476    
        9180   1.21801496      -8.69146919       2.00039864      -5.29659557       1.78180313      -8.38272476    
        9240   1.19899201      -8.69524097       1.99133766      -5.33253098       1.78180313      -8.38272476    
        9300   1.19131398      -8.70277119       1.98046792      -5.37790346       1.78180313      -8.38272476    
        9360   1.16668999      -8.72131824       1.96699893      -5.42989731       1.78180313      -8.38272476    
