 20181222
 Seconds  Measures(ISO-arcsec)  Meso-NH(ISO-arcsec)  FORECAST_AR(ISO-arcsec)
       39420   2.38865209       2.35493636       2.00083041    
       39480   2.39822221       2.34477639       2.25277710    
       39540   2.40540004       2.34477639       2.24923468    
       39600   2.40869570       2.33542418       2.24579477    
       39660   2.41663051       2.33542418       2.24249601    
       39720   2.42168880       2.32714009       2.23916054    
       39780   2.42175555       2.32714009       2.23570418    
       39840   2.42334771       2.31950164       2.23210144    
       39900   2.42410874       2.31950164       2.22833943    
       39960   2.42268896       2.31176424       2.22449970    
       40020   2.40680432       2.31176424       2.22061896    
       40080   2.40197778       2.30351901       2.21680951    
       40140   2.39373326       2.30351901       2.21308041    
       40200   2.39182234       2.29521298       2.20937061    
       40260   2.38963032       2.29521298       2.20562339    
       40320   2.38655567       2.28730202       2.20188928    
       40380   2.37899995       2.28730202       2.19815087    
       40440   2.36844444       2.27955627       2.19446850    
       40500   2.36844444       2.27955627       2.19092059    
       40560   2.36719990       2.27205491       2.18753576    
       40620   2.35739994       2.27205491       2.18435407    
       40680   2.35620451       2.26480532       2.18131351    
       40740   2.35151100       2.26480532       2.17835474    
       40800   2.34135556       2.25824356       2.17524648    
       40860   2.33466673       2.25824356       2.17191482    
       40920   2.33715916       2.25240135       2.16816831    
       40980   2.32851100       2.25240135       2.16402030    
       41040   2.32480001       2.24594092       2.15952039    
       41100   2.32655549       2.24594092       2.15468693    
       41160   2.32649994       2.23795176       2.14974141    
       41220   2.33013344       2.23795176       2.14469266    
       41280   2.32713342       2.22861433       2.13962746    
       41340   2.32411122       2.22861433       2.13457131    
       41400   2.31890917       2.21891093       2.12963414    
       41460   2.32255554       2.21891093       2.12481427    
       41520   2.31771111       2.20913386       2.12008500    
       41580   2.31081820       2.20913386       2.11551285    
       41640   2.30927277       2.19990087       2.11081505    
       41700   2.31922221       2.19990087       2.10609412    
       41760   2.32206678       2.19101357       2.10123062    
       41820   2.31174994       2.19101357       2.09622216    
       41880   2.31652284       2.18163085       2.09149218    
       41940   2.33275557       2.18163085       2.08696532    
       42000   2.34106660       2.17172885       2.08303452    
       42060   2.33413625       2.17172885       2.07958341    
       42120   2.33054543       2.16288757       2.07625890    
       42180   2.34482217       2.16288757       2.07297587    
       42240   2.34875560       2.15639400       2.06899786    
       42300   2.34456825       2.15639400       2.06432199    
       42360   2.36975002       2.15039802       2.05938435    
       42420   2.38762212       2.15039802       2.05419660    
       42480   2.39988637       2.14163351       2.04958701    
       42540   2.42622733       2.14163351       2.04560924    
       42600   2.44645452       2.13182664       2.04211092    
       42660   2.46084452       2.13182664       2.03924704    
       42720   2.47761369       2.12427258       2.03615046    
       42780   2.48729539       2.12427258       2.03298116    
       42840   2.49890900       2.11857104       2.02988935    
       42900   2.49890900       2.11857104       2.02690387    
       42960   2.51118183       2.11192608       2.02445483    
       43020   2.52581811       2.11192608       2.02229619    
