 20181115
 Seconds  Measures(TAU-ms)  Meso-NH(TAU-ms)  FORECAST_AR(TAU-ms)
       33420   3.92792296       3.22594047       3.93986726    
       33480   3.91650009       3.22480822       3.92925191    
       33540   3.91650009       3.22480822       3.91571832    
       33600   3.91656089       3.23030686       3.90318227    
       33660   3.91171432       3.23030686       3.89826536    
       33720   3.88932562       3.23322344       3.89682555    
       33780   3.88932562       3.23322344       3.89730811    
       33840   3.88674998       3.23018122       3.89310932    
       33900   3.87162232       3.23018122       3.88438296    
       33960   3.85573912       3.23713636       3.87249708    
       34020   3.86382222       3.23713636       3.86209416    
       34080   3.86988878       3.23746014       3.85841823    
       34140   3.87206674       3.23746014       3.85899568    
       34200   3.85933328       3.23079538       3.85944557    
       34260   3.85933328       3.23079538       3.85888600    
       34320   3.86117768       3.24686289       3.85740852    
       34380   3.83780003       3.24686289       3.85444117    
       34440   3.81957769       3.26349735       3.85000372    
       34500   3.81957769       3.26349735       3.84732938    
       34560   3.81788898       3.27052355       3.84238935    
       34620   3.81086659       3.27052355       3.83661819    
       34680   3.79637766       3.26749206       3.82797313    
       34740   3.79637766       3.26749206       3.81930161    
       34800   3.78020000       3.26149821       3.81222653    
       34860   3.76220012       3.26149821       3.80787277    
       34920   3.74873328       3.25295210       3.80509710    
       34980   3.74873328       3.25295210       3.80210638    
       35040   3.73242211       3.25576544       3.80114436    
       35100   3.71162224       3.25576544       3.80278516    
       35160   3.69802284       3.26399136       3.80706811    
       35220   3.70202231       3.26399136       3.80926871    
       35280   3.68202233       3.27420688       3.81067681    
       35340   3.66674995       3.27420688       3.81061196    
       35400   3.66811371       3.28742599       3.80585194    
       35460   3.68462229       3.28742599       3.79693866    
       35520   3.67440915       3.29935694       3.78981900    
       35580   3.67129540       3.29935694       3.78510952    
       35640   3.68111372       3.29317188       3.78368497    
       35700   3.69768882       3.29317188       3.78172994    
       35760   3.69868183       3.28982401       3.77391696    
       35820   3.72665906       3.28982401       3.76385045    
       35880   3.74493194       3.29682493       3.75454950    
       35940   3.74586678       3.29682493       3.74589944    
       36000   3.74586368       3.28301334       3.73415279    
       36060   3.77786374       3.28301334       3.75760722    
       36120   3.77402282       3.27303743       3.75346756    
       36180   3.75620937       3.27303743       3.74926209    
       36240   3.77675009       3.25269604       3.75012064    
       36300   3.78215909       3.25269604       3.75648189    
       36360   3.80529547       3.23696208       3.75797462    
       36420   3.80897665       3.23696208       3.75438023    
       36480   3.80649996       3.23048186       3.75343919    
       36540   3.80500007       3.23048186       3.75639224    
       36600   3.80169773       3.21816516       3.76288152    
       36660   3.81774426       3.21816516       3.77028823    
       36720   3.85079551       3.20785451       3.77610254    
       36780   3.89427280       3.20785451       3.78203964    
       36840   3.90018606       3.20763159       3.78978777    
       36900   3.90690899       3.20763159       3.79312086    
       36960   3.93073344       3.19682288       3.79920983    
       37020   3.93743181       3.19682288       3.80895257    
       37080   3.95193172       3.18791962       3.81443429    
       37140   3.96959090       3.18791962       3.81870890    
       37200   3.96959090       3.19844532       3.82311392    
       37260   3.98047733       3.19844532       3.82738018    
       37320   3.99634099       3.19041467       3.82994843    
       37380   4.03329563       3.19041467       3.83284688    
       37440   4.03329563       3.19065189       3.83209229    
       37500   4.04422712       3.19065189       3.83344340    
       37560   4.04981804       3.18516254       3.83452392    
       37620   4.07095337       3.18516254       3.83439898    
       37680   4.06890917       3.16582870       3.83629560    
       37740   4.10795450       3.16582870       3.83404326    
       37800   4.12490892       3.15323138       3.82610989    
       37860   4.13697672       3.15323138       3.81870937    
       37920   4.13138628       3.14542365       3.81259871    
       37980   4.12154531       3.14542365       3.80743337    
       38040   4.15827274       3.12066913       3.80150151    
       38100   4.17944193       3.12066913       3.79651928    
       38160   4.17502260       3.10228729       3.79306650    
       38220   4.17679548       3.10228729       3.79179931    
       38280   4.18856812       3.08467412       3.79424810    
       38340   4.19990683       3.08467412       3.80100250    
       38400   4.21211386       3.07477689       3.80344915    
       38460   4.21931839       3.07477689       3.80173087    
       38520   4.21604538       3.08235025       3.80028248    
       38580   4.21502304       3.08235025       3.79999661    
       38640   4.21645451       3.08087206       3.80095387    
       38700   4.22536373       3.08087206       3.80267262    
       38760   4.23602295       3.07400274       3.80218482    
       38820   4.23602295       3.07400274       3.79871178    
       38880   4.25238657       3.07236552       3.79601288    
       38940   4.26679564       3.07236552       3.79069471    
       39000   4.26602221       3.06054950       3.78529382    
       39060   4.27393198       3.06054950       3.78413129    
       39120   4.27177286       3.04817557       3.78719759    
       39180   4.26655579       3.04817557       3.78838515    
       39240   4.27420473       3.03740549       3.78704691    
       39300   4.26515913       3.03740549       3.78269434    
       39360   4.25820446       3.04213309       3.77755737    
       39420   4.25675535       3.04213309       3.77690768    
       39480   4.25213623       3.03801584       3.77815080    
       39540   4.25354528       3.03801584       3.77793336    
       39600   4.25329542       3.03096104       3.77771688    
       39660   4.23448896       3.03096104       4.20839930    
       39720   4.22168159       3.03177142       4.20651579    
       39780   4.20765924       3.03177142       4.20494413    
       39840   4.20137787       3.03477764       4.20035839    
       39900   4.19095469       3.03477764       4.19364357    
       39960   4.18661356       3.04674959       4.18540335    
       40020   4.17834091       3.04674959       4.18185854    
       40080   4.17834091       3.04876208       4.18211985    
       40140   4.20188618       3.04876208       4.17874241    
       40200   4.20881414       3.04557395       4.17515182    
       40260   4.21350002       3.04557395       4.16874886    
       40320   4.21829557       3.05515766       4.16263819    
       40380   4.18686342       3.05515766       4.15634966    
       40440   4.18144178       3.05875325       4.15422344    
       40500   4.18040895       3.05875325       4.15345335    
       40560   4.18390894       3.06049967       4.15604067    
       40620   4.16470432       3.06049967       4.15274954    
       40680   4.16470432       3.07633352       4.13868904    
       40740   4.16256809       3.07633352       4.12380791    
       40800   4.16058159       3.09526539       4.11133194    
       40860   4.16634083       3.09526539       4.09837008    
       40920   4.17206812       3.07567453       4.08907223    
       40980   4.18002272       3.07567453       4.08321619    
       41040   4.17083740       3.06435275       4.07542467    
       41100   4.17568159       3.06435275       4.07105827    
       41160   4.17702293       3.06663370       4.06778479    
       41220   4.19388390       3.06663370       4.06717491    
       41280   4.20011377       3.07111859       4.07008076    
       41340   4.20929527       3.07111859       4.07421684    
       41400   4.17884111       3.08514524       4.07573271    
       41460   4.17369747       3.08514524       4.07633972    
       41520   4.16363621       3.10952353       4.07733583    
       41580   4.15445471       3.10952353       4.07607460    
       41640   4.16158152       3.12599993       4.07558727    
       41700   4.15211630       3.12599993       4.07809448    
       41760   4.14445448       3.14456630       4.08125353    
       41820   4.13995457       3.14456630       4.08216047    
       41880   4.15429544       3.15853047       4.07976770    
       41940   4.15199995       3.15853047       4.07220125    
       42000   4.15413618       3.17544508       4.06379509    
       42060   4.13899994       3.17544508       4.06092739    
       42120   4.14125586       3.18256879       4.06002808    
       42180   4.14718628       3.18256879       4.05750895    
       42240   4.15979528       3.18121314       4.05415726    
       42300   4.16945457       3.18121314       4.05000305    
       42360   4.18327904       3.18967557       4.04339504    
       42420   4.20239544       3.18967557       4.03823328    
       42480   4.20524979       3.19551039       4.03496265    
       42540   4.19661379       3.19551039       4.03156519    
       42600   4.19574404       3.19550920       4.02726269    
       42660   4.19460487       3.19550920       4.01957750    
       42720   4.18774986       3.19822168       4.01053667    
       42780   4.19413614       3.19822168       3.99990153    
       42840   4.19779062       3.19690466       3.98779225    
       42900   4.19788647       3.19690466       3.97511292    
       42960   4.20977259       3.18761730       3.96288586    
       43020   4.20047712       3.18761730       3.94904923    
       43080   4.20065117       3.16962194       3.93477821    
       43140   4.19350004       3.16962194       3.92277288    
