 20190606
 Seconds  Measures(TAU-ms)  Meso-NH(TAU-ms)  FORECAST_AR(TAU-ms)
       21480   1.72081816       1.84744513       1.72006750    
       21540   1.72124445       1.84744513       1.71857762    
       21600   1.72274995       1.84865868       1.71784854    
       21660   1.71840906       1.84865868       1.71897137    
       21720   1.71542227       1.85138500       1.71872139    
       21780   1.72331107       1.85138500       1.71845126    
       21840   1.72582221       1.85690820       1.71301425    
       21900   1.72440910       1.85690820       1.70576954    
       21960   1.73320460       1.86161971       1.70316815    
       22020   1.73320460       1.86161971       1.70131099    
       22080   1.73395455       1.84840858       1.70015502    
       22140   1.73372722       1.84840858       1.70131695    
       22200   1.72973335       1.84914267       1.70222807    
       22260   1.72618186       1.84914267       1.70282745    
       22320   1.73452270       1.85371125       1.70302033    
       22380   1.73500001       1.85371125       1.70255482    
       22440   1.73442221       1.85857844       1.70130277    
       22500   1.73543179       1.85857844       1.70002913    
       22560   1.72695458       1.86132789       1.69805872    
       22620   1.72488642       1.86132789       1.69424331    
       22680   1.71666670       1.86214662       1.68672705    
       22740   1.71429551       1.86214662       1.68008089    
       22800   1.70663631       1.85768700       1.67733634    
       22860   1.70870459       1.85768700       1.67603278    
       22920   1.70838642       1.84211040       1.67528892    
       22980   1.70838642       1.84211040       1.67094624    
       23040   1.71695459       1.84199703       1.66477978    
       23100   1.70418179       1.84199703       1.66032815    
       23160   1.70254540       1.84222639       1.65755463    
       23220   1.70254540       1.84222639       1.65616155    
       23280   1.69156814       1.83875155       1.65238929    
       23340   1.69065905       1.83875155       1.65058184    
       23400   1.69186664       1.84029543       1.65291977    
       23460   1.69090915       1.84029543       1.65415859    
       23520   1.68309093       1.83601165       1.65488446    
       23580   1.68336368       1.83601165       1.65403962    
       23640   1.68333328       1.84772456       1.64846516    
       23700   1.68149996       1.84772456       1.64235139    
       23760   1.67309093       1.85342908       1.63873613    
       23820   1.67009306       1.85342908       1.63426995    
       23880   1.67009306       1.84410429       1.62939131    
       23940   1.66052377       1.84410429       1.62768304    
       24000   1.66197562       1.84404898       1.62951851    
       24060   1.65657496       1.84404898       1.63315380    
       24120   1.65810251       1.84052920       1.63609600    
       24180   1.65810251       1.84052920       1.63800836    
       24240   1.64135897       1.85084033       1.64051187    
       24300   1.63523078       1.85084033       1.64234114    
       24360   1.63676322       1.85887241       1.64184570    
       24420   1.64302564       1.85887241       1.63945878    
       24480   1.62679482       1.86792862       1.63770819    
       24540   1.61851287       1.86792862       1.63620269    
       24600   1.61851287       1.86763918       1.63491678    
       24660   1.60476923       1.86763918       1.63435817    
       24720   1.60160005       1.86977339       1.63383889    
       24780   1.60160005       1.86977339       1.63567066    
       24840   1.60204995       1.87110937       1.63851452    
       24900   1.58665001       1.87110937       1.63887095    
       24960   1.58305001       1.87337649       1.63604832    
       25020   1.57953656       1.87337649       1.63297510    
       25080   1.57379997       1.87888622       1.54341602    
       25140   1.56974995       1.87888622       1.54117143    
       25200   1.56700003       1.87127113       1.54131532    
       25260   1.56739020       1.87127113       1.54000807    
       25320   1.56812501       1.86414742       1.53722048    
       25380   1.56484997       1.86414742       1.53580523    
       25440   1.56177497       1.86799157       1.53387356    
       25500   1.55184996       1.86799157       1.53786838    
       25560   1.55184996       1.86442006       1.54588175    
       25620   1.54757500       1.86442006       1.55109680    
       25680   1.54804873       1.86690331       1.55479228    
       25740   1.54184997       1.86690331       1.55683804    
       25800   1.53642499       1.88195705       1.55795062    
       25860   1.54037499       1.88195705       1.55962408    
       25920   1.53834152       1.88725483       1.56110084    
       25980   1.52492499       1.88725483       1.56143117    
       26040   1.52642500       1.89309192       1.55907273    
       26100   1.51830006       1.89309192       1.55547965    
       26160   1.51951218       1.89336371       1.55605459    
       26220   1.51862502       1.89336371       1.56064403    
       26280   1.51787496       1.88444316       1.57155478    
       26340   1.52287495       1.88444316       1.59120321    
       26400   1.52636588       1.89191747       1.61046994    
       26460   1.53409755       1.89191747       1.62612867    
       26520   1.53069997       1.92293704       1.64403188    
       26580   1.54194999       1.92293704       1.66508102    
       26640   1.54402435       1.95752621       1.68110752    
       26700   1.54387808       1.95752621       1.69055068    
       26760   1.54410005       1.99654484       1.69626057    
       26820   1.54952502       1.99654484       1.69690883    
       26880   1.55207312       2.01465631       1.69729781    
       26940   1.56968296       2.01465631       1.70141923    
       27000   1.56902504       2.01878309       1.70720541    
       27060   1.57085001       2.01878309       1.71314490    
       27120   1.57521951       2.02160072       1.71823573    
       27180   1.58875608       2.02160072       1.72224152    
       27240   1.58382499       2.03041315       1.72672367    
       27300   1.60092497       2.03041315       1.73483396    
       27360   1.60797560       2.03402257       1.74144864    
       27420   1.62014639       2.03402257       1.74332416    
       27480   1.62014639       2.04329491       1.74376380    
       27540   1.63438094       2.04329491       1.74271691    
       27600   1.64290702       2.04395747       1.74197602    
       27660   1.64061368       2.04395747       1.74144697    
       27720   1.64061368       2.03764415       1.73991060    
       27780   1.65146661       2.03764415       1.73999870    
       27840   1.65976083       2.03482842       1.74133956    
       27900   1.67721736       2.03482842       1.74212611    
       27960   1.68413329       2.02815104       1.74516952    
       28020   1.69360864       2.02815104       1.75238550    
       28080   1.69447827       2.02570105       1.76358438    
       28140   1.70782220       2.02570105       1.77633822    
       28200   1.71755552       2.03209186       1.78554249    
       28260   1.71834779       2.03209186       1.79114890    
       28320   1.73419571       2.05506802       1.79917669    
       28380   1.73988891       2.05506802       1.81044900    
       28440   1.73639131       2.06323791       1.81915069    
       28500   1.73921740       2.06323791       1.82643247    
       28560   1.75480437       2.08153415       1.83375096    
       28620   1.75902224       2.08153415       1.84190989    
       28680   1.76779997       2.08964133       1.78108382    
       28740   1.77102172       2.08964133       1.78108358    
       28800   1.76499999       2.09723687       1.78388250    
       28860   1.76800001       2.09723687       1.78495276    
       28920   1.77471113       2.11307311       1.78320348    
       28980   1.77769566       2.11307311       1.77861238    
       29040   1.78491116       2.13112259       1.77393126    
       29100   1.78344440       2.13112259       1.77048326    
       29160   1.78982222       2.13619328       1.76855087    
       29220   1.79100001       2.13619328       1.76983631    
       29280   1.79482222       2.14275670       1.77269125    
       29340   1.79333329       2.14275670       1.77531564    
       29400   1.79499996       2.15239453       1.77558875    
       29460   1.80721736       2.15239453       1.77266133    
       29520   1.80933332       2.16348338       1.76831770    
       29580   1.81566668       2.16348338       1.76242340    
       29640   1.81339133       2.16606331       1.75563490    
       29700   1.82771742       2.16606331       1.74965036    
       29760   1.83757782       2.15786219       1.74596536    
       29820   1.84524441       2.15786219       1.73945141    
       29880   1.84215212       2.14291930       1.73102069    
       29940   1.84566665       2.14291930       1.71745801    
       30000   1.85651112       2.14344525       1.70324194    
       30060   1.85762227       2.14344525       1.69653547    
       30120   1.85908890       2.13170457       1.68891597    
       30180   1.85908890       2.13170457       1.67418122    
       30240   1.85977781       2.11914515       1.65694511    
       30300   1.86144447       2.11914515       1.64616716    
       30360   1.86048889       2.10174894       1.64067781    
       30420   1.86048889       2.10174894       1.63677204    
       30480   1.87126672       2.07297230       1.63617241    
       30540   1.87295556       2.07297230       1.63402879    
       30600   1.88737774       2.06748033       1.62913966    
       30660   1.88737774       2.06748033       1.62438607    
