 20190719
 Seconds  Measures(SEE-arcsec)  Meso-NH(SEE-arcsec)  FORECAST_AR(SEE-arcsec)
       25080  0.655399978      0.783980250      0.621997297    
       25140  0.662288904      0.783980250      0.618780017    
       25200  0.662288904      0.775914013      0.615831792    
       25260  0.673977792      0.775914013      0.613263369    
       25320  0.696933329      0.766929984      0.611624658    
       25380  0.708282590      0.766929984      0.609677315    
       25440  0.710155547      0.759062469      0.608109236    
       25500  0.718644440      0.759062469      0.607699335    
       25560  0.735666692      0.754901648      0.607531071    
       25620  0.736782610      0.754901648      0.607607305    
       25680  0.742533326      0.752197385      0.606704056    
       25740  0.748511136      0.752197385      0.604871571    
       25800  0.753577769      0.750604391      0.602156937    
       25860  0.752826095      0.750604391      0.599449813    
       25920  0.756155550      0.745169461      0.597192287    
       25980  0.758800030      0.745169461      0.595263720    
       26040  0.763066649      0.736219645      0.593786180    
       26100  0.763066649      0.736219645      0.592163861    
       26160  0.766600013      0.728999257      0.590763092    
       26220  0.768844426      0.728999257      0.589607000    
       26280  0.769288898      0.723525047      0.588472128    
       26340  0.764608681      0.723525047      0.586311698    
       26400  0.768155575      0.718915343      0.583142102    
       26460  0.768577754      0.718915343      0.579262078    
       26520  0.768681824      0.714415431      0.574815750    
       26580  0.765377760      0.714415431      0.570848823    
       26640  0.768111110      0.705977201      0.567447484    
       26700  0.770755529      0.705977201      0.563382030    
       26760  0.774409115      0.695374131      0.558507621    
       26820  0.772444427      0.695374131      0.553587735    
       26880  0.776199996      0.687102020      0.548736155    
       26940  0.779288888      0.687102020      0.544405699    
       27000  0.779288888      0.675729394      0.540892422    
       27060  0.779177785      0.675729394      0.538252354    
       27120  0.779799998      0.664699316      0.536146700    
       27180  0.782750010      0.664699316      0.534800887    
       27240  0.780488908      0.656962514      0.533772469    
       27300  0.778644443      0.656962514      0.532272696    
       27360  0.778822243      0.651409924      0.530515373    
       27420  0.783522725      0.651409924      0.528546035    
       27480  0.781113625      0.647184014      0.526950777    
       27540  0.777733326      0.647184014      0.525849581    
       27600  0.773622215      0.642003000      0.525321305    
       27660  0.773622215      0.642003000      0.525211215    
       27720  0.775888860      0.638338089      0.525161028    
       27780  0.777777791      0.638338089      0.525399745    
       27840  0.778431833      0.636953533      0.526356578    
       27900  0.783488870      0.636953533      0.528000653    
       27960  0.795133352      0.635835767      0.530327022    
       28020  0.803666651      0.635835767      0.533420026    
       28080  0.807272732      0.637574971      0.537089169    
       28140  0.812866688      0.637574971      0.541850567    
       28200  0.815866649      0.642017961      0.547589421    
       28260  0.824866652      0.642017961      0.553176224    
       28320  0.830136359      0.648725212      0.557915390    
       28380  0.832666695      0.648725212      0.562185824    
       28440  0.832311094      0.659282804      0.565410316    
       28500  0.836409092      0.659282804      0.567815363    
       28560  0.837441862      0.666507661      0.569841504    
       28620  0.837441862      0.666507661      0.571256697    
       28680  0.840690494      0.669635952      0.840753257    
       28740  0.832365870      0.669635952      0.842250526    
       28800  0.828324974      0.671292365      0.843364298    
