 20180930
 Seconds  Measures(SEE-arcsec)  Meso-NH(SEE-arcsec)  FORECAST_AR(SEE-arcsec)
       28680  0.851911128      0.834750235       1.03564179    
       28740  0.851659119      0.834750235       1.03291416    
       28800  0.854136348      0.834535718       1.03059459    
       28860  0.854133308      0.834535718       1.02910542    
       28920  0.853311121      0.831649721       1.02811038    
       28980  0.852288902      0.831649721       1.02676558    
       29040  0.850522757      0.829852581       1.02573502    
       29100  0.848422229      0.829852581       1.02520168    
       29160  0.848800004      0.830256999       1.02581322    
       29220  0.845955551      0.830256999       1.02851379    
       29280  0.839545429      0.831903696       1.03150821    
       29340  0.842222214      0.831903696       1.03395975    
       29400  0.843755543      0.838149130       1.03517306    
       29460  0.842934787      0.838149130       1.03475130    
       29520  0.843355536      0.845889628       1.03367710    
       29580  0.847266674      0.845889628       1.03269410    
       29640  0.852111101      0.848553479       1.03167450    
       29700  0.859088898      0.848553479       1.03084040    
       29760  0.859088898      0.848485172       1.03028321    
       29820  0.866777778      0.848485172       1.02953434    
       29880  0.871866643      0.848264217       1.02901411    
       29940  0.874955535      0.848264217       1.02854252    
       30000  0.874955535      0.848908603       1.02806199    
       30060  0.876244426      0.848908603       1.02793074    
       30120  0.878772736      0.850510418       1.02760506    
       30180  0.874222219      0.850510418       1.02718830    
       30240  0.873955548      0.852004468       1.02605164    
       30300  0.872955561      0.852004468       1.02381897    
       30360  0.874795437      0.852676690       1.02166033    
       30420  0.870555580      0.852676690       1.01941240    
       30480  0.866822243      0.850719690       1.01761186    
       30540  0.862111092      0.850719690       1.01630843    
       30600  0.861295462      0.848910809       1.01478529    
       30660  0.862418592      0.848910809       1.01320553    
       30720  0.862418592      0.848904669       1.01111174    
       30780  0.862404764      0.848904669       1.00865495    
       30840  0.860414624      0.847975791       1.00594914    
       30900  0.857325017      0.847975791       1.00340557    
       30960  0.857325017      0.844909489       1.00170195    
       31020  0.850324988      0.844909489       1.00056303    
       31080  0.848512828      0.841029406      0.999943912    
       31140  0.842474997      0.841029406      0.999519646    
       31200  0.833525002      0.840440094      0.998812318    
       31260  0.824975014      0.840440094      0.998092771    
       31320  0.817358971      0.841874063      0.997339308    
       31380  0.811775029      0.841874063      0.996210515    
       31440  0.804624975      0.842265546      0.995386243    
       31500  0.795825005      0.842265546      0.995114386    
       31560  0.794512808      0.842399955      0.995064616    
       31620  0.788850009      0.842399955      0.995136499    
       31680  0.778900027      0.843724728      0.994969010    
       31740  0.774536610      0.843724728      0.994484305    
       31800  0.774100006      0.845890820      0.993261695    
       31860  0.767324984      0.845890820      0.991437972    
       31920  0.759850025      0.846976399      0.989190161    
       31980  0.757975638      0.846976399      0.986615241    
       32040  0.750774980      0.845203102      0.984015405    
       32100  0.739525020      0.845203102      0.981299520    
       32160  0.729574978      0.841719091      0.979193985    
       32220  0.724926829      0.841719091      0.977689445    
       32280  0.720175028      0.838127017      0.965298951    
       32340  0.712724984      0.838127017      0.967409730    
       32400  0.708536565      0.836955190      0.969359398    
       32460  0.700390220      0.836955190      0.970415175    
       32520  0.693463385      0.837289631      0.971041799    
       32580  0.692799985      0.837289631      0.971654475    
       32640  0.686224997      0.837446690      0.972126424    
       32700  0.682243884      0.837446690      0.971598566    
       32760  0.676609755      0.835784435      0.969741583    
       32820  0.672150016      0.835784435      0.965905845    
       32880  0.663924992      0.833224893      0.960434735    
       32940  0.663365841      0.833224893      0.955123425    
       33000  0.657024384      0.825825691      0.949986160    
       33060  0.653575003      0.825825691      0.945766568    
       33120  0.650099993      0.812078476      0.942443132    
       33180  0.649999976      0.812078476      0.939129710    
       33240  0.645825028      0.799201727      0.935866475    
       33300  0.639599979      0.799201727      0.932756245    
       33360  0.631474972      0.790364385      0.929924607    
       33420  0.631474972      0.790364385      0.927241445    
       33480  0.625999987      0.781323493      0.925675690    
       33540  0.622274995      0.781323493      0.924747348    
       33600  0.619750023      0.773676753      0.924480379    
       33660  0.619750023      0.773676753      0.924872458    
       33720  0.617675006      0.770223379      0.924491227    
       33780  0.622902453      0.770223379      0.923838019    
       33840  0.625658512      0.769389629      0.922858417    
       33900  0.624499977      0.769389629      0.922207415    
       33960  0.628000021      0.765728772      0.921931028    
       34020  0.633219540      0.765728772      0.920870721    
       34080  0.638292670      0.760724306      0.919633210    
       34140  0.637650013      0.760724306      0.917797625    
       34200  0.646125019      0.757515430      0.915905416    
       34260  0.650585353      0.757515430      0.914663255    
       34320  0.654357135      0.753857911      0.913067877    
       34380  0.654357135      0.753857911      0.911590219    
       34440  0.658162773      0.749890506      0.911619008    
       34500  0.665363610      0.749890506      0.913013816    
       34560  0.667022228      0.744738281      0.914833724    
       34620  0.667022228      0.744738281      0.916351318    
       34680  0.669755578      0.745499074      0.916921973    
       34740  0.675499976      0.745499074      0.916620970    
       34800  0.677022219      0.747858107      0.915323079    
       34860  0.679022193      0.747858107      0.913490355    
       34920  0.681155562      0.746846139      0.911686778    
       34980  0.681478262      0.746846139      0.909968853    
       35040  0.683422208      0.741786957      0.909065127    
       35100  0.685266674      0.741786957      0.908312201    
       35160  0.687644422      0.737073302      0.907563984    
       35220  0.687652171      0.737073302      0.907145619    
       35280  0.690311134      0.735659063      0.905864000    
       35340  0.691377759      0.735659063      0.904071271    
       35400  0.694711089      0.734204173      0.902493954    
       35460  0.694000006      0.734204173      0.901535809    
       35520  0.695977807      0.729513347      0.901547134    
       35580  0.698066652      0.729513347      0.902308643    
       35640  0.696911097      0.725616276      0.903675973    
       35700  0.695847809      0.725616276      0.905372024    
       35760  0.699199975      0.725548625      0.907060742    
       35820  0.704266667      0.725548625      0.908011019    
       35880  0.708333313      0.728048265      0.391381145    
       35940  0.708456516      0.728048265      0.388703376    
       36000  0.712755561      0.730525672      0.385576218    
       36060  0.716600001      0.730525672      0.382799447    
       36120  0.718222201      0.729366958      0.380300760    
       36180  0.719644427      0.729366958      0.377800375    
       36240  0.719644427      0.726340234      0.375270009    
       36300  0.723044455      0.726340234      0.372749746    
       36360  0.724422216      0.723919928      0.370130897    
       36420  0.725377798      0.723919928      0.367733896    
       36480  0.725377798      0.721287072      0.365740448    
       36540  0.727555573      0.721287072      0.363768429    
       36600  0.727888882      0.718005657      0.362043709    
       36660  0.727533340      0.718005657      0.360502124    
       36720  0.727533340      0.715996206      0.359255582    
       36780  0.728711128      0.715996206      0.358252883    
       36840  0.728444457      0.715065598      0.357266277    
       36900  0.725347817      0.715065598      0.356348991    
       36960  0.726177752      0.715062618      0.355491161    
       37020  0.725555539      0.715062618      0.354475170    
       37080  0.731478274      0.715003669      0.353265494    
       37140  0.730466664      0.715003669      0.351056010    
       37200  0.735466659      0.715087116      0.348352253    
       37260  0.742155552      0.715087116      0.345119268    
       37320  0.746456504      0.714099765      0.341352642    
       37380  0.746565223      0.714099765      0.338514298    
       37440  0.744666696      0.711044133      0.336251050    
       37500  0.742111087      0.711044133      0.334678322    
       37560  0.741521716      0.705735803      0.333739728    
       37620  0.743543506      0.705735803      0.333280712    
       37680  0.741355538      0.702549160      0.333435327    
       37740  0.738711119      0.702549160      0.333641738    
       37800  0.739239156      0.701835513      0.333707631    
       37860  0.733666658      0.701835513      0.333052158    
       37920  0.731999993      0.703401625      0.331329703    
       37980  0.730533361      0.703401625      0.329531401    
       38040  0.730533361      0.704326868      0.327745736    
       38100  0.726466656      0.704326868      0.324610442    
       38160  0.718133330      0.700935066      0.320606083    
       38220  0.717636347      0.700935066      0.316663563    
       38280  0.718800008      0.697389781      0.313245863    
       38340  0.721711099      0.697389781      0.310964376    
       38400  0.716400027      0.690307081      0.309309900    
       38460  0.716400027      0.690307081      0.308447003    
       38520  0.718777776      0.685152829      0.307769537    
       38580  0.719355583      0.685152829      0.306643397    
       38640  0.720244467      0.682362199      0.305691421    
       38700  0.720244467      0.682362199      0.304214060    
       38760  0.721333325      0.680240631      0.302347511    
       38820  0.723066688      0.680240631      0.300236464    
       38880  0.725822210      0.678709567      0.297745287    
       38940  0.725822210      0.678709567      0.296056598    
       39000  0.727177799      0.675547659      0.294764400    
       39060  0.724333346      0.675547659      0.293201029    
       39120  0.725511134      0.670797825      0.291182369    
       39180  0.725511134      0.670797825      0.288333595    
       39240  0.725600004      0.667489648      0.285433382    
       39300  0.731688917      0.667489648      0.282641053    
       39360  0.740155578      0.662299693      0.279835999    
       39420  0.740155578      0.662299693      0.277350932    
       39480  0.741711140      0.656832159      0.712466896    
       39540  0.743111134      0.656832159      0.709876835    
       39600  0.743772745      0.651239038      0.707506895    
       39660  0.746488869      0.651239038      0.705180168    
       39720  0.751622200      0.644398749      0.703471661    
       39780  0.759644449      0.644398749      0.702382207    
       39840  0.762499988      0.638713896      0.701894641    
       39900  0.766399980      0.638713896      0.701968729    
       39960  0.773666680      0.635098577      0.702480733    
       40020  0.777954519      0.635098577      0.703657568    
       40080  0.782931805      0.633796513      0.705567777    
       40140  0.786355555      0.633796513      0.708048880    
       40200  0.802755535      0.634447753      0.710785806    
       40260  0.806090891      0.634447753      0.713598967    
       40320  0.812204540      0.637831926      0.716050446    
       40380  0.815866649      0.637831926      0.718051434    
       40440  0.819577754      0.642724037      0.719819725    
       40500  0.823795438      0.642724037      0.721533835    
       40560  0.826931834      0.646133959      0.723586500    
       40620  0.826155543      0.646133959      0.725928605    
       40680  0.831777751      0.648695230      0.728412509    
       40740  0.830577791      0.648695230      0.731061697    
       40800  0.830577791      0.652603567      0.733658969    
       40860  0.829466641      0.652603567      0.735660732    
       40920  0.824933350      0.656879008      0.737079978    
       40980  0.822318196      0.656879008      0.737987339    
       41040  0.823545456      0.660949826      0.738673687    
       41100  0.821088910      0.660949826      0.739490509    
       41160  0.824288905      0.662818730      0.740252376    
       41220  0.826772749      0.662818730      0.741066456    
       41280  0.823363662      0.663830757      0.741997004    
       41340  0.823266685      0.663830757      0.742901683    
       41400  0.823400021      0.664912462      0.743571937    
       41460  0.825111091      0.664912462      0.744159997    
       41520  0.825111091      0.666475058      0.744534910    
       41580  0.826111138      0.666475058      0.745042741    
       41640  0.827666640      0.667138457      0.746106625    
       41700  0.824913025      0.667138457      0.747603118    
       41760  0.829133332      0.667040110      0.749660850    
       41820  0.829666674      0.667040110      0.751808226    
       41880  0.824826062      0.668960571      0.753727496    
       41940  0.826044440      0.668960571      0.754986465    
       42000  0.823733330      0.673211157      0.755285919    
       42060  0.822844446      0.673211157      0.755141437    
       42120  0.822844446      0.676549792      0.754606545    
       42180  0.817511082      0.676549792      0.754300296    
       42240  0.815977752      0.676180124      0.754331350    
       42300  0.811822236      0.676180124      0.754084647    
       42360  0.811822236      0.674386919      0.753688276    
       42420  0.809622228      0.674386919      0.752963066    
       42480  0.805511117      0.673936069      0.751955450    
       42540  0.801599979      0.673936069      0.750812471    
       42600  0.801599979      0.672902703      0.749788523    
       42660  0.800777793      0.672902703      0.749263644    
       42720  0.802688897      0.670770705      0.749490798    
