 20190116
 Seconds  Measures(PWV-mm)  Meso-NH(PWV-mm)  FORECAST_AR(PWV-mm)
        7080   5.57373095       5.54398441       5.54247904    
        7140   5.57373095       5.54398441       5.55302429    
        7200   5.57611132       5.54650879       5.56406307    
        7260   5.58351851       5.54650879       5.57529545    
        7320   5.58657694       5.55046940       5.58764362    
        7380   5.58596277       5.55046940       5.60003328    
        7440   5.58596277       5.55718470       5.61349583    
        7500   5.58844423       5.55718470       5.62719393    
        7560   5.58844423       5.56616497       5.64064598    
        7620   5.59511518       5.56616497       5.65441751    
        7680   5.59980774       5.57974195       5.66777611    
        7740   5.59788895       5.57974195       5.68124008    
        7800   5.59788895       5.59778357       5.69413614    
        7860   5.60657692       5.59778357       5.70610714    
        7920   5.60657692       5.61528444       5.71680164    
        7980   5.60877800       5.61528444       5.72663593    
        8040   5.60365391       5.63173962       5.73599958    
        8100   5.59492588       5.63173962       5.74519634    
        8160   5.60126925       5.64702988       5.75538349    
        8220   5.58933353       5.64702988       5.76636553    
        8280   5.59992313       5.65811920       5.77841043    
        8340   5.59992313       5.65811920       5.79063702    
        8400   5.58788872       5.66762543       5.80272245    
        8460   5.58699989       5.66762543       5.81435108    
        8520   5.59692287       5.68136120       5.82568932    
        8580   5.59692287       5.68136120       5.83751154    
        8640   5.58625937       5.69949245       5.84964943    
        8700   5.59153843       5.69949245       5.86251211    
        8760   5.59153843       5.71748209       5.87528181    
        8820   5.59322214       5.71748209       5.88767242    
        8880   5.58326912       5.73480558       5.89947844    
        8940   5.58326912       5.73480558       5.91018057    
        9000   5.57611132       5.75403214       5.92015314    
        9060   5.58019209       5.75403214       5.92900562    
        9120   5.57088470       5.77371979       5.93682671    
        9180   5.55611134       5.77371979       5.94434452    
        9240   5.55611134       5.79152632       5.95161486    
        9300   5.55480766       5.79152632       5.95909500    
        9360   5.53538465       5.80678654       5.96711540    
        9420   5.51729631       5.80678654       5.97542524    
        9480   5.50946140       5.81822824       5.98421907    
        9540   5.49325943       5.81822824       5.99298716    
        9600   5.49325943       5.82895565       6.00155210    
        9660   5.48799992       5.82895565       6.01017714    
        9720   5.48799992       5.84215927       6.01853466    
        9780   5.48144436       5.84215927       6.02718210    
        9840   5.46500015       5.85768986       6.03576183    
        9900   5.45177794       5.85768986       6.04438782    
        9960   5.45177794       5.87300968       6.05280972    
       10020   5.44246149       5.87300968       6.06053925    
       10080   5.43162966       5.88773537       6.06786871    
       10140   5.42273092       5.88773537       6.07403040    
       10200   5.41037035       5.90243244       6.07956982    
       10260   5.38966656       5.90243244       6.08452940    
       10320   5.38966656       5.91652775       6.08915138    
       10380   5.38265371       5.91652775       6.09415627    
       10440   5.35923100       5.92919874       6.09949875    
       10500   5.35923100       5.92919874       6.10511971    
       10560   5.35923100       5.93965054       6.11106873    
       10620   5.35799980       5.93965054       6.11679411    
       10680   5.32692289       5.94905186       5.85133028    
       10740   5.32692289       5.94905186       5.85269785    
       10800   5.31414795       5.96013260       5.85386848    
       10860   5.29088879       5.96013260       5.85552835    
       10920   5.27626944       5.97287703       5.85768270    
       10980   5.27626944       5.97287703       5.85950661    
       11040   5.25330782       5.98316097       5.86088228    
       11100   5.24159241       5.98316097       5.86094952    
       11160   5.23011541       5.99174500       5.85940075    
       11220   5.23011541       5.99174500       5.85701799    
       11280   5.21814823       6.00210428       5.85415554    
       11340   5.19503689       6.00210428       5.85171032    
       11400   5.18146133       6.01071167       5.84957552    
       11460   5.18146133       6.01071167       5.84837389    
       11520   5.18146133       6.01290083       5.84782696    
       11580   5.18314838       6.01290083       5.84841585    
       11640   5.16457701       6.01284599       5.84992647    
       11700   5.15903711       6.01284599       5.85204220    
       11760   5.15100002       6.01434660       5.85440683    
       11820   5.14207411       6.01434660       5.85586929    
       11880   5.13680792       6.01907015       5.85656929    
       11940   5.13680792       6.01907015       5.85636282    
       12000   5.12759256       6.02691031       5.85563660    
       12060   5.11492586       6.02691031       5.85484982    
       12120   5.10946131       6.03520298       5.85425377    
       12180   5.10946131       6.03520298       5.85387325    
       12240   5.10259247       6.04033661       5.85317039    
       12300   5.09465408       6.04033661       5.85232162    
       12360   5.09465408       6.04329348       5.85082865    
       12420   5.10007429       6.04329348       5.84953880    
       12480   5.07942295       6.04677248       5.84856558    
       12540   5.07942295       6.04677248       5.84821320    
       12600   5.07942295       6.04883099       5.84868813    
       12660   5.06699991       6.04883099       5.84961510    
       12720   5.06284618       6.04874229       5.85063076    
       12780   5.05367994       6.04874229       5.85170555    
       12840   5.04243994       6.04988480       5.85270929    
       12900   5.04243994       6.04988480       5.85367489    
       12960   5.04243994       6.05378485       5.85465479    
       13020   5.03870821       6.05378485       5.85545540    
       13080   5.03834772       6.05779362       5.85604572    
       13140   5.03834772       6.05779362       5.85629988    
       13200   5.03681803       6.06137753       5.85602283    
       13260   5.03681803       6.06137753       5.85537720    
       13320   5.03681803       6.06487131       5.85406828    
       13380   5.03681803       6.06487131       5.85247993    
       13440   5.02376175       6.06731987       5.85081339    
       13500   5.02376175       6.06731987       5.84945297    
       13560   5.00666666       6.06773615       5.84842777    
       13620   4.99477291       6.06773615       5.84800386    
       13680   4.99477291       6.06569004       5.84833813    
       13740   4.98738098       6.06569004       5.84920216    
       13800   4.97736359       6.06304455       5.85035133    
       13860   4.96150017       6.06304455       5.85131788    
       13920   4.95900011       6.06142044       5.85160923    
       13980   4.95900011       6.06142044       5.85106754    
       14040   4.94381809       6.06263924       5.85039330    
       14100   4.93885708       6.06263924       5.84963846    
       14160   4.93885708       6.06487513       5.84897280    
       14220   4.93795443       6.06487513       5.84836340    
       14280   4.91947603       6.06432724       4.83628082    
       14340   4.91947603       6.06432724       4.83466530    
       14400   4.90863657       6.06318760       4.83338499    
       14460   4.89518166       6.06318760       4.83238649    
       14520   4.88971424       6.06252003       4.83188963    
       14580   4.87545443       6.06252003       4.83169556    
       14640   4.87545443       6.06020546       4.83170176    
       14700   4.85918188       6.06020546       4.83193016    
       14760   4.85547638       6.05794144       4.83203697    
       14820   4.84509087       6.05794144       4.83245516    
       14880   4.84509087       6.05680227       4.83291578    
       14940   4.84214306       6.05680227       4.83311605    
       15000   4.82557154       6.05541372       4.83297443    
       15060   4.82557154       6.05541372       4.83249807    
       15120   4.82557154       6.05282164       4.83183479    
       15180   4.82640886       6.05282164       4.83127832    
       15240   4.80733347       6.04977465       4.83136225    
       15300   4.79931831       6.04977465       4.83225393    
       15360   4.78904772       6.04553175       4.83410645    
       15420   4.78272724       6.04553175       4.83713865    
       15480   4.77666664       6.04039860       4.84036779    
       15540   4.77040911       6.04039860       4.84357166    
       15600   4.77040911       6.03682899       4.84591866    
       15660   4.76480961       6.03682899       4.84701920    
       15720   4.74842834       6.03639555       4.84751797    
       15780   4.73990917       6.03639555       4.84725189    
       15840   4.73990917       6.03608465       4.84730053    
       15900   4.73114300       6.03608465       4.84816074    
       15960   4.73114300       6.03181505       4.84947586    
       16020   4.73913622       6.03181505       4.85172224    
       16080   4.71523809       6.02476025       4.85445881    
       16140   4.71523809       6.02476025       4.85757208    
       16200   4.71118164       6.01881742       4.86070871    
       16260   4.70778275       6.01881742       4.86356020    
       16320   4.70778275       6.01490355       4.86600590    
       16380   4.69636345       6.01490355       4.86831760    
       16440   4.69652176       6.01255369       4.87067366    
       16500   4.68768167       6.01255369       4.87316656    
       16560   4.68634796       6.00982189       4.87564707    
       16620   4.68634796       6.00982189       4.87811899    
       16680   4.68370819       6.00516415       4.88039160    
       16740   4.68251991       6.00516415       4.88252068    
       16800   4.68251991       6.00032425       4.88441086    
       16860   4.68251991       6.00032425       4.88621807    
       16920   4.68251991       5.99522305       4.88820171    
       16980   4.68719244       5.99522305       4.89065838    
       17040   4.68719244       5.98923254       4.89403200    
       17100   4.68251848       5.98923254       4.89808226    
