 20190325
 Seconds  Measures(ISO-arcsec)  Meso-NH(ISO-arcsec)  FORECAST_AR(ISO-arcsec)
       28680   2.42119575       2.21153641       2.01764226    
       28740   2.43458700       2.21153641       2.01638365    
       28800   2.45277786       2.20644569       2.01552916    
       28860   2.48097777       2.20644569       2.01463842    
       28920   2.50355554       2.20293593       2.01372528    
       28980   2.49984789       2.20293593       2.01244378    
       29040   2.51504445       2.20130110       2.01108265    
       29100   2.54171109       2.20130110       2.00985241    
       29160   2.56302214       2.19964504       2.00873232    
       29220   2.57645655       2.19964504       2.00833678    
       29280   2.59011102       2.19707108       2.00822449    
       29340   2.60358691       2.19707108       2.00789189    
       29400   2.63060880       2.19474745       2.00711417    
       29460   2.65039134       2.19474745       2.00633025    
       29520   2.65039134       2.19393086       2.00562501    
       29580   2.67606521       2.19393086       2.00465226    
       29640   2.70336962       2.19108105       2.00362420    
       29700   2.72826076       2.19108105       2.00238037    
       29760   2.72826076       2.18794107       2.00125146    
       29820   2.75221729       2.18794107       2.00057817    
       29880   2.77900004       2.18444204       2.00014520    
       29940   2.80973911       2.18444204       2.00055122    
       30000   2.80973911       2.18139911       2.00195265    
       30060   2.84080434       2.18139911       2.00370431    
       30120   2.86136961       2.17907739       2.00546026    
       30180   2.87956524       2.17907739       2.00690436    
       30240   2.88531923       2.18086958       2.00772429    
       30300   2.88656521       2.18086958       2.00828528    
       30360   2.89326096       2.18295503       2.00921082    
       30420   2.89826083       2.18295503       2.01025629    
       30480   2.89826083       2.18221235       2.01135898    
       30540   2.90899992       2.18221235       2.01266026    
       30600   2.91730428       2.18248534       2.01370144    
       30660   2.92773342       2.18248534       2.01429868    
       30720   2.93515563       2.18303895       2.01492763    
       30780   2.92786956       2.18303895       2.01579213    
       30840   2.92752171       2.18279505       2.01674390    
       30900   2.93548894       2.18279505       2.01798463    
       30960   2.93737769       2.18292379       2.01918650    
       31020   2.92939138       2.18292379       2.02046061    
       31080   2.93513036       2.18380761       2.02222943    
       31140   2.93962216       2.18380761       2.02414417    
       31200   2.93426085       2.18483543       2.02612281    
       31260   2.93297815       2.18483543       2.02833247    
       31320   2.94302177       2.18771505       2.03029585    
       31380   2.94842219       2.18771505       2.03215981    
       31440   2.94478250       2.19084692       2.03462243    
       31500   2.94895649       2.19084692       2.03706479    
       31560   2.96149993       2.19325566       2.03923345    
       31620   2.97095561       2.19325566       2.04175210    
       31680   2.97543478       2.19812441       2.04447865    
       31740   2.97932601       2.19812441       2.04719019    
       31800   2.96869564       2.20197868       2.04985142    
       31860   2.97173905       2.20197868       2.05232024    
       31920   2.97886658       2.20672750       2.05489707    
       31980   2.97447824       2.20672750       2.05725574    
       32040   2.96932602       2.21115518       2.05915928    
       32100   2.96386957       2.21115518       2.06089926    
       32160   2.96771121       2.21579742       2.06269550    
       32220   2.97078252       2.21579742       2.06460977    
       32280   2.97804356       2.21868706       2.79318857    
       32340   2.98752165       2.21868706       2.78833604    
       32400   3.00077772       2.22198319       2.78413534    
       32460   3.00556517       2.22198319       2.78039932    
       32520   3.01347828       2.21948981       2.77652287    
       32580   3.02430439       2.21948981       2.77283645    
       32640   3.03966665       2.21909142       2.76861787    
       32700   3.04939127       2.21909142       2.76360464    
       32760   3.05856514       2.21904802       2.75835013    
       32820   3.07547832       2.21904802       2.75287390    
       32880   3.07313323       2.21676540       2.74731302    
       32940   3.08573914       2.21676540       2.74219084    
       33000   3.09234786       2.21331263       2.73705649    
       33060   3.09500003       2.21331263       2.73191261    
       33120   3.09155560       2.21038532       2.72686052    
       33180   3.09954357       2.21038532       2.72156358    
       33240   3.09537768       2.20791817       2.71593976    
       33300   3.08834100       2.20791817       2.70995665    
       33360   3.08011627       2.20491529       2.70321560    
       33420   3.08011627       2.20491529       2.69558144    
       33480   3.07314277       2.20049453       2.68886566    
       33540   3.06385708       2.20049453       2.68322587    
       33600   3.04999995       2.19354796       2.67833114    
       33660   3.05297613       2.19354796       2.67402411    
       33720   3.03821421       2.18972874       2.66923499    
       33780   3.02307153       2.18972874       2.66436648    
