 20190116
 Seconds  Measures(TEMP-C°)  Meso-NH(TEMP-C°)  FORECAST_AR(TEMP-C°)
        7200   15.5440979       16.4519119       15.9376478    
        7260   15.5268850       16.4470615       15.9337034    
        7320   15.5121307       16.4410210       15.9266319    
        7380   15.5006561       16.4335709       15.9160566    
        7440   15.4906559       16.4239349       15.9048195    
        7500   15.4726229       16.4109306       15.8957767    
        7560   15.4572134       16.3959866       15.8892984    
        7620   15.4465570       16.3820629       15.8835573    
        7680   15.4360657       16.3709755       15.8767090    
        7740   15.4275408       16.3618984       15.8686361    
        7800   15.4145899       16.3527126       15.8596106    
        7860   15.3975410       16.3420963       15.8511906    
        7920   15.3800001       16.3303528       15.8449287    
        7980   15.3626232       16.3183956       15.8412914    
        8040   15.3416395       16.3074551       15.8396835    
        8100   15.3208199       16.2983513       15.8396683    
        8160   15.2959013       16.2910690       15.8396931    
        8220   15.2668848       16.2856541       15.8383522    
        8280   15.2406559       16.2817459       15.8351870    
        8340   15.2211475       16.2784386       15.8304234    
        8400   15.2068853       16.2741375       15.8245459    
        8460   15.1911478       16.2681847       15.8179188    
        8520   15.1739340       16.2606430       15.8105230    
        8580   15.1575413       16.2519913       15.8022375    
        8640   15.1431150       16.2426109       15.7932625    
        8700   15.1318035       16.2324142       15.7839422    
        8760   15.1247540       16.2212200       15.7747822    
        8820   15.1173773       16.2090702       15.7662897    
        8880   15.1019669       16.1964436       15.7590208    
        8940   15.0852461       16.1840458       15.7535982    
        9000   15.0714750       16.1726208       15.7500658    
        9060   15.0547543       16.1631355       15.7477446    
        9120   15.0390167       16.1561794       15.7464523    
        9180   15.0301638       16.1516399       15.7459402    
        9240   15.0265570       16.1488476       15.7457018    
        9300   15.0236063       16.1468296       15.7443571    
        9360   15.0234423       16.1445427       15.7412186    
        9420   15.0221310       16.1413708       15.7367020    
        9480   15.0227871       16.1367874       15.7321243    
        9540   15.0227871       16.1307201       15.7294350    
        9600   15.0183611       16.1238689       15.7286282    
        9660   15.0126228       16.1180115       15.7287369    
        9720   15.0093441       16.1140308       15.7293005    
        9780   14.9998360       16.1115284       15.7301235    
        9840   14.9893446       16.1096992       15.7305784    
        9900   14.9875412       16.1083031       15.7303009    
        9960   14.9883604       16.1071720       15.7291088    
       10020   14.9921312       16.1057129       15.7263670    
       10080   14.9957380       16.1035767       15.7227087    
       10140   15.0034428       16.1004143       15.7179394    
       10200   15.0095081       16.0960350       15.7128792    
       10260   15.0127869       16.0903187       15.7074127    
       10320   15.0160656       16.0837269       15.7017145    
       10380   15.0254097       16.0768299       15.6966753    
       10440   15.0336065       16.0694065       15.6931543    
       10500   15.0413113       16.0621090       15.6915112    
       10560   15.0522947       16.0558529       15.6915665    
       10620   15.0637703       16.0514278       15.6927395    
       10680   15.0726233       16.0489120       15.6946592    
       10740   15.0816393       16.0476093       15.6971655    
       10800   15.0918036       16.0474319       14.8233080    
       10860   15.1000004       16.0477982       14.8279305    
       10920   15.1055737       16.0484238       14.8334837    
       10980   15.1109838       16.0493355       14.8398323    
       11040   15.1132784       16.0506401       14.8466797    
       11100   15.1121311       16.0526714       14.8537378    
       11160   15.1140985       16.0556984       14.8606167    
       11220   15.1152458       16.0595684       14.8673534    
       11280   15.1127872       16.0636864       14.8743277    
       11340   15.1078691       16.0676403       14.8819695    
       11400   15.1039343       16.0713444       14.8900595    
       11460   15.1052456       16.0750275       14.8991861    
       11520   15.1070490       16.0787048       14.9091978    
       11580   15.1124592       16.0828228       14.9188414    
       11640   15.1163931       16.0876694       14.9263582    
       11700   15.1229506       16.0929966       14.9304724    
       11760   15.1286888       16.0977840       14.9309740    
       11820   15.1352463       16.1005535       14.9289904    
       11880   15.1390162       16.1004009       14.9260311    
       11940   15.1434422       16.0970402       14.9232311    
       12000   15.1414757       16.0916538       14.9210854    
       12060   15.1368856       16.0851021       14.9194202    
       12120   15.1350822       16.0781651       14.9183102    
       12180   15.1321316       16.0713596       14.9183283    
       12240   15.1288528       16.0648632       14.9196310    
       12300   15.1268854       16.0587654       14.9219503    
       12360   15.1254101       16.0534859       14.9248466    
       12420   15.1214752       16.0491886       14.9282341    
       12480   15.1150818       16.0455742       14.9319534    
       12540   15.1122952       16.0423050       14.9359627    
       12600   15.1085243       16.0392857       14.9403620    
       12660   15.1063938       16.0366077       14.9453335    
       12720   15.1040983       16.0345173       14.9511538    
       12780   15.1081963       16.0332375       14.9577293    
       12840   15.1155739       16.0331306       14.9642353    
       12900   15.1150818       16.0343208       14.9696693    
       12960   15.1152458       16.0361919       14.9739733    
       13020   15.1178684       16.0375710       14.9773474    
       13080   15.1219673       16.0377789       14.9801846    
       13140   15.1268854       16.0369453       14.9829330    
       13200   15.1355734       16.0352535       14.9861164    
       13260   15.1432791       16.0328102       14.9896412    
       13320   15.1504917       16.0300617       14.9936991    
       13380   15.1544266       16.0272751       14.9980278    
       13440   15.1601639       16.0248756       15.0024652    
       13500   15.1670494       16.0229473       15.0071106    
       13560   15.1727867       16.0214710       15.0120792    
       13620   15.1750822       16.0204239       15.0176716    
       13680   15.1783609       16.0197678       15.0242529    
       13740   15.1818037       16.0195408       15.0316191    
       13800   15.1826229       16.0200291       15.0397043    
       13860   15.1839342       16.0213718       15.0482073    
       13920   15.1875410       16.0233955       15.0566921    
       13980   15.1945906       16.0260086       15.0645390    
       14040   15.2019672       16.0291042       15.0710325    
       14100   15.2119675       16.0323944       15.0757799    
       14160   15.2221308       16.0352688       15.0785761    
       14220   15.2290163       16.0370197       15.0792589    
       14280   15.2363930       16.0372505       15.0782423    
       14340   15.2455740       16.0355797       15.0763512    
       14400   15.2552462       16.0317688       15.4219131    
       14460   15.2672129       16.0260105       15.4184170    
       14520   15.2803278       16.0189342       15.4146910    
       14580   15.2954102       16.0111465       15.4098225    
       14640   15.3108196       16.0030022       15.4034567    
       14700   15.3260660       15.9945688       15.3958406    
       14760   15.3404922       15.9856005       15.3880930    
       14820   15.3540983       15.9758120       15.3814306    
       14880   15.3696718       15.9652233       15.3764973    
       14940   15.3855734       15.9545670       15.3730421    
       15000   15.3993444       15.9448204       15.3702583    
       15060   15.4106560       15.9364662       15.3670454    
       15120   15.4208193       15.9294844       15.3627739    
       15180   15.4329510       15.9234428       15.3574162    
       15240   15.4431143       15.9173136       15.3517132    
       15300   15.4498358       15.9101381       15.3468895    
       15360   15.4516392       15.9020958       15.3441076    
       15420   15.4540987       15.8941689       15.3438616    
       15480   15.4562292       15.8874769       15.3460598    
       15540   15.4622955       15.8830414       15.3499460    
       15600   15.4644260       15.8812351       15.3542318    
       15660   15.4688520       15.8818655       15.3579626    
       15720   15.4762297       15.8839817       15.3611059    
       15780   15.4849176       15.8864107       15.3637648    
       15840   15.4932785       15.8883762       15.3656549    
       15900   15.5014753       15.8896389       15.3669701    
       15960   15.5075407       15.8900099       15.3681793    
       16020   15.5122948       15.8894072       15.3692675    
       16080   15.5162296       15.8879890       15.3695078    
       16140   15.5222950       15.8862152       15.3682795    
       16200   15.5283604       15.8842783       15.3652887    
       16260   15.5352459       15.8817930       15.3605547    
       16320   15.5391808       15.8782701       15.3546906    
       16380   15.5447540       15.8733597       15.3487988    
       16440   15.5444260       15.8670549       15.3436327    
       16500   15.5396719       15.8597469       15.3392143    
       16560   15.5398359       15.8523283       15.3353243    
       16620   15.5422955       15.8455858       15.3317261    
       16680   15.5424595       15.8397636       15.3283558    
       16740   15.5421314       15.8346510       15.3246737    
       16800   15.5393438       15.8299723       15.3203335    
       16860   15.5326233       15.8254499       15.3151112    
       16920   15.5263939       15.8205395       15.3093910    
       16980   15.5201635       15.8145905       15.3033133    
       17040   15.5172129       15.8074455       15.2970181    
       17100   15.5147543       15.7994795       15.2907629    
       17160   15.5104914       15.7911720       15.2847137    
       17220   15.5026226       15.7828579       15.2788982    
       17280   15.4978685       15.7747154       15.2732649    
       17340   15.4916391       15.7668333       15.2677011    
       17400   15.4857378       15.7591696       15.2620001    
       17460   15.4798365       15.7515869       15.2559595    
       17520   15.4768848       15.7440386       15.2494869    
       17580   15.4736061       15.7363853       15.2429352    
       17640   15.4670496       15.7284813       15.2368622    
       17700   15.4578686       15.7203999       15.2309475    
       17760   15.4463930       15.7124939       15.2249413    
       17820   15.4355736       15.7054110       15.2196102    
       17880   15.4239340       15.6991949       15.2155256    
       17940   15.4137707       15.6932211       15.2127018    
       18000   15.4054098       15.6876774       15.5466480    
       18060   15.3962297       15.6829967       15.5475388    
       18120   15.3854103       15.6789627       15.5478258    
       18180   15.3736067       15.6752958       15.5469065    
       18240   15.3627872       15.6718206       15.5450087    
       18300   15.3526230       15.6680775       15.5428391    
       18360   15.3424587       15.6637249       15.5409184    
       18420   15.3332787       15.6589937       15.5388250    
       18480   15.3250818       15.6544094       15.5359211    
       18540   15.3167210       15.6499014       15.5318966    
       18600   15.3088522       15.6448250       15.5269117    
       18660   15.3027868       15.6386766       15.5214605    
       18720   15.2995081       15.6313562       15.5163898    
       18780   15.2939348       15.6232271       15.5118418    
       18840   15.2867212       15.6151619       15.5073652    
       18900   15.2793446       15.6079340       15.5023928    
       18960   15.2744265       15.6015120       15.4963236    
       19020   15.2709837       15.5954304       15.4888506    
       19080   15.2655735       15.5890417       15.4800005    
       19140   15.2632790       15.5817347       15.4699278    
       19200   15.2626228       15.5730810       15.4587984    
       19260   15.2649183       15.5631170       15.4469671    
       19320   15.2672129       15.5521364       15.4347115    
       19380   15.2685242       15.5405016       15.4222164    
       19440   15.2678690       15.5284605       15.4096622    
       19500   15.2675409       15.5160561       15.3972750    
       19560   15.2680330       15.5031757       15.3847055    
       19620   15.2681971       15.4899569       15.3711157    
       19680   15.2688522       15.4765873       15.3563452    
       19740   15.2703276       15.4627905       15.3412151    
       19800   15.2716389       15.4481020       15.3266115    
       19860   15.2736063       15.4325342       15.3128366    
       19920   15.2765570       15.4167891       15.2996569    
       19980   15.2808199       15.4017954       15.2860928    
       20040   15.2849178       15.3880358       15.2710104    
       20100   15.2888527       15.3752279       15.2547503    
       20160   15.2929506       15.3622265       15.2389479    
       20220   15.2981968       15.3476896       15.2250500    
       20280   15.3021307       15.3316183       15.2128849    
       20340   15.3068857       15.3154402       15.2015905    
       20400   15.3126230       15.3008690       15.1908493    
       20460   15.3193445       15.2885046       15.1803808    
       20520   15.3262291       15.2776442       15.1698189    
       20580   15.3337708       15.2675676       15.1588783    
       20640   15.3409834       15.2577200       15.1475973    
       20700   15.3480330       15.2475166       15.1360674    
       20760   15.3549185       15.2366648       15.1242428    
       20820   15.3634424       15.2253885       15.1122284    
       20880   15.3722954       15.2139053       15.1002731    
