 20181003
 Seconds  Measures(TEMP-C°)  Meso-NH(TEMP-C°)  FORECAST_AR(TEMP-C°)
        7260   16.7054100       17.3422432       17.1611900    
        7320   16.6959019       17.3549156       17.1667862    
        7380   16.6855736       17.3675632       17.1707077    
        7440   16.6757374       17.3797455       17.1737614    
        7500   16.6659012       17.3906212       17.1759605    
        7560   16.6568851       17.3990002       17.1770172    
        7620   16.6481972       17.4048977       17.1783524    
        7680   16.6390171       17.4091988       17.1820240    
        7740   16.6298351       17.4131451       17.1869869    
        7800   16.6203270       17.4186153       17.1904392    
        7860   16.6109829       17.4261570       17.1912651    
        7920   16.6009827       17.4340878       17.1889954    
        7980   16.5906563       17.4400215       17.1853352    
        8040   16.5803280       17.4427986       17.1834869    
        8100   16.5696716       17.4425507       17.1837292    
        8160   16.5580330       17.4422035       17.1851902    
        8220   16.5444260       17.4435539       17.1883850    
        8280   16.5306549       17.4460106       17.1931572    
        8340   16.5162296       17.4493313       17.1982937    
        8400   16.5000000       17.4541969       17.2020168    
        8460   16.4801636       17.4601746       17.2028332    
        8520   16.4581966       17.4663029       17.2003803    
        8580   16.4363937       17.4708920       17.1956005    
        8640   16.4144268       17.4726200       17.1890583    
        8700   16.3918037       17.4714260       17.1813602    
        8760   16.3675404       17.4679279       17.1731720    
        8820   16.3440990       17.4622898       17.1647778    
        8880   16.3211479       17.4550343       17.1563644    
        8940   16.2973766       17.4471684       17.1482925    
        9000   16.2739353       17.4393787       17.1400852    
        9060   16.2519665       17.4319878       17.1303902    
        9120   16.2298355       17.4249516       17.1179466    
        9180   16.2062302       17.4171467       17.1022034    
        9240   16.1804924       17.4070396       17.0839272    
        9300   16.1555729       17.3933544       17.0651665    
        9360   16.1329517       17.3757896       17.0469189    
        9420   16.1109829       17.3562431       17.0286217    
        9480   16.0890160       17.3369293       17.0100365    
        9540   16.0663929       17.3182430       16.9909744    
        9600   16.0439339       17.2994900       16.9721870    
        9660   16.0211468       17.2802162       16.9536133    
        9720   15.9988527       17.2606449       16.9347324    
        9780   15.9770489       17.2413750       16.9148884    
        9840   15.9555740       17.2218819       16.8938828    
        9900   15.9344263       17.2012978       16.8721142    
        9960   15.9127865       17.1795979       16.8498096    
       10020   15.8914757       17.1573448       16.8274860    
       10080   15.8714752       17.1348286       16.8050461    
       10140   15.8526230       17.1116238       16.7831650    
       10200   15.8344259       17.0877895       16.7636871    
       10260   15.8178692       17.0640202       16.7464962    
       10320   15.8042622       17.0418205       16.7296276    
       10380   15.7895079       17.0221233       16.7118587    
       10440   15.7759018       17.0039959       16.6929855    
       10500   15.7624588       16.9857025       16.6730022    
       10560   15.7491808       16.9661770       16.6523819    
       10620   15.7342625       16.9451504       16.6321030    
       10680   15.7185249       16.9231091       16.6124439    
       10740   15.7016392       16.9009647       16.5927753    
       10800   15.6850824       16.8792553       16.5720062    
       10860   15.6680326       16.8578148       15.5643454    
       10920   15.6493444       16.8357391       15.5466337    
       10980   15.6306553       16.8126545       15.5320778    
       11040   15.6134424       16.7896404       15.5204659    
       11100   15.5962296       16.7686005       15.5097294    
       11160   15.5778685       16.7506294       15.4987411    
       11220   15.5583611       16.7344933       15.4873457    
       11280   15.5372133       16.7184410       15.4760056    
       11340   15.5172129       16.7019253       15.4650421    
       11400   15.4990168       16.6850033       15.4547462    
       11460   15.4811478       16.6678677       15.4455500    
       11520   15.4601641       16.6507225       15.4371214    
       11580   15.4391804       16.6343861       15.4293795    
       11640   15.4183607       16.6191216       15.4220905    
       11700   15.3985243       16.6044598       15.4150257    
       11760   15.3781967       16.5900135       15.4076996    
       11820   15.3593445       16.5756226       15.3994293    
       11880   15.3434429       16.5611115       15.3899746    
       11940   15.3278685       16.5459499       15.3795500    
       12000   15.3127871       16.5295601       15.3690071    
       12060   15.2981968       16.5117207       15.3592749    
       12120   15.2868853       16.4927330       15.3507929    
       12180   15.2785244       16.4736576       15.3434868    
       12240   15.2713118       16.4556198       15.3373203    
       12300   15.2626228       16.4391022       15.3322229    
       12360   15.2532787       16.4237556       15.3276787    
       12420   15.2444258       16.4092712       15.3231630    
       12480   15.2334423       16.3954029       15.3187475    
       12540   15.2218037       16.3815746       15.3144779    
       12600   15.2103281       16.3676720       15.3104305    
       12660   15.1993446       16.3540668       15.3068857    
       12720   15.1868849       16.3408508       15.3042107    
       12780   15.1740980       16.3279171       15.3024197    
       12840   15.1604919       16.3154259       15.3005667    
       12900   15.1475410       16.3035431       15.2972450    
       12960   15.1326227       16.2921982       15.2921638    
       13020   15.1155739       16.2806511       15.2865076    
       13080   15.0972128       16.2679291       15.2812462    
       13140   15.0777054       16.2535629       15.2765608    
       13200   15.0578690       16.2383537       15.2721510    
       13260   15.0380325       16.2233677       15.2676868    
       13320   15.0178690       16.2089252       15.2629986    
       13380   14.9972134       16.1948490       15.2576447    
       13440   14.9762297       16.1809235       15.2516909    
       13500   14.9554100       16.1667309       15.2458134    
       13560   14.9349184       16.1517677       15.2407789    
       13620   14.9150820       16.1361599       15.2366390    
       13680   14.8944263       16.1208420       15.2326584    
       13740   14.8729506       16.1065216       15.2286243    
       13800   14.8506556       16.0928631       15.2246151    
       13860   14.8281965       16.0792751       15.2203646    
       13920   14.8086882       16.0657711       15.2160006    
       13980   14.7868853       16.0524502       15.2120714    
       14040   14.7644262       16.0390301       15.2083836    
       14100   14.7404919       16.0256672       15.2045250    
       14160   14.7175407       16.0128269       15.2004089    
       14220   14.6929512       16.0003510       15.1960297    
       14280   14.6681967       15.9876566       15.1910172    
       14340   14.6432791       15.9747438       15.1853952    
       14400   14.6206560       15.9617863       15.1796341    
       14460   14.6027870       15.9483852       15.2752695    
       14520   14.5877047       15.9342661       15.2694178    
       14580   14.5719671       15.9198723       15.2627516    
       14640   14.5552464       15.9056244       15.2552881    
       14700   14.5360651       15.8914013       15.2475080    
       14760   14.5132790       15.8767366       15.2397623    
       14820   14.4890165       15.8613396       15.2322235    
       14880   14.4701643       15.8456602       15.2249413    
       14940   14.4550819       15.8300772       15.2176371    
       15000   14.4413118       15.8149376       15.2099371    
       15060   14.4265575       15.8002901       15.2019958    
       15120   14.4147539       15.7857027       15.1943588    
       15180   14.4047537       15.7707911       15.1873446    
       15240   14.3911476       15.7558002       15.1809177    
       15300   14.3785248       15.7413511       15.1748686    
       15360   14.3688526       15.7276678       15.1687527    
       15420   14.3642626       15.7145824       15.1624632    
       15480   14.3608198       15.7020187       15.1568031    
       15540   14.3572130       15.6897755       15.1518335    
       15600   14.3565578       15.6776247       15.1463003    
       15660   14.3545904       15.6659012       15.1402712    
       15720   14.3511477       15.6550035       15.1340179    
       15780   14.3518028       15.6439505       15.1273756    
       15840   14.3473768       15.6320839       15.1199150    
       15900   14.3413115       15.6201029       15.1119804    
       15960   14.3396721       15.6083698       15.1039219    
       16020   14.3413115       15.5962934       15.0957556    
