 20181115
 Seconds  Measures(TEMP-C°)  Meso-NH(TEMP-C°)  FORECAST_AR(TEMP-C°)
       23040   14.6127872       15.0369339       14.8900003    
       23100   14.6098356       15.0303297       14.8900003    
       23160   14.6050816       15.0230179       14.8900003    
       23220   14.6003275       15.0157661       14.8900003    
       23280   14.5954094       15.0112610       14.8900003    
       23340   14.5924587       15.0105515       14.8900003    
       23400   14.5921316       15.0115976       14.8900003    
       23460   14.5922947       15.0120344       14.8900003    
       23520   14.5898361       15.0121794       14.8900003    
       23580   14.5859013       15.0130634       14.8900003    
       23640   14.5831146       15.0135765       14.8900003    
       23700   14.5832787       15.0123510       14.8900003    
       23760   14.5852461       15.0082350       14.8900003    
       23820   14.5890160       15.0014057       14.8900003    
       23880   14.5929508       14.9934530       14.8900003    
       23940   14.5996723       14.9856663       14.8900003    
       24000   14.6091805       14.9779787       14.8900003    
       24060   14.6183605       14.9696655       14.8900003    
       24120   14.6242619       14.9601498       14.8900003    
       24180   14.6267214       14.9494896       14.8900003    
       24240   14.6272135       14.9384356       14.8900003    
       24300   14.6278687       14.9280119       14.8900003    
       24360   14.6300001       14.9181538       14.8900003    
       24420   14.6314754       14.9078989       14.8900003    
       24480   14.6318035       14.8971682       14.8900003    
       24540   14.6316395       14.8866663       14.8900003    
       24600   14.6313114       14.8779030       14.8900003    
       24660   14.6318035       14.8717670       14.8900003    
       24720   14.6324587       14.8674316       14.8900003    
       24780   14.6329508       14.8635635       14.8900003    
       24840   14.6339340       14.8592892       14.8900003    
       24900   14.6337709       14.8546925       14.8900003    
       24960   14.6336069       14.8499498       14.8900003    
       25020   14.6354103       14.8451538       14.8900003    
       25080   14.6372128       14.8400784       14.8900003    
       25140   14.6359015       14.8348713       14.8900003    
       25200   14.6344261       14.8299913       14.6499996    
       25260   14.6339340       14.8261995       14.6499996    
       25320   14.6337709       14.8245621       14.6499996    
       25380   14.6352463       14.8239536       14.6499996    
       25440   14.6372128       14.8225012       14.6499996    
       25500   14.6362295       14.8198099       14.6499996    
       25560   14.6331148       14.8168125       14.6499996    
       25620   14.6319675       14.8146238       14.6499996    
       25680   14.6336069       14.8132067       14.6499996    
       25740   14.6370487       14.8105707       14.6499996    
       25800   14.6409836       14.8064928       14.6499996    
       25860   14.6439342       14.8023777       14.6499996    
       25920   14.6459017       14.7991133       14.6499996    
       25980   14.6460657       14.7967625       14.6499996    
       26040   14.6434422       14.7947407       14.6499996    
       26100   14.6409836       14.7934828       14.6499996    
       26160   14.6398363       14.7933750       14.6499996    
       26220   14.6401644       14.7921915       14.6499996    
       26280   14.6401644       14.7884264       14.6499996    
       26340   14.6385250       14.7842932       14.6499996    
       26400   14.6365576       14.7809629       14.6499996    
       26460   14.6354103       14.7763376       14.6499996    
       26520   14.6350822       14.7692299       14.6499996    
       26580   14.6332788       14.7605391       14.6499996    
       26640   14.6316395       14.7514963       14.6499996    
       26700   14.6285248       14.7438049       14.6499996    
       26760   14.6240988       14.7380428       14.6499996    
       26820   14.6191807       14.7321749       14.6499996    
       26880   14.6147537       14.7241392       14.6499996    
       26940   14.6114750       14.7135611       14.6499996    
       27000   14.6080332       14.7013245       14.6499996    
       27060   14.6034422       14.6896925       14.6499996    
       27120   14.5993443       14.6788645       14.6499996    
       27180   14.5955734       14.6669016       14.6499996    
       27240   14.5921316       14.6538553       14.6499996    
       27300   14.5877047       14.6412210       14.6499996    
       27360   14.5824594       14.6312094       14.6499996    
       27420   14.5775414       14.6243162       14.6499996    
       27480   14.5722952       14.6182518       14.6499996    
       27540   14.5693445       14.6112242       14.6499996    
       27600   14.5681963       14.6037636       14.6499996    
       27660   14.5659018       14.5965710       14.6499996    
       27720   14.5624590       14.5905256       14.6499996    
       27780   14.5595083       14.5856552       14.6499996    
       27840   14.5570488       14.5805683       14.6499996    
       27900   14.5540981       14.5743542       14.6499996    
       27960   14.5500002       14.5672626       14.6499996    
       28020   14.5437708       14.5596609       14.6499996    
       28080   14.5388527       14.5520000       14.6499996    
       28140   14.5350819       14.5447645       14.6499996    
       28200   14.5321312       14.5375633       14.6499996    
       28260   14.5288525       14.5301943       14.6499996    
       28320   14.5234423       14.5235300       14.6499996    
       28380   14.5181971       14.5172462       14.6499996    
       28440   14.5126228       14.5101786       14.6499996    
       28500   14.5088520       14.5020046       14.6499996    
       28560   14.5086889       14.4928522       14.6499996    
       28620   14.5104914       14.4834423       14.6499996    
       28680   14.5121307       14.4747133       14.6499996    
       28740   14.5131149       14.4671755       14.6499996    
       28800   14.5147543       14.4604731       14.4499998    
       28860   14.5165577       14.4530401       14.4499998    
       28920   14.5175409       14.4432173       14.4499998    
       28980   14.5190163       14.4321337       14.4499998    
       29040   14.5190163       14.4222260       14.4499998    
       29100   14.5165577       14.4136229       14.4499998    
       29160   14.5150824       14.4046192       14.4499998    
       29220   14.5155735       14.3943558       14.4499998    
       29280   14.5149183       14.3840399       14.4499998    
       29340   14.5121307       14.3756962       14.4499998    
       29400   14.5083609       14.3699484       14.4499998    
       29460   14.5040979       14.3655710       14.4499998    
       29520   14.4998360       14.3614655       14.4499998    
       29580   14.4967213       14.3579187       14.4499998    
       29640   14.4973774       14.3559542       14.4499998    
       29700   14.5009832       14.3546181       14.4499998    
       29760   14.5034428       14.3526564       14.4499998    
       29820   14.5083609       14.3511705       14.4499998    
       29880   14.5137701       14.3504162       14.4499998    
       29940   14.5204916       14.3496323       14.4499998    
       30000   14.5265570       14.3492403       14.4499998    
       30060   14.5313110       14.3499508       14.4499998    
       30120   14.5334425       14.3523045       14.4499998    
       30180   14.5340986       14.3558788       14.4499998    
       30240   14.5359020       14.3588772       14.4499998    
       30300   14.5401640       14.3591156       14.4499998    
       30360   14.5459013       14.3565664       14.4499998    
       30420   14.5509834       14.3537846       14.4499998    
       30480   14.5560656       14.3516731       14.4499998    
       30540   14.5611477       14.3486843       14.4499998    
       30600   14.5655737       14.3451223       14.4499998    
       30660   14.5714750       14.3428125       14.4499998    
       30720   14.5793438       14.3417902       14.4499998    
       30780   14.5873766       14.3418074       14.4499998    
       30840   14.5967216       14.3429394       14.4499998    
       30900   14.6059017       14.3446884       14.4499998    
       30960   14.6150818       14.3451538       14.4499998    
       31020   14.6240988       14.3433704       14.4499998    
       31080   14.6311474       14.3406572       14.4499998    
       31140   14.6367216       14.3386688       14.4499998    
       31200   14.6385250       14.3379498       14.4499998    
       31260   14.6383610       14.3384409       14.4499998    
       31320   14.6406555       14.3395338       14.4499998    
       31380   14.6444263       14.3407698       14.4499998    
       31440   14.6465578       14.3421478       14.4499998    
       31500   14.6481972       14.3435307       14.4499998    
       31560   14.6509838       14.3446617       14.4499998    
       31620   14.6573772       14.3455162       14.4499998    
       31680   14.6652460       14.3459415       14.4499998    
       31740   14.6726227       14.3456764       14.4499998    
       31800   14.6790161       14.3454924       14.4499998    
       31860   14.6850824       14.3463316       14.4499998    
       31920   14.6903276       14.3476410       14.4499998    
       31980   14.6950817       14.3485012       14.4499998    
       32040   14.6986885       14.3491602       14.4499998    
       32100   14.7040987       14.3496561       14.4499998    
       32160   14.7085247       14.3503237       14.4499998    
       32220   14.7093439       14.3514357       14.4499998    
       32280   14.7073774       14.3521900       14.4499998    
       32340   14.7047539       14.3515825       14.4499998    
       32400   14.7037706       14.3494825       14.9399996    
       32460   14.7034426       14.3467140       14.9399996    
       32520   14.7037706       14.3442860       14.9399996    
       32580   14.7036066       14.3420134       14.9399996    
       32640   14.7021313       14.3387785       14.9399996    
       32700   14.7008200       14.3342667       14.9399996    
       32760   14.6981964       14.3290815       14.9399996    
       32820   14.6934423       14.3235359       14.9399996    
       32880   14.6872129       14.3176250       14.9399996    
       32940   14.6800003       14.3112841       14.9399996    
       33000   14.6724586       14.3047819       14.9399996    
       33060   14.6649179       14.2987995       14.9399996    
       33120   14.6583605       14.2933912       14.9399996    
       33180   14.6537704       14.2872267       14.9399996    
       33240   14.6491804       14.2787533       14.9399996    
       33300   14.6421309       14.2681398       14.9399996    
       33360   14.6370487       14.2562799       14.9399996    
       33420   14.6316395       14.2442179       14.9399996    
       33480   14.6242619       14.2335882       14.9399996    
       33540   14.6144266       14.2246294       14.9399996    
       33600   14.6009836       14.2164059       14.9399996    
       33660   14.5904922       14.2085295       14.9399996    
       33720   14.5822954       14.2002916       14.9399996    
       33780   14.5767212       14.1916618       14.9399996    
       33840   14.5727873       14.1836157       14.9399996    
       33900   14.5678692       14.1763592       14.9399996    
       33960   14.5590162       14.1690903       14.9399996    
       34020   14.5504913       14.1609011       14.9399996    
       34080   14.5447540       14.1517401       14.9399996    
       34140   14.5393438       14.1433334       14.9399996    
       34200   14.5349178       14.1367798       14.9399996    
       34260   14.5322952       14.1313152       14.9399996    
       34320   14.5280333       14.1258202       14.9399996    
       34380   14.5222950       14.1193295       14.9399996    
       34440   14.5152454       14.1113529       14.9399996    
       34500   14.5072126       14.1023626       14.9399996    
       34560   14.4983606       14.0941248       14.9399996    
       34620   14.4904919       14.0872688       14.9399996    
       34680   14.4829512       14.0810051       14.9399996    
       34740   14.4768848       14.0746117       14.9399996    
       34800   14.4704914       14.0678711       14.9399996    
       34860   14.4647541       14.0608931       14.9399996    
       34920   14.4601641       14.0535822       14.9399996    
       34980   14.4547539       14.0459242       14.9399996    
       35040   14.4493446       14.0387478       14.9399996    
       35100   14.4462299       14.0327663       14.9399996    
       35160   14.4445906       14.0275078       14.9399996    
       35220   14.4431143       14.0219746       14.9399996    
       35280   14.4401636       14.0154572       14.9399996    
       35340   14.4360657       14.0076561       14.9399996    
       35400   14.4332790       13.9979649       14.9399996    
       35460   14.4304914       13.9864130       14.9399996    
       35520   14.4280329       13.9742823       14.9399996    
       35580   14.4275408       13.9629736       14.9399996    
       35640   14.4286880       13.9526234       14.9399996    
       35700   14.4298363       13.9428120       14.9399996    
       35760   14.4314756       13.9336033       14.9399996    
       35820   14.4331150       13.9253740       14.9399996    
       35880   14.4357376       13.9180708       14.9399996    
       35940   14.4390163       13.9111967       14.9399996    
       36000   14.4419670       13.9046669       14.5600004    
       36060   14.4429512       13.8989115       14.5600004    
       36120   14.4427872       13.8940735       14.5600004    
       36180   14.4434423       13.8901348       14.5600004    
       36240   14.4445906       13.8867130       14.5600004    
       36300   14.4467211       13.8834419       14.5600004    
       36360   14.4490166       13.8808317       14.5600004    
       36420   14.4527864       13.8793821       14.5600004    
       36480   14.4573774       13.8786144       14.5600004    
       36540   14.4622955       13.8776684       14.5600004    
       36600   14.4677048       13.8755789       14.5600004    
       36660   14.4719667       13.8715725       14.5600004    
       36720   14.4768848       13.8663578       14.5600004    
       36780   14.4829512       13.8613024       14.5600004    
