 20190225
 Seconds  Measures(WD-m/s_VX)  Measures(WD-m/s_VY)  Meso-NH(WD-m/s_VX)  Meso-NH(WD-m/s_VY)  FORECAST_AR(WD-m/s_VX)  FORECAST_AR(WD-m/s_VY)
        7260   2.69232631      -7.36891222       3.93109417      -3.28780437       2.07157922      -6.11867142    
        7320   2.69275260      -7.37737179       3.90413189      -3.27900147       2.06284595      -6.11459827    
        7380   2.70297432      -7.34041595       3.87535238      -3.27345490       2.05400300      -6.11851358    
        7440   2.71494842      -7.32499552       3.84883475      -3.27241111       2.04352331      -6.12602520    
        7500   2.68896151      -7.32352877       3.82537746      -3.27774310       2.03416038      -6.13383770    
        7560   2.68957686      -7.34692526       3.80277205      -3.28959322       2.03128910      -6.14028358    
        7620   2.68916678      -7.33544540       3.77984834      -3.30574679       2.03817821      -6.14943218    
        7680   2.71020842      -7.33789349       3.75868940      -3.32360697       2.05321431      -6.16559458    
        7740   2.72495246      -7.34268570       3.74254060      -3.34293962       2.07150793      -6.19087362    
        7800   2.74148774      -7.33817244       3.73333216      -3.36623812       2.08788967      -6.22260523    
        7860   2.74018359      -7.32573605       3.73044872      -3.39615846       2.09974265      -6.25709009    
        7920   2.76729798      -7.29503250       3.73106766      -3.43301749       2.10778904      -6.29064941    
        7980   2.80063224      -7.27170467       3.73167539      -3.47468734       2.11419678      -6.32268906    
        8040   2.83416080      -7.23320341       3.73026729      -3.51830959       2.12071586      -6.35196877    
        8100   2.83356047      -7.20972967       3.72646356      -3.56179047       2.12862039      -6.37699223    
        8160   2.81230092      -7.22567940       3.72074842      -3.60399985       2.13847399      -6.39684343    
        8220   2.78612852      -7.22486353       3.71408367      -3.64399576       2.15022159      -6.41225100    
        8280   2.79210901      -7.20439386       3.70786881      -3.68048358       2.16211057      -6.42454576    
        8340   2.82626033      -7.19321728       3.70354009      -3.71257567       2.17216921      -6.43457079    
        8400   2.82295561      -7.19056177       3.70123553      -3.74059868       2.17967987      -6.44133997    
        8460   2.79206777      -7.16474962       3.69903183      -3.76549435       2.18528080      -6.44361591    
        8520   2.76423383      -7.16029692       3.69472647      -3.78715992       2.19003677      -6.44008017    
        8580   2.73350382      -7.15838146       3.68788409      -3.80407763       2.19417453      -6.43225145    
        8640   2.67559671      -7.17256260       3.68002748      -3.81455207       2.19806361      -6.42345905    
        8700   2.63287830      -7.16756630       3.67278337      -3.81838942       2.20242405      -6.41817760    
        8760   2.60808921      -7.14251757       3.66630173      -3.81791139       2.20763779      -6.41771460    
        8820   2.65103722      -7.12293434       3.65997648      -3.81770468       2.21280909      -6.42002249    
        8880   2.68845820      -7.13989019       3.65337610      -3.82216549       2.21682191      -6.41978550    
        8940   2.72767067      -7.14392948       3.64563107      -3.83197999       2.21967626      -6.41243982    
        9000   2.76035309      -7.11480331       3.63533092      -3.84357095       2.22124052      -6.39595366    
        9060   2.78448153      -7.11134386       3.62248635      -3.85173869       2.22063470      -6.37287903    
        9120   2.76351523      -7.09218264       3.60925102      -3.85295177       2.21893358      -6.34739113    
        9180   2.76553845      -7.05607939       3.59796071      -3.84690523       2.21993518      -6.32151842    
        9240   2.73602176      -7.03307676       3.58901834      -3.83660960       2.22770977      -6.29345512    
        9300   2.75746322      -6.98985767       3.58191204      -3.82499814       2.24389267      -6.26134872    
        9360   2.79243946      -6.94643974       3.57734561      -3.81191444       2.26665282      -6.22636890    
        9420   2.77342057      -6.94562483       3.57698178      -3.79491973       2.29114294      -6.19283676    
