 20181022
 Seconds  Measures(TAU-ms)  Meso-NH(TAU-ms)  FORECAST_AR(TAU-ms)
       28680   3.63944435       5.06697178       5.89930725    
       28740   3.57688880       5.06697178       5.90417099    
       28800   3.54311371       5.08266068       5.90698576    
       28860   3.52542233       5.08266068       5.90881443    
       28920   3.46891117       5.09710169       5.91164494    
       28980   3.41253328       5.09710169       5.91468048    
       29040   3.36506820       5.10429621       5.91686106    
       29100   3.36693335       5.10429621       5.91892242    
       29160   3.30493331       5.11448097       5.92062759    
       29220   3.25893188       5.11448097       5.92191696    
       29280   3.20950007       5.12135124       5.92381954    
       29340   3.20102215       5.12135124       5.92566586    
       29400   3.13857770       5.12706041       5.92752600    
       29460   3.08202267       5.12706041       5.92919636    
       29520   3.05425000       5.13582706       5.93103170    
       29580   3.06644440       5.13582706       5.93252087    
       29640   3.05831122       5.14485645       5.93237591    
       29700   3.01856828       5.14485645       5.93071747    
       29760   3.01479554       5.15415621       5.92947912    
       29820   3.02433324       5.15415621       5.92918539    
       29880   2.98818183       5.15742636       5.92855930    
       29940   2.95456815       5.15742636       5.92793751    
       30000   2.91906810       5.16177607       5.92677593    
       30060   2.91482234       5.16177607       5.92522669    
       30120   2.89313626       5.16465664       5.92342806    
       30180   2.86984086       5.16465664       5.92121696    
       30240   2.86213326       5.16477966       5.91867447    
       30300   2.84004450       5.16477966       5.91507721    
       30360   2.81881809       5.16397476       5.91117477    
       30420   2.79618192       5.16397476       5.90740824    
       30480   2.82284093       5.16168880       5.90347099    
       30540   2.83931112       5.16168880       5.89939070    
       30600   2.82965899       5.15819359       5.89525843    
       30660   2.82397676       5.15819359       5.89077950    
       30720   2.81545234       5.15428734       5.88486671    
       30780   2.81545234       5.15428734       5.87767935    
       30840   2.81951213       5.15029669       5.87016487    
       30900   2.82500005       5.15029669       5.86314201    
       30960   2.82500005       5.14074421       5.85724211    
       31020   2.83394861       5.14074421       5.85110283    
       31080   2.91210246       5.12985373       5.84486818    
       31140   2.98417950       5.12985373       5.83969593    
       31200   3.03067493       5.12347889       5.83486223    
       31260   3.05682063       5.12347889       5.83029842    
