 20181008
 Seconds  Measures(PWV-mm)  Meso-NH(PWV-mm)  FORECAST_AR(PWV-mm)
        7080   5.70046139       4.68048525       5.64799976    
        7140   5.70046139       4.68048525       5.64799976    
        7200   5.70214796       4.67047119       5.64799976    
        7260   5.69703722       4.67047119       5.64799976    
        7320   5.69526911       4.66018105       5.64799976    
        7380   5.69907427       4.66018105       5.64799976    
        7440   5.69984627       4.65293694       5.64799976    
        7500   5.69984627       4.65293694       5.64799976    
        7560   5.70403862       4.64464903       5.64799976    
        7620   5.70403862       4.64464903       5.64799976    
        7680   5.70433331       4.63495302       5.64799976    
        7740   5.70922232       4.63495302       5.64799976    
        7800   5.71573067       4.62562037       5.64799976    
        7860   5.71573067       4.62562037       5.64799976    
        7920   5.71573067       4.61451054       5.64799976    
        7980   5.72359276       4.61451054       5.64799976    
        8040   5.71796131       4.60518456       5.64799976    
        8100   5.71796131       4.60518456       5.64799976    
        8160   5.71914816       4.59769773       5.64799976    
        8220   5.71618509       4.59769773       5.64799976    
        8280   5.71542311       4.59304762       5.64799976    
        8340   5.71544456       4.59304762       5.64799976    
        8400   5.71826935       4.58925867       5.64799976    
        8460   5.71826935       4.58925867       5.64799976    
        8520   5.71885204       4.58284855       5.64799976    
        8580   5.71880770       4.58284855       5.64799976    
        8640   5.72137022       4.57643366       5.64799976    
        8700   5.72153854       4.57643366       5.64799976    
        8760   5.72153854       4.56969929       5.64799976    
        8820   5.73670387       4.56969929       5.64799976    
        8880   5.72492313       4.56113482       5.64799976    
        8940   5.72492313       4.56113482       5.64799976    
        9000   5.72448158       4.55472422       5.64799976    
        9060   5.72422218       4.55472422       5.64799976    
        9120   5.72815371       4.55158567       5.64799976    
        9180   5.72815371       4.55158567       5.64799976    
        9240   5.72861528       4.54621553       5.64799976    
        9300   5.73037052       4.54621553       5.64799976    
        9360   5.73037052       4.53400660       5.64799976    
        9420   5.73507404       4.53400660       5.64799976    
        9480   5.73507404       4.52240372       5.64799976    
        9540   5.73796177       4.52240372       5.64799976    
        9600   5.74014807       4.51731682       5.64799976    
        9660   5.74407673       4.51731682       5.64799976    
        9720   5.74407673       4.51168394       5.64799976    
        9780   5.74948168       4.51168394       5.64799976    
        9840   5.74969244       4.50260782       5.64799976    
        9900   5.74969244       4.50260782       5.64799976    
        9960   5.74766684       4.49617481       5.64799976    
       10020   5.75488472       4.49617481       5.64799976    
       10080   5.75111103       4.49576712       5.64799976    
       10140   5.75151873       4.49576712       5.64799976    
       10200   5.75865364       4.49657822       5.64799976    
       10260   5.75865364       4.49657822       5.64799976    
       10320   5.75819254       4.49488735       5.64799976    
       10380   5.75540733       4.49488735       5.64799976    
       10440   5.75540733       4.49543142       5.64799976    
       10500   5.76173067       4.49543142       5.64799976    
       10560   5.76173067       4.49815035       5.64799976    
       10620   5.77437019       4.49815035       5.64799976    
       10680   5.76611519       4.49742413       5.67500019    
       10740   5.76611519       4.49742413       5.67500019    
       10800   5.76862955       4.49500895       5.67500019    
       10860   5.77181482       4.49500895       5.67500019    
       10920   5.77288485       4.49375248       5.67500019    
       10980   5.77633333       4.49375248       5.67500019    
       11040   5.77549982       4.49112940       5.67500019    
       11100   5.77549982       4.49112940       5.67500019    
       11160   5.77792597       4.48767233       5.67500019    
       11220   5.77750015       4.48767233       5.67500019    
       11280   5.78055573       4.48489428       5.67500019    
       11340   5.78677797       4.48489428       5.67500019    
       11400   5.79126930       4.48186493       5.67500019    
       11460   5.80759239       4.48186493       5.67500019    
       11520   5.80759239       4.47963667       5.67500019    
       11580   5.81267834       4.47963667       5.67500019    
       11640   5.80840731       4.47988844       5.67500019    
       11700   5.80840731       4.47988844       5.67500019    
       11760   5.80696440       4.48171377       5.67500019    
       11820   5.80907393       4.48171377       5.67500019    
       11880   5.80885172       4.48507833       5.67500019    
       11940   5.80753565       4.48507833       5.67500019    
       12000   5.81092596       4.48770618       5.67500019    
       12060   5.81092596       4.48770618       5.67500019    
       12120   5.80592871       4.48976421       5.67500019    
       12180   5.80859280       4.48976421       5.67500019    
       12240   5.80503559       4.49300432       5.67500019    
       12300   5.80566645       4.49300432       5.67500019    
       12360   5.80566645       4.49480963       5.67500019    
       12420   5.82285738       4.49480963       5.67500019    
       12480   5.81144428       4.49498081       5.67500019    
       12540   5.81144428       4.49498081       5.67500019    
       12600   5.81144428       4.49570799       5.67500019    
       12660   5.81523085       4.49570799       5.67500019    
       12720   5.82646132       4.49678278       5.67500019    
       12780   5.83522224       4.49678278       5.67500019    
       12840   5.83522224       4.49769926       5.67500019    
       12900   5.84246159       4.49769926       5.67500019    
       12960   5.84511995       4.49971294       5.67500019    
       13020   5.84511995       4.49971294       5.67500019    
       13080   5.84795856       4.50235748       5.67500019    
       13140   5.84795856       4.50235748       5.67500019    
       13200   5.84795856       4.50247288       5.67500019    
       13260   5.85017395       4.50247288       5.67500019    
       13320   5.85017395       4.50018692       5.67500019    
       13380   5.85017395       4.50018692       5.67500019    
       13440   5.84836340       4.49672318       5.67500019    
       13500   5.84836340       4.49672318       5.67500019    
       13560   5.84991312       4.49469423       5.67500019    
       13620   5.85865211       4.49469423       5.67500019    
       13680   5.85865211       4.49369335       5.67500019    
       13740   5.86382627       4.49369335       5.67500019    
       13800   5.87118196       4.49190283       5.67500019    
       13860   5.86330414       4.49190283       5.67500019    
       13920   5.86330414       4.48958302       5.67500019    
       13980   5.87047815       4.48958302       5.67500019    
       14040   5.87900019       4.48669147       5.67500019    
       14100   5.87900019       4.48669147       5.67500019    
       14160   5.87900019       4.48162270       5.67500019    
       14220   5.90104342       4.48162270       5.67500019    
       14280   5.89186382       4.47591305       5.71299982    
       14340   5.89186382       4.47591305       5.71299982    
       14400   5.89673901       4.47431803       5.71299982    
       14460   5.89959097       4.47431803       5.71299982    
       14520   5.90813637       4.47447300       5.71299982    
       14580   5.91434765       4.47447300       5.71299982    
       14640   5.91654539       4.47341824       5.71299982    
       14700   5.92065239       4.47341824       5.71299982    
       14760   5.92065239       4.47213125       5.71299982    
       14820   5.92691326       4.47213125       5.71299982    
       14880   5.92691326       4.47227240       5.71299982    
       14940   5.92999983       4.47227240       5.71299982    
       15000   5.93227291       4.47517061       5.71299982    
       15060   5.95973921       4.47517061       5.71299982    
       15120   5.94736385       4.47865582       5.71299982    
       15180   5.96413040       4.47865582       5.71299982    
       15240   5.96477270       4.48050213       5.71299982    
       15300   5.96477270       4.48050213       5.71299982    
       15360   5.96704340       4.48119116       5.71299982    
       15420   5.97609091       4.48119116       5.71299982    
       15480   5.97960854       4.48046780       5.71299982    
       15540   5.99404335       4.48046780       5.71299982    
       15600   6.00413656       4.47905731       5.71299982    
       15660   6.00265217       4.47905731       5.71299982    
       15720   6.00265217       4.47837210       5.71299982    
       15780   6.01772738       4.47837210       5.71299982    
       15840   6.01591301       4.47825003       5.71299982    
       15900   6.02986383       4.47825003       5.71299982    
       15960   6.02986383       4.47724915       5.71299982    
       16020   6.04986954       4.47724915       5.71299982    
       16080   6.03909111       4.47487736       5.71299982    
       16140   6.03909111       4.47487736       5.71299982    
       16200   6.04099989       4.47163057       5.71299982    
       16260   6.04099989       4.47163057       5.71299982    
       16320   6.04454184       4.46734953       5.71299982    
       16380   6.04974985       4.46734953       5.71299982    
       16440   6.04917383       4.46288633       5.71299982    
       16500   6.04941654       4.46288633       5.71299982    
       16560   6.04941654       4.45984364       5.71299982    
       16620   6.04941654       4.45984364       5.71299982    
       16680   6.04744005       4.45682812       5.71299982    
       16740   6.04744005       4.45682812       5.71299982    
       16800   6.04653835       4.45466757       5.71299982    
       16860   6.05796289       4.45466757       5.71299982    
       16920   6.05796289       4.45408916       5.71299982    
       16980   6.06071424       4.45408916       5.71299982    
       17040   6.06071424       4.45355844       5.71299982    
       17100   6.06071424       4.45355844       5.71299982    
       17160   6.05906916       4.45262766       5.71299982    
       17220   6.06451702       4.45262766       5.71299982    
       17280   6.07053566       4.45063972       5.71299982    
       17340   6.06886196       4.45063972       5.71299982    
       17400   6.07946444       4.44855738       5.71299982    
       17460   6.07668972       4.44855738       5.71299982    
       17520   6.09049988       4.44623375       5.71299982    
       17580   6.08837938       4.44623375       5.71299982    
       17640   6.09975004       4.44247007       5.71299982    
       17700   6.09975004       4.44247007       5.71299982    
       17760   6.10424137       4.43909216       5.71299982    
       17820   6.11566687       4.43909216       5.71299982    
       17880   6.10634470       4.43706322       6.09079981    
       17940   6.10634470       4.43706322       6.09079981    
       18000   6.09826660       4.43608618       6.09079981    
       18060   6.09460020       4.43608618       6.09079981    
       18120   6.09460020       4.43468237       6.09079981    
       18180   6.09073353       4.43468237       6.09079981    
       18240   6.09210348       4.43135738       6.09079981    
       18300   6.09210348       4.43135738       6.09079981    
       18360   6.08958626       4.42680645       6.09079981    
       18420   6.08059978       4.42680645       6.09079981    
       18480   6.08389664       4.42206383       6.09079981    
       18540   6.07390022       4.42206383       6.09079981    
       18600   6.07882738       4.41630363       6.09079981    
       18660   6.07882738       4.41630363       6.09079981    
       18720   6.06150007       4.41030979       6.09079981    
       18780   6.06268978       4.41030979       6.09079981    
       18840   6.05303574       4.40432310       6.09079981    
       18900   6.05303574       4.40432310       6.09079981    
       18960   6.04779291       4.39837933       6.09079981    
       19020   6.04334497       4.39837933       6.09079981    
       19080   6.04334497       4.39281511       6.09079981    
       19140   6.03737926       4.39281511       6.09079981    
       19200   6.03764296       4.38845921       6.09079981    
       19260   6.03764296       4.38845921       6.09079981    
       19320   6.03410721       4.38430214       6.09079981    
       19380   6.03410721       4.38430214       6.09079981    
       19440   6.02855158       4.37898970       6.09079981    
       19500   6.03042841       4.37898970       6.09079981    
       19560   6.03979301       4.37471247       6.09079981    
       19620   6.05053329       4.37471247       6.09079981    
       19680   6.03537941       4.37272406       6.09079981    
       19740   6.03537941       4.37272406       6.09079981    
       19800   6.03276682       4.37125015       6.09079981    
       19860   6.03103447       4.37125015       6.09079981    
       19920   6.02990007       4.36847544       6.09079981    
       19980   6.02239990       4.36847544       6.09079981    
       20040   6.02024126       4.36471891       6.09079981    
       20100   6.01446676       4.36471891       6.09079981    
       20160   6.01306915       4.35935926       6.09079981    
       20220   6.01306915       4.35935926       6.09079981    
       20280   6.00826645       4.35294628       6.09079981    
       20340   6.00855160       4.35294628       6.09079981    
       20400   6.00473356       4.34704924       6.09079981    
       20460   6.00406885       4.34704924       6.09079981    
       20520   5.99153566       4.34237862       6.09079981    
       20580   5.99017239       4.34237862       6.09079981    
       20640   5.98500013       4.33930254       6.09079981    
       20700   5.98500013       4.33930254       6.09079981    
       20760   5.97786188       4.33730555       6.09079981    
       20820   5.96986198       4.33730555       6.09079981    
       20880   5.96728563       4.33620358       6.09079981    
       20940   5.96031046       4.33620358       6.09079981    
       21000   5.95810699       4.33782768       6.09079981    
       21060   5.94879293       4.33782768       6.09079981    
       21120   5.94700003       4.33891296       6.09079981    
       21180   5.93727589       4.33891296       6.09079981    
       21240   5.93400002       4.33927631       6.09079981    
       21300   5.93400002       4.33927631       6.09079981    
       21360   5.93668985       4.34087658       6.09079981    
       21420   5.93103456       4.34087658       6.09079981    
       21480   5.91260719       4.34194326       6.08300018    
       21540   5.91260719       4.34194326       6.08300018    
       21600   5.90562057       4.34137106       6.08300018    
       21660   5.89755154       4.34137106       6.08300018    
       21720   5.89767838       4.33901739       6.08300018    
       21780   5.88675880       4.33901739       6.08300018    
       21840   5.88614273       4.33625412       6.08300018    
       21900   5.87689638       4.33625412       6.08300018    
       21960   5.87689638       4.33436298       6.08300018    
       22020   5.87471437       4.33436298       6.08300018    
       22080   5.87046432       4.33416653       6.08300018    
       22140   5.87046432       4.33416653       6.08300018    
       22200   5.87010717       4.33466291       6.08300018    
       22260   5.87010717       4.33466291       6.08300018    
       22320   5.87010717       4.33426380       6.08300018    
       22380   5.88037920       4.33426380       6.08300018    
       22440   5.87267876       4.33231211       6.08300018    
       22500   5.87267876       4.33231211       6.08300018    
       22560   5.87741375       4.33037376       6.08300018    
       22620   5.88224125       4.33037376       6.08300018    
       22680   5.88203573       4.33065176       6.08300018    
       22740   5.88203573       4.33065176       6.08300018    
       22800   5.88950014       4.33195734       6.08300018    
       22860   5.89486217       4.33195734       6.08300018    
       22920   5.89486217       4.33260345       6.08300018    
       22980   5.90186214       4.33260345       6.08300018    
       23040   5.90186214       4.33348370       6.08300018    
       23100   5.92199993       4.33348370       6.08300018    
       23160   5.92199993       4.33515739       6.08300018    
       23220   5.93200016       4.33515739       6.08300018    
       23280   5.91664267       4.33475733       6.08300018    
       23340   5.91664267       4.33475733       6.08300018    
       23400   5.92548275       4.33249378       6.08300018    
       23460   5.92435694       4.33249378       6.08300018    
       23520   5.93193102       4.33101130       6.08300018    
       23580   5.93606901       4.33101130       6.08300018    
       23640   5.93732166       4.33079576       6.08300018    
       23700   5.94379330       4.33079576       6.08300018    
       23760   5.94724989       4.33112860       6.08300018    
       23820   5.95106888       4.33112860       6.08300018    
       23880   5.95106888       4.33296013       6.08300018    
       23940   5.95400000       4.33296013       6.08300018    
       24000   5.95762062       4.33567953       6.08300018    
       24060   5.97979307       4.33567953       6.08300018    
       24120   5.97979307       4.33834219       6.08300018    
       24180   5.99009991       4.33834219       6.08300018    
       24240   5.99141359       4.34074783       6.08300018    
       24300   5.99141359       4.34074783       6.08300018    
       24360   5.99423313       4.34205961       6.08300018    
       24420   6.00126648       4.34205961       6.08300018    
       24480   6.00886202       4.34289122       6.08300018    
