 20190504
 Seconds  Measures(WS-m/s)  Meso-NH(WS-m/s)  FORECAST_AR(WS-m/s)
        3600   4.31770515       6.26550627       4.46999979    
        3660   4.29754114       6.27158642       4.46999979    
        3720   4.26016378       6.27591085       4.46999979    
        3780   4.22459030       6.27606535       4.46999979    
        3840   4.19622946       6.26950026       4.46999979    
        3900   4.16262293       6.25532675       4.46999979    
        3960   4.14245892       6.23540258       4.46999979    
        4020   4.11049175       6.21333790       4.46999979    
        4080   4.09606552       6.19252920       4.46999979    
        4140   4.06819677       6.17481184       4.46999979    
        4200   4.04081964       6.16039515       4.46999979    
        4260   3.99655747       6.14933538       4.46999979    
        4320   3.95688534       6.14264727       4.46999979    
        4380   3.89786887       6.14202452       4.46999979    
        4440   3.85901642       6.14822626       4.46999979    
        4500   3.83606553       6.15909815       4.46999979    
        4560   3.81557369       6.16990566       4.46999979    
        4620   3.77377057       6.17613506       4.46999979    
        4680   3.73000002       6.17628813       4.46999979    
        4740   3.67704916       6.17188406       4.46999979    
        4800   3.66147542       6.16449881       4.46999979    
        4860   3.64918041       6.15394735       4.46999979    
        4920   3.62786889       6.13920832       4.46999979    
        4980   3.59950829       6.12026882       4.46999979    
        5040   3.59081960       6.09917831       4.46999979    
        5100   3.55688524       6.07970810       4.46999979    
        5160   3.53016400       6.06564999       4.46999979    
        5220   3.50065565       6.05816221       4.46999979    
        5280   3.45803285       6.05466795       4.46999979    
        5340   3.43426228       6.05047655       4.46999979    
        5400   3.40983605       6.04103518       4.46999979    
        5460   3.37459016       6.02364492       4.46999979    
        5520   3.34295082       5.99801350       4.46999979    
        5580   3.28819680       5.96645308       4.46999979    
        5640   3.24721313       5.93365669       4.46999979    
        5700   3.22442627       5.90480423       4.46999979    
        5760   3.20803285       5.88309574       4.46999979    
        5820   3.19196725       5.86869621       4.46999979    
        5880   3.17311478       5.85898924       4.46999979    
        5940   3.15426230       5.84957218       4.46999979    
        6000   3.13344264       5.83643866       4.46999979    
        6060   3.10180330       5.81772614       4.46999979    
        6120   3.08442616       5.79422140       4.46999979    
        6180   3.07262301       5.76874256       4.46999979    
        6240   3.08524585       5.74430227       4.46999979    
        6300   3.08934426       5.72198057       4.46999979    
        6360   3.10901642       5.70090103       4.46999979    
        6420   3.12262297       5.67981958       4.46999979    
        6480   3.14229512       5.65830040       4.46999979    
        6540   3.17262292       5.63672256       4.46999979    
        6600   3.21852469       5.61586952       4.46999979    
        6660   3.26688528       5.59606743       4.46999979    
        6720   3.29442620       5.57629490       4.46999979    
        6780   3.30508208       5.55436802       4.46999979    
        6840   3.30999994       5.52969217       4.46999979    
        6900   3.30754089       5.50557232       4.46999979    
        6960   3.32999992       5.48694468       4.46999979    
        7020   3.33885241       5.47495222       4.46999979    
        7080   3.32852459       5.46739721       4.46999979    
        7140   3.32442617       5.46242905       4.46999979    
        7200   3.32475400       5.45907164       2.04999995    
        7260   3.31213117       5.45721292       2.04999995    
        7320   3.29950809       5.45694780       2.04999995    
        7380   3.31999993       5.45858240       2.04999995    
        7440   3.35934424       5.46270037       2.04999995    
        7500   3.38065577       5.47008371       2.04999995    
        7560   3.40196729       5.48055792       2.04999995    
        7620   3.39786887       5.49279642       2.04999995    
        7680   3.37655735       5.50419998       2.04999995    
        7740   3.36557388       5.51098871       2.04999995    
        7800   3.36393452       5.50866127       2.04999995    
        7860   3.36295080       5.49455118       2.04999995    
        7920   3.37114763       5.46937990       2.04999995    
        7980   3.38180327       5.43703985       2.04999995    
        8040   3.39032793       5.40206003       2.04999995    
        8100   3.39442635       5.36804914       2.04999995    
        8160   3.37393451       5.33606052       2.04999995    
        8220   3.36327863       5.30520964       2.04999995    
        8280   3.37065578       5.27427292       2.04999995    
        8340   3.38950825       5.24239874       2.04999995    
        8400   3.40426230       5.21033859       2.04999995    
        8460   3.39360666       5.18013000       2.04999995    
        8520   3.39000010       5.15355682       2.04999995    
        8580   3.40508199       5.13154364       2.04999995    
        8640   3.41459012       5.11367130       2.04999995    
        8700   3.40688515       5.09780407       2.04999995    
        8760   3.39491796       5.08129930       2.04999995    
        8820   3.39000010       5.06313801       2.04999995    
        8880   3.39032793       5.04443455       2.04999995    
        8940   3.39885235       5.02682734       2.04999995    
        9000   3.38081956       5.01153278       2.04999995    
        9060   3.37786889       4.99908209       2.04999995    
        9120   3.38000011       4.98922777       2.04999995    
        9180   3.38196731       4.98032379       2.04999995    
        9240   3.39245892       4.96952963       2.04999995    
        9300   3.37901640       4.95395517       2.04999995    
        9360   3.36540985       4.93236113       2.04999995    
        9420   3.34983611       4.90658331       2.04999995    
        9480   3.34081960       4.88106441       2.04999995    
        9540   3.32278681       4.86036825       2.04999995    
        9600   3.31901646       4.84605932       2.04999995    
        9660   3.30540991       4.83612394       2.04999995    
        9720   3.30049181       4.82691383       2.04999995    
        9780   3.28426218       4.81463480       2.04999995    
        9840   3.26786876       4.79622793       2.04999995    
        9900   3.23803282       4.77053404       2.04999995    
        9960   3.19049191       4.73866510       2.04999995    
       10020   3.15032792       4.70318270       2.04999995    
       10080   3.10754108       4.66674089       2.04999995    
       10140   3.06622958       4.63142490       2.04999995    
       10200   3.00967216       4.59903049       2.04999995    
       10260   2.95344257       4.57087135       2.04999995    
       10320   2.88655734       4.54732132       2.04999995    
       10380   2.82016397       4.52758789       2.04999995    
       10440   2.77868843       4.50875807       2.04999995    
       10500   2.74836063       4.48509789       2.04999995    
       10560   2.73114753       4.45108938       2.04999995    
       10620   2.69131136       4.40700674       2.04999995    
       10680   2.65737700       4.35880470       2.04999995    
       10740   2.60868859       4.31316042       2.04999995    
       10800   2.56819677       4.27475357       1.89999998    
       10860   2.51983595       4.24522495       1.89999998    
       10920   2.48688531       4.22303391       1.89999998    
       10980   2.46754098       4.20441818       1.89999998    
       11040   2.43065572       4.18549585       1.89999998    
       11100   2.37278700       4.16342926       1.89999998    
       11160   2.32442617       4.13734961       1.89999998    
       11220   2.26786876       4.10858345       1.89999998    
       11280   2.22163939       4.08020544       1.89999998    
       11340   2.18131137       4.05582619       1.89999998    
       11400   2.13360667       4.03908110       1.89999998    
       11460   2.09081960       4.03168392       1.89999998    
       11520   2.04377055       4.03222799       1.89999998    
       11580   1.99262297       4.03529644       1.89999998    
