 20190209
 Seconds  Measures(WS-m/s)  Meso-NH(WS-m/s)  FORECAST_AR(WS-m/s)
        3660   5.68360662       7.74270868       4.96999979    
        3720   5.70081949       7.72915268       4.96999979    
        3780   5.70081949       7.71973038       4.96999979    
        3840   5.70377064       7.71902609       4.96999979    
        3900   5.69967222       7.72359943       4.96999979    
        3960   5.70590162       7.72712183       4.96999979    
        4020   5.70541000       7.72297382       4.96999979    
        4080   5.71081972       7.70887327       4.96999979    
        4140   5.70885229       7.68939590       4.96999979    
        4200   5.71327877       7.67581081       4.96999979    
        4260   5.69278669       7.67931700       4.96999979    
        4320   5.68622971       7.70377779       4.96999979    
        4380   5.67557383       7.74429417       4.96999979    
        4440   5.67819691       7.78897238       4.96999979    
        4500   5.68557358       7.82343578       4.96999979    
        4560   5.68147564       7.83806610       4.96999979    
        4620   5.66950798       7.83153152       4.96999979    
        4680   5.65278673       7.80726957       4.96999979    
        4740   5.63557386       7.76999998       4.96999979    
        4800   5.63016415       7.72480631       4.96999979    
        4860   5.61409855       7.67826462       4.96999979    
        4920   5.58262300       7.63782835       4.96999979    
        4980   5.55885267       7.60873747       4.96999979    
        5040   5.52639341       7.59144974       4.96999979    
        5100   5.50704908       7.58258295       4.96999979    
        5160   5.47508192       7.57828236       4.96999979    
        5220   5.43049192       7.57704878       4.96999979    
        5280   5.42081976       7.57903099       4.96999979    
        5340   5.40573788       7.58387184       4.96999979    
        5400   5.41114759       7.59186649       4.96999979    
        5460   5.41803265       7.60775518       4.96999979    
        5520   5.42377043       7.63830328       4.96999979    
        5580   5.42213106       7.68649673       4.96999979    
        5640   5.43573761       7.74089861       4.96999979    
        5700   5.44852448       7.77504683       4.96999979    
        5760   5.46049166       7.77323103       4.96999979    
        5820   5.46983624       7.73771000       4.96999979    
        5880   5.45557356       7.68112755       4.96999979    
        5940   5.42852449       7.61516380       4.96999979    
        6000   5.43262291       7.54615784       4.96999979    
        6060   5.43016386       7.47888803       4.96999979    
        6120   5.42901659       7.41804600       4.96999979    
        6180   5.42114735       7.36545420       4.96999979    
        6240   5.42327881       7.32168818       4.96999979    
        6300   5.43524599       7.29009676       4.96999979    
        6360   5.43573761       7.27051687       4.96999979    
        6420   5.42704916       7.25206280       4.96999979    
        6480   5.41704941       7.22032452       4.96999979    
        6540   5.39950800       7.16818380       4.96999979    
        6600   5.35278702       7.09945965       4.96999979    
        6660   5.31836081       7.02561378       4.96999979    
        6720   5.28999996       6.95888996       4.96999979    
        6780   5.26950836       6.90607166       4.96999979    
        6840   5.25885248       6.86463165       4.96999979    
        6900   5.24196720       6.82679987       4.96999979    
        6960   5.19836044       6.78693342       4.96999979    
        7020   5.15737724       6.74363184       4.96999979    
        7080   5.14918041       6.69874763       4.96999979    
        7140   5.13606548       6.65787935       4.96999979    
        7200   5.12786865       6.62722683       4.96999979    
        7260   5.11688519       6.60622692       5.53000021    
        7320   5.09934425       6.58809280       5.53000021    
        7380   5.06819677       6.56488609       5.53000021    
        7440   5.03573751       6.53216743       5.53000021    
        7500   5.02704906       6.49163055       5.53000021    
        7560   5.02901649       6.44851208       5.53000021    
        7620   5.01016378       6.41082573       5.53000021    
        7680   5.00081968       6.38527107       5.53000021    
        7740   4.98229504       6.37187290       5.53000021    
        7800   4.97770500       6.36257792       5.53000021    
        7860   4.98180342       6.34744644       5.53000021    
        7920   4.99032784       6.32289505       5.53000021    
        7980   5.00180340       6.29251289       5.53000021    
        8040   5.02262306       6.26303101       5.53000021    
        8100   5.04098368       6.24045515       5.53000021    
        8160   5.05622959       6.22727346       5.53000021    
        8220   5.05081987       6.22203016       5.53000021    
