 20190525
 Seconds  Measures(SEE-arcsec)  Meso-NH(SEE-arcsec)  FORECAST_AR(SEE-arcsec)
       28740   1.10070586       1.21710789       1.03944445    
       28800   1.10850000       1.21871996       1.03944445    
       28860   1.11647058       1.21871996       1.03944445    
       28920   1.11647058       1.22249889       1.03944445    
       28980   1.12094116       1.22249889       1.03944445    
       29040   1.12094116       1.23006094       1.03944445    
       29100   1.12094116       1.23006094       1.03944445    
       29160   1.12500000       1.23519564       1.03944445    
       29220   1.11870587       1.23519564       1.03944445    
       29280   1.12293744       1.23641717       1.03944445    
       29340   1.12293744       1.23641717       1.03944445    
       29400   1.10633337       1.24024439       1.03944445    
       29460   1.10633337       1.24024439       1.03944445    
       29520   1.10633337       1.24339926       1.03944445    
       29580   1.10278571       1.24339926       1.03944445    
       29640   1.10278571       1.24849308       1.03944445    
       29700   1.10615385       1.24849308       1.03944445    
       29760   1.09628570       1.25263906       1.03944445    
       29820   1.09628570       1.25263906       1.03944445    
       29880   1.09846151       1.25438344       1.03944445    
       29940   1.10864282       1.25438344       1.03944445    
       30000   1.10864282       1.25420320       1.03944445    
       30060   1.09023082       1.25420320       1.03944445    
       30120   1.10000002       1.25342333       1.03944445    
       30180   1.10000002       1.25342333       1.03944445    
       30240   1.11207688       1.25160778       1.03944445    
       30300   1.11207688       1.25160778       1.03944445    
       30360   1.10421431       1.24747205       1.03944445    
       30420   1.10421431       1.24747205       1.03944445    
       30480   1.10421431       1.23889029       1.03944445    
       30540   1.10421431       1.23889029       1.03944445    
       30600   1.10421431       1.22826529       1.03944445    
       30660   1.10421431       1.22826529       1.03944445    
       30720   1.10421431       1.21772265       1.03944445    
       30780   1.10421431       1.21772265       1.03944445    
       30840   1.10421431       1.20473349       1.03944445    
       30900   1.10421431       1.20473349       1.03944445    
       30960   1.10421431       1.19446564       1.03944445    
       31020   1.09413338       1.19446564       1.03944445    
       31080   1.09413338       1.19016457       1.03944445    
       31140   1.09413338       1.19016457       1.03944445    
       31200   1.09356248       1.18773961       1.03944445    
       31260   1.09356248       1.18773961       1.03944445    
       31320   1.08706665       1.18654788       1.03944445    
       31380   1.07326663       1.18654788       1.03944445    
       31440   1.07326663       1.18792057       1.03944445    
       31500   1.07326663       1.18792057       1.03944445    
       31560   1.06792855       1.19218111       1.03944445    
       31620   1.06792855       1.19218111       1.03944445    
       31680   1.06792855       1.19067633       1.03944445    
       31740   1.07261539       1.19067633       1.03944445    
       31800   1.07261539       1.18921793       1.03944445    
       31860   1.07261539       1.18921793       1.03944445    
       31920   1.04315388       1.19642806       1.03944445    
       31980   1.04315388       1.19642806       1.03944445    
       32040   1.04315388       1.20706439       1.03944445    
       32100   1.05133331       1.20706439       1.03944445    
       32160   1.03907692       1.21210861       1.03944445    
       32220   1.03907692       1.21210861       1.03944445    
       32280   1.04733336       1.21630204      0.984181821    
       32340   1.02784610       1.21630204      0.984181821    
       32400   1.02784610       1.21883333      0.984181821    
       32460   1.01008332       1.21883333      0.984181821    
       32520  0.994538486       1.22061956      0.984181821    
       32580  0.994538486       1.22061956      0.984181821    
       32640  0.988499999       1.22390056      0.984181821    
       32700  0.977384627       1.22390056      0.984181821    
       32760  0.977384627       1.22188246      0.984181821    
       32820  0.977384627       1.22188246      0.984181821    
       32880  0.973999977       1.22206926      0.984181821    
       32940  0.976615369       1.22206926      0.984181821    
       33000  0.976615369       1.22784221      0.984181821    
       33060  0.976615369       1.22784221      0.984181821    
       33120  0.978500009       1.22688675      0.984181821    
