 20190415
 Seconds  Measures(RH-%)  Meso-NH(RH-%)  FORECAST_AR(RH-%)
        3600   13.6393442       14.4421463       13.5186605    
        3660   13.6393442       14.3234529       13.5189619    
        3720   13.6393442       14.2033119       13.5184765    
        3780   13.6229506       14.0834942       13.5140181    
        3840   13.6065578       13.9627762       13.5059757    
        3900   13.5737705       13.8388233       13.4944324    
        3960   13.5573769       13.7103109       13.4773407    
        4020   13.5409832       13.5763550       13.4585161    
        4080   13.5245905       13.4371767       13.4404993    
        4140   13.5081968       13.2952023       13.4252386    
        4200   13.4918032       13.1533251       13.4148312    
        4260   13.4754095       13.0133533       13.4157486    
        4320   13.4590168       12.8782053       13.4246693    
        4380   13.4590168       12.7513828       13.4401503    
        4440   13.4426231       12.6345444       13.4614878    
        4500   13.4262295       12.5273333       13.4861584    
        4560   13.4098358       12.4279289       13.5120859    
        4620   13.3934422       12.3345079       13.5407352    
        4680   13.3770494       12.2458611       13.5694695    
        4740   13.3606558       12.1608257       13.5969667    
        4800   13.3442621       12.0780945       13.6240597    
        4860   13.3278685       11.9963369       13.6484127    
        4920   13.3114758       11.9147205       13.6702137    
        4980   13.2950821       11.8326263       13.6871719    
        5040   13.2786884       11.7491360       13.7004795    
        5100   13.2622948       11.6631174       13.7107763    
        5160   13.2459021       11.5743494       13.7197056    
        5220   13.2295084       11.4833994       13.7274952    
        5280   13.2131147       11.3913412       13.7347412    
        5340   13.1967211       11.2997026       13.7404528    
        5400   13.1803274       11.2094183       13.7425690    
        5460   13.1639347       11.1204290       13.7430439    
        5520   13.1475410       11.0321341       13.7390471    
        5580   13.1311474       10.9438677       13.7288446    
        5640   13.1147537       10.8547344       13.7138042    
        5700   13.0983610       10.7633877       13.6956491    
        5760   13.0819674       10.6694565       13.6746883    
        5820   13.0819674       10.5735035       13.6522789    
        5880   13.0819674       10.4764996       13.6303453    
        5940   13.0819674       10.3794556       13.6090937    
        6000   13.0655737       10.2839870       13.5900669    
        6060   13.0491800       10.1915331       13.5743303    
        6120   13.0163937       10.1028643       13.5609264    
        6180   12.9836063       10.0184164       13.5498610    
        6240   12.9508200       9.93853664       13.5394020    
        6300   12.9508200       9.86316013       13.5293665    
        6360   12.9344263       9.79192829       13.5187664    
        6420   12.9180326       9.72414684       13.5062914    
        6480   12.9180326       9.65913200       13.4911375    
        6540   12.9180326       9.59626675       13.4728918    
        6600   12.9016390       9.53459835       13.4523602    
        6660   12.8852463       9.47334576       13.4302931    
        6720   12.8852463       9.41226673       13.4087477    
        6780   12.8852463       9.35176659       13.3894567    
        6840   12.8852463       9.29279232       13.3737307    
        6900   12.8852463       9.23711491       13.3607292    
        6960   12.8852463       9.18680859       13.3502140    
        7020   12.8852463       9.14246750       13.3423538    
        7080   12.8852463       9.10335255       13.3371668    
        7140   12.8852463       9.06882477       13.3336229    
        7200   12.8852463       9.03932953       12.8678961    
        7260   12.8852463       9.01512337       12.8698711    
        7320   12.8852463       8.99550056       12.8700275    
        7380   12.8852463       8.97924423       12.8680134    
        7440   12.8852463       8.96485615       12.8645086    
        7500   12.8852463       8.95085907       12.8589802    
        7560   12.9016390       8.93696022       12.8520288    
        7620   12.9016390       8.92343807       12.8478451    
        7680   12.9016390       8.91048813       12.8416500    
        7740   12.9016390       8.89843369       12.8366919    
        7800   12.9016390       8.88798046       12.8316307    
        7860   12.9016390       8.88011456       12.8283443    
        7920   12.9016390       8.87558365       12.8197565    
        7980   12.9016390       8.87415886       12.8093958    
        8040   12.9016390       8.87405777       12.7968597    
        8100   12.9016390       8.87290478       12.7821217    
        8160   12.8852463       8.86987591       12.7628880    
        8220   12.8852463       8.86495304       12.7442026    
        8280   12.8852463       8.85844898       12.7252426    
        8340   12.8852463       8.85109138       12.7037296    
        8400   12.8852463       8.84342098       12.6822081    
        8460   12.8852463       8.83584690       12.6608810    
        8520   12.8852463       8.82844830       12.6404877    
        8580   12.8852463       8.82132626       12.6204586    
        8640   12.8852463       8.81487179       12.6038523    
        8700   12.8852463       8.80992413       12.5888691    
        8760   12.8852463       8.80788803       12.5749407    
        8820   12.8852463       8.80993176       12.5594139    
        8880   12.8852463       8.81586647       12.5451822    
        8940   12.8852463       8.82441425       12.5332460    
        9000   12.8852463       8.83447742       12.5243530    
        9060   12.8852463       8.84594727       12.5198193    
        9120   12.8852463       8.85996342       12.5165911    
        9180   12.8852463       8.87786293       12.5144796    
        9240   12.8688526       8.89982605       12.5129471    
        9300   12.8524590       8.92536259       12.5115118    
        9360   12.8360653       8.95306301       12.5085592    
        9420   12.8360653       8.98145580       12.5062037    
        9480   12.8196726       9.00973034       12.5051622    
        9540   12.8032789       9.03795815       12.5040789    
        9600   12.7868853       9.06634045       12.5007896    
        9660   12.7704916       9.09524536       12.4956369    
        9720   12.7704916       9.12475491       12.4886961    
        9780   12.7704916       9.15363407       12.4799252    
        9840   12.7704916       9.18062592       12.4677258    
        9900   12.7704916       9.20585155       12.4524612    
        9960   12.7540979       9.22957516       12.4328871    
       10020   12.7377052       9.25144863       12.4091949    
       10080   12.7377052       9.27072525       12.3825512    
       10140   12.7377052       9.28663540       12.3549643    
       10200   12.7377052       9.29922485       12.3275604    
       10260   12.7377052       9.30921459       12.3002033    
       10320   12.7377052       9.31759644       12.2735815    
       10380   12.7213116       9.32557487       12.2461290    
       10440   12.7049179       9.33354473       12.2172747    
       10500   12.6885242       9.34123325       12.1857052    
       10560   12.6721315       9.34796715       12.1517172    
       10620   12.6557379       9.35289192       12.1156807    
       10680   12.6393442       9.35512829       12.0777493    
       10740   12.6229506       9.35417652       12.0378227    
       10800   12.6065578       9.35005760       12.5633602    
       10860   12.5901642       9.34308243       12.5441923    
       10920   12.5737705       9.33386040       12.5229549    
       10980   12.5573769       9.32345676       12.5052376    
       11040   12.5573769       9.31285191       12.4889774    
       11100   12.5409832       9.30227184       12.4749517    
       11160   12.5409832       9.29193687       12.4610910    
       11220   12.5409832       9.28247547       12.4479523    
       11280   12.5409832       9.27398300       12.4322748    
       11340   12.5409832       9.26619816       12.4159737    
       11400   12.5409832       9.25836468       12.3953228    
       11460   12.5409832       9.24898148       12.3707790    
       11520   12.5409832       9.23651791       12.3431292    
       11580   12.5409832       9.21959019       12.3150196    
       11640   12.5409832       9.19826031       12.2888269    
       11700   12.5409832       9.17462730       12.2623281    
       11760   12.5409832       9.15117073       12.2376385    
       11820   12.5573769       9.12895298       12.2142820    
       11880   12.5573769       9.10810947       12.1916866    
       11940   12.5573769       9.08843327       12.1663237    
       12000   12.5573769       9.06955051       12.1415539    
       12060   12.5573769       9.05079269       12.1160393    
       12120   12.5573769       9.03197002       12.0899153    
       12180   12.5573769       9.01292515       12.0626287    
       12240   12.5573769       8.99332905       12.0320864    
       12300   12.5573769       8.97239780       11.9986000    
       12360   12.5573769       8.94869137       11.9629784    
       12420   12.5573769       8.92129803       11.9259701    
       12480   12.5573769       8.89076996       11.8899689    
       12540   12.5573769       8.85825920       11.8529272    
       12600   12.5573769       8.82459259       11.8128958    
       12660   12.5573769       8.78986931       11.7705126    
       12720   12.5573769       8.75310898       11.7247343    
       12780   12.5573769       8.71303463       11.6781921    
       12840   12.5573769       8.66972733       11.6324854    
       12900   12.5737705       8.62426949       11.5883646    
       12960   12.5901642       8.57835388       11.5442085    
       13020   12.6065578       8.53315163       11.5011511    
       13080   12.6229506       8.48912716       11.4578218    
       13140   12.6393442       8.44601059       11.4131317    
       13200   12.6557379       8.40333462       11.3681126    
       13260   12.6721315       8.36031342       11.3240662    
       13320   12.6885242       8.31645489       11.2813148    
       13380   12.6885242       8.27266026       11.2391682    
       13440   12.7049179       8.22991085       11.1979361    
       13500   12.7213116       8.18786240       11.1588030    
       13560   12.7377052       8.14616108       11.1227980    
       13620   12.7540979       8.10565281       11.0900764    
       13680   12.7704916       8.06769848       11.0614882    
       13740   12.7704916       8.03334904       11.0364599    
       13800   12.7704916       8.00296497       11.0140800    
       13860   12.7704916       7.97643232       10.9931574    
       13920   12.7868853       7.95338202       10.9739666    
       13980   12.8032789       7.93261957       10.9563646    
       14040   12.8196726       7.91313457       10.9413576    
       14100   12.8360653       7.89460468       10.9291973    
       14160   12.8524590       7.87755060       10.9201336    
       14220   12.8688526       7.86299992       10.9139404    
       14280   12.8852463       7.85185146       10.9089375    
       14340   12.9016390       7.84421682       10.9050884    
       14400   12.9180326       7.83902931       12.9491253    
       14460   12.9344263       7.83493423       12.9683685    
       14520   12.9508200       7.83168554       12.9873505    
       14580   12.9672127       7.82974291       13.0080395    
       14640   12.9836063       7.82944345       13.0264196    
       14700   12.9836063       7.83104181       13.0442238    
       14760   13.0000000       7.83431387       13.0605850    
       14820   13.0000000       7.83833838       13.0772753    
       14880   13.0000000       7.84269381       13.0924149    
       14940   13.0000000       7.84736729       13.1059284    
       15000   13.0000000       7.85252333       13.1198778    
       15060   13.0000000       7.85867500       13.1353636    
       15120   13.0000000       7.86621284       13.1535349    
       15180   13.0000000       7.87605047       13.1725159    
       15240   13.0000000       7.88932610       13.1925011    
       15300   13.0000000       7.90584326       13.2093115    
       15360   13.0000000       7.92360926       13.2269096    
       15420   13.0000000       7.94116259       13.2433558    
       15480   13.0000000       7.95824766       13.2616615    
       15540   13.0000000       7.97549248       13.2800455    
       15600   13.0000000       7.99364424       13.2996407    
       15660   13.0000000       8.01354027       13.3190937    
       15720   13.0000000       8.03548813       13.3380404    
       15780   13.0000000       8.05878258       13.3555756    
       15840   13.0000000       8.08251476       13.3731318    
       15900   13.0000000       8.10646248       13.3923626    
       15960   13.0000000       8.13098907       13.4127760    
       16020   13.0000000       8.15605927       13.4338322    
       16080   13.0000000       8.18215752       13.4536371    
       16140   13.0000000       8.21089458       13.4715919    
       16200   13.0000000       8.24176311       13.4888201    
       16260   13.0000000       8.27303410       13.5059814    
