 20190201
 Seconds  Measures(GLF-%)  Meso-NH(GLF-%)  FORECAST_AR(GLF-%)
       39480   9999.00000       47.6786118       66.8052444    
       39540   9999.00000       47.6786118       66.7011414    
       39600   9999.00000       47.1688385       66.7076569    
       39660   9999.00000       47.1688385       66.7493134    
       39720   9999.00000       46.9921112       66.7727890    
       39780   9999.00000       46.9921112       66.7549210    
       39840   9999.00000       47.2336617       66.6226120    
       39900   9999.00000       47.2336617       66.3108368    
       39960   9999.00000       47.4128036       65.8860550    
       40020   9999.00000       47.4128036       65.3867340    
       40080   9999.00000       47.1394005       64.8489838    
       40140   9999.00000       47.1394005       64.2874527    
       40200   9999.00000       46.4215164       63.7357368    
       40260   9999.00000       46.4215164       63.2746429    
       40320   9999.00000       45.5350227       62.8527908    
       40380   9999.00000       45.5350227       62.5616188    
       40440   9999.00000       44.6901093       62.4170609    
       40500   9999.00000       44.6901093       62.3861656    
       40560   9999.00000       43.9973373       62.4302559    
       40620   9999.00000       43.9973373       62.3962326    
       40680   9999.00000       43.8588562       62.2844505    
       40740   9999.00000       43.8588562       62.0622101    
       40800   9999.00000       44.0104561       61.7270660    
       40860   9999.00000       44.0104561       61.3604469    
       40920   9999.00000       43.8347206       60.9469070    
       40980   9999.00000       43.8347206       60.4980087    
       41040   9999.00000       43.2043953       60.0297356    
       41100   9999.00000       43.2043953       59.5836487    
       41160   9999.00000       42.3736458       59.1792717    
       41220   9999.00000       42.3736458       58.7536812    
       41280   9999.00000       41.4706573       58.2691269    
       41340   9999.00000       41.4706573       57.8334961    
       41400   9999.00000       40.7317009       57.4847717    
       41460   9999.00000       40.7317009       57.1690979    
       41520   9999.00000       39.7566681       56.9852409    
       41580   9999.00000       39.7566681       56.8223648    
       41640   9999.00000       39.1298103       56.6453438    
       41700   9999.00000       39.1298103       56.4969215    
       41760   9999.00000       39.0142593       56.2422028    
       41820   9999.00000       39.0142593       55.8678474    
       41880   9999.00000       38.8456345       55.4752388    
       41940   9999.00000       38.8456345       55.1869011    
       42000   9999.00000       38.2540054       55.0253716    
       42060   9999.00000       38.2540054       54.9956818    
       42120   9999.00000       37.5890770       55.0102043    
       42180   9999.00000       37.5890770       55.0555305    
       42240   9999.00000       37.4193535       55.0814972    
       42300   9999.00000       37.4193535       55.0492554    
       42360   9999.00000       37.4202271       55.0634117    
       42420   9999.00000       37.4202271       55.0804749    
       42480   9999.00000       37.3475189       55.0206909    
       42540   9999.00000       37.3475189       54.9463425    
       42600   9999.00000       37.4523888       54.9352150    
       42660   9999.00000       37.4523888       54.9339943    
       42720   9999.00000       37.2584724       54.9140816    
       42780   9999.00000       37.2584724       54.8995018    
       42840   9999.00000       37.3112030       54.8764153    
       42900   9999.00000       37.3112030       54.9425316    
       42960   9999.00000       37.2898827       55.1020393    
       43020   9999.00000       37.2898827       55.2721748    
