 20181201
 Seconds  Measures(SEE-arcsec)  Meso-NH(SEE-arcsec)  FORECAST_AR(SEE-arcsec)
       25080  0.678046525      0.592904985      0.678532302    
       25140  0.677477300      0.592904985      0.679931283    
       25200  0.679604650      0.587623298      0.681159675    
       25260  0.681372106      0.587623298      0.681537449    
       25320  0.686093032      0.582851112      0.680924475    
       25380  0.685727298      0.582851112      0.680200696    
       25440  0.687767446      0.580990314      0.679180324    
       25500  0.689209282      0.580990314      0.678239346    
       25560  0.690666676      0.576015234      0.677653372    
       25620  0.690666676      0.576015234      0.677479982    
       25680  0.693097532      0.570060730      0.677818954    
       25740  0.696449995      0.570060730      0.678815246    
       25800  0.699589729      0.565814853      0.680603683    
       25860  0.699589729      0.565814853      0.682193279    
       25920  0.703657866      0.562629461      0.684166491    
       25980  0.707000017      0.562629461      0.686244547    
       26040  0.711444438      0.560994029      0.688141584    
       26100  0.710756779      0.560994029      0.690215349    
       26160  0.712945938      0.560411870      0.691720128    
       26220  0.714472234      0.560411870      0.693383694    
       26280  0.709777772      0.558932841      0.694809854    
       26340  0.708378375      0.558932841      0.695735037    
       26400  0.705270290      0.556721449      0.696064234    
       26460  0.703833342      0.556721449      0.695680201    
       26520  0.701972961      0.554824710      0.694666505    
       26580  0.698756754      0.554824710      0.693514287    
       26640  0.696540534      0.552095771      0.692909062    
       26700  0.698000014      0.552095771      0.692971468    
       26760  0.694189191      0.547872126      0.693236113    
       26820  0.686891913      0.547872126      0.693496048    
       26880  0.679162145      0.545386255      0.694448411    
       26940  0.679162145      0.545386255      0.696039975    
       27000  0.674189210      0.542998135      0.698469758    
       27060  0.664567590      0.542998135      0.701787055    
       27120  0.662236869      0.541568339      0.705805063    
       27180  0.652837813      0.541568339      0.710175455    
       27240  0.645351350      0.541693628      0.714457393    
       27300  0.645447373      0.541693628      0.718360662    
       27360  0.644578934      0.545084357      0.721572578    
       27420  0.643324316      0.545084357      0.724221051    
       27480  0.642000020      0.549741089      0.726026654    
       27540  0.643710554      0.549741089      0.726493597    
       27600  0.642368436      0.552283287      0.726297021    
       27660  0.641052604      0.552283287      0.725687146    
       27720  0.642945945      0.551757216      0.725664616    
       27780  0.642184198      0.551757216      0.727540731    
       27840  0.641282022      0.548255742      0.730141878    
       27900  0.640692294      0.548255742      0.733211398    
       27960  0.640692294      0.547162652      0.736061394    
       28020  0.640384614      0.547162652      0.738281071    
       28080  0.637153864      0.549679101      0.740482450    
       28140  0.631666660      0.549679101      0.742474616    
       28200  0.631666660      0.552146554      0.744336843    
       28260  0.626410246      0.552146554      0.746296644    
       28320  0.620974362      0.554796994      0.747909606    
       28380  0.617076933      0.554796994      0.749236107    
       28440  0.617076933      0.556933522      0.750778139    
       28500  0.611359000      0.556933522      0.752260566    
       28560  0.606666684      0.557429016      0.753865242    
       28620  0.602512836      0.557429016      0.755402803    
       28680  0.602512836      0.558399379      0.600850344    
       28740  0.594564080      0.558399379      0.597859859    
       28800  0.588410258      0.559713185      0.594902396    
       28860  0.584725022      0.559713185      0.591992795    
       28920  0.583999991      0.562297225      0.588457584    
       28980  0.575333357      0.562297225      0.584359348    
       29040  0.569102585      0.563128769      0.580527246    
       29100  0.566924989      0.563128769      0.577193558    
       29160  0.564333320      0.560744762      0.574369848    
       29220  0.561275005      0.560744762      0.571891189    
       29280  0.560365856      0.560194910      0.569551170    
       29340  0.556904733      0.560194910      0.567223966    
       29400  0.556904733      0.560449243      0.564488411    
       29460  0.557534873      0.560449243      0.561569989    
       29520  0.556727290      0.561142266      0.558387816    
       29580  0.555199981      0.561142266      0.554816961    
