 20190613
 Seconds  Measures(SEE-arcsec)  Meso-NH(SEE-arcsec)  FORECAST_AR(SEE-arcsec)
       25080  0.526152194      0.688912332      0.528922379    
       25140  0.528956532      0.688912332      0.530206382    
       25200  0.529688895      0.688969254      0.531190813    
       25260  0.530456543      0.688969254      0.532398283    
       25320  0.532377779      0.688953161      0.533975780    
       25380  0.534444451      0.688953161      0.536029339    
       25440  0.538022220      0.688104868      0.538727820    
       25500  0.539021730      0.688104868      0.541142166    
       25560  0.541577756      0.688969433      0.543296456    
       25620  0.542466640      0.688969433      0.545255423    
       25680  0.543311119      0.691458821      0.546680272    
       25740  0.544195652      0.691458821      0.548215866    
       25800  0.545755565      0.693001509      0.549498081    
       25860  0.547666669      0.693001509      0.550536335    
       25920  0.550644457      0.693408787      0.551790774    
       25980  0.549739122      0.693408787      0.553099155    
       26040  0.551022232      0.692926884      0.554187894    
       26100  0.550999999      0.692926884      0.555287361    
       26160  0.550888896      0.692995667      0.556036890    
       26220  0.550733328      0.692995667      0.556299627    
       26280  0.550733328      0.692985415      0.556342304    
       26340  0.551622212      0.692985415      0.556336224    
       26400  0.551844418      0.691539586      0.556646824    
       26460  0.552866638      0.691539586      0.557215452    
       26520  0.552866638      0.689160466      0.558133543    
       26580  0.551533341      0.689160466      0.559469759    
       26640  0.551044464      0.687559485      0.560848534    
       26700  0.550886393      0.687559485      0.562617719    
       26760  0.552488863      0.687585354      0.564699113    
       26820  0.554244459      0.687585354      0.566984773    
       26880  0.554444432      0.688373327      0.569325626    
       26940  0.557521760      0.688373327      0.571911275    
       27000  0.556911111      0.690750062      0.574773729    
       27060  0.560911119      0.690750062      0.577430427    
       27120  0.568622231      0.693763554      0.580166221    
       27180  0.569931805      0.693763554      0.582665324    
       27240  0.573022246      0.697482526      0.584689975    
       27300  0.576733351      0.697482526      0.586478055    
       27360  0.579111099      0.700929761      0.588152409    
       27420  0.580727279      0.700929761      0.589638650    
       27480  0.584511101      0.702897191      0.591287434    
       27540  0.589911103      0.702897191      0.592847228    
       27600  0.597711086      0.704035342      0.594007313    
       27660  0.597711086      0.704035342      0.595118940    
       27720  0.602288902      0.705618262      0.595926046    
       27780  0.607644439      0.705618262      0.596492946    
       27840  0.612999976      0.706094801      0.597009599    
       27900  0.612999976      0.706094801      0.597100437    
       27960  0.615955532      0.705577910      0.597388029    
       28020  0.625599980      0.705577910      0.597994626    
       28080  0.631711125      0.704920590      0.598825157    
       28140  0.631711125      0.704920590      0.600210011    
       28200  0.636600018      0.705118239      0.601601124    
       28260  0.644577801      0.705118239      0.602961183    
       28320  0.650399983      0.706258178      0.604623079    
       28380  0.650399983      0.706258178      0.606548190    
       28440  0.660600007      0.707670152      0.608729720    
       28500  0.670177758      0.707670152      0.611184120    
       28560  0.672772706      0.710625768      0.613556385    
       28620  0.677088916      0.710625768      0.615715146    
       28680  0.678533316      0.714417934      0.683347583    
       28740  0.679466665      0.714417934      0.685617387    
       28800  0.680795431      0.717794001      0.688507080    
       28860  0.683244467      0.717794001      0.691122055    
       28920  0.685022235      0.721767306      0.693191469    
       28980  0.683934808      0.721767306      0.694919109    
       29040  0.686711133      0.724877298      0.696140230    
       29100  0.687644422      0.724877298      0.696722269    
       29160  0.692177773      0.726229668      0.697859049    
       29220  0.692177773      0.726229668      0.699301839    
