 20190623
 Seconds  Measures(ISO-arcsec)  Meso-NH(ISO-arcsec)  FORECAST_AR(ISO-arcsec)
       21480   1.42867851       1.75885344       1.38777316    
       21540   1.41937041       1.75885344       1.38314831    
       21600   1.40570366       1.75963521       1.37889946    
       21660   1.39900005       1.75963521       1.37458670    
       21720   1.39539289       1.76184106       1.37028897    
       21780   1.40203702       1.76184106       1.36711550    
       21840   1.39839292       1.76464212       1.36474895    
       21900   1.40071428       1.76464212       1.36285877    
       21960   1.40071428       1.76811218       1.36091816    
       22020   1.39800000       1.76811218       1.35820317    
       22080   1.39713788       1.77137017       1.35526407    
       22140   1.39265513       1.77137017       1.35308611    
       22200   1.39265513       1.77511632       1.35187399    
       22260   1.38448274       1.77511632       1.35185325    
       22320   1.37555170       1.77992356       1.35258007    
       22380   1.37524140       1.77992356       1.35333788    
       22440   1.37524140       1.78389311       1.35294306    
       22500   1.35468960       1.78389311       1.35244358    
       22560   1.33344829       1.78964961       1.35162461    
       22620   1.32658625       1.78964961       1.35175669    
       22680   1.32658625       1.79333639       1.35223794    
       22740   1.32193100       1.79333639       1.35277045    
       22800   1.31706893       1.79627001       1.35286570    
       22860   1.31734478       1.79627001       1.35267723    
       22920   1.31734478       1.80081367       1.35203600    
       22980   1.31468964       1.80081367       1.35204887    
       23040   1.32055175       1.80473924       1.35286009    
       23100   1.31693101       1.80473924       1.35347593    
       23160   1.31693101       1.80755961       1.35344481    
       23220   1.31051719       1.80755961       1.35359764    
       23280   1.30651724       1.81159651       1.35422754    
       23340   1.30937934       1.81159651       1.35561717    
       23400   1.30937934       1.81462669       1.35757124    
       23460   1.30649996       1.81462669       1.35901403    
       23520   1.30100000       1.81770980       1.35948563    
       23580   1.29387498       1.81770980       1.35946906    
       23640   1.29387498       1.82089245       1.36015558    
       23700   1.28533328       1.82089245       1.36145115    
       23760   1.28361762       1.82245493       1.36320221    
       23820   1.28359997       1.82245493       1.36484098    
       23880   1.28359997       1.82424176       1.36642826    
       23940   1.28680003       1.82424176       1.36775160    
       24000   1.29511428       1.82645190       1.36947870    
       24060   1.30702782       1.82645190       1.37169933    
       24120   1.31864870       1.82856095       1.37410021    
       24180   1.31864870       1.82856095       1.37652695    
       24240   1.32339478       1.83159077       1.37920809    
       24300   1.32510257       1.83159077       1.38208103    
       24360   1.32630002       1.83467495       1.38548219    
       24420   1.32630002       1.83467495       1.38911843    
       24480   1.32370734       1.83800340       1.39258194    
       24540   1.32107139       1.83800340       1.39600325    
       24600   1.32341862       1.84297109       1.39968395    
       24660   1.32341862       1.84297109       1.40348303    
       24720   1.32545459       1.84751916       1.40767205    
       24780   1.32920003       1.84751916       1.41192496    
       24840   1.32541299       1.85252023       1.41594267    
       24900   1.32295561       1.85252023       1.41986251    
       24960   1.32215214       1.85736585       1.42355359    
       25020   1.31691301       1.85736585       1.42723274    
       25080   1.31154346       1.86163163       1.30970275    
       25140   1.30546665       1.86163163       1.30969238    
       25200   1.30873919       1.86532331       1.30915439    
       25260   1.30854344       1.86532331       1.30893683    
       25320   1.30943477       1.86930263       1.30916131    
       25380   1.30968893       1.86930263       1.31063688    
       25440   1.31004345       1.87311411       1.31176925    
       25500   1.30980432       1.87311411       1.31303871    
       25560   1.30813038       1.87703061       1.31476295    
       25620   1.30813038       1.87703061       1.31671786    
       25680   1.30697823       1.88005519       1.31867969    
       25740   1.30669570       1.88005519       1.32052588    
       25800   1.30480433       1.88368809       1.32133436    
       25860   1.30480433       1.88368809       1.32154834    
       25920   1.30043483       1.88708901       1.32185328    
       25980   1.29934788       1.88708901       1.32253420    
       26040   1.30055559       1.88931012       1.32336080    
       26100   1.30289125       1.88931012       1.32488930    
       26160   1.30732608       1.89216006       1.32678068    
       26220   1.32136953       1.89216006       1.32900178    
       26280   1.32917774       1.89445984       1.33167481    
       26340   1.32776082       1.89445984       1.33426058    
       26400   1.32313049       1.89750731       1.33619261    
       26460   1.32217395       1.89750731       1.33730233    
       26520   1.32211113       1.90050519       1.33870578    
       26580   1.31982613       1.90050519       1.34016132    
       26640   1.31645656       1.90154874       1.34221101    
       26700   1.31230438       1.90154874       1.34459639    
       26760   1.31002223       1.90317535       1.34705043    
       26820   1.31369567       1.90317535       1.34916186    
       26880   1.31580436       1.90684378       1.35088348    
       26940   1.31799996       1.90684378       1.35256016    
       27000   1.31908894       1.90983272       1.35390210    
       27060   1.32336962       1.90983272       1.35486376    
       27120   1.32717395       1.91161954       1.35605359    
       27180   1.32923913       1.91161954       1.35707879    
       27240   1.33493328       1.91273379       1.35810328    
       27300   1.33339131       1.91273379       1.35893023    
       27360   1.33626091       1.91418540       1.35996711    
       27420   1.33602178       1.91418540       1.36128223    
       27480   1.33720005       1.91582835       1.36303854    
       27540   1.33521736       1.91582835       1.36533964    
       27600   1.32573915       1.91695857       1.36756623    
       27660   1.31419563       1.91695857       1.36977768    
       27720   1.30508888       1.91941905       1.37198150    
       27780   1.29246664       1.91941905       1.37443078    
       27840   1.28815222       1.92210495       1.37721729    
       27900   1.27860868       1.92210495       1.38012636    
       27960   1.27613330       1.92384875       1.38319767    
       28020   1.27522218       1.92384875       1.38597131    
       28080   1.27817392       1.92580891       1.38838947    
       28140   1.27860868       1.92580891       1.39082921    
       28200   1.28006661       1.92785966       1.39325023    
       28260   1.27557778       1.92785966       1.39567792    
       28320   1.27102172       1.92875862       1.39805782    
       28380   1.26454353       1.92875862       1.40044677    
       28440   1.25944448       1.93002439       1.40283322    
       28500   1.25702226       1.93002439       1.40525818    
       28560   1.25441301       1.93166804       1.40761542    
       28620   1.24860871       1.93166804       1.41024494    
       28680   1.24737775       1.93283069       1.24047446    
       28740   1.24144447       1.93283069       1.23588562    
       28800   1.23952174       1.93399453       1.23179340    
       28860   1.22697830       1.93399453       1.22824895    
       28920   1.22528887       1.93470025       1.22435713    
       28980   1.21899998       1.93470025       1.22059643    
       29040   1.21784782       1.93480241       1.21594977    
       29100   1.21097827       1.93480241       1.21059668    
       29160   1.20924449       1.93366933       1.20508540    
       29220   1.20397782       1.93366933       1.20015478    
       29280   1.19826090       1.93059027       1.19600272    
       29340   1.19017386       1.93059027       1.19284534    
       29400   1.18626666       1.92855942       1.19055665    
       29460   1.17862225       1.92855942       1.18925166    
       29520   1.17473912       1.92735302       1.18813896    
       29580   1.17189133       1.92735302       1.18705630    
       29640   1.17117774       1.92744720       1.18516707    
       29700   1.16565216       1.92744720       1.18274999    
       29760   1.15445650       1.92729712       1.17981231    
       29820   1.14676082       1.92729712       1.17627788    
       29880   1.14262223       1.92441285       1.17269456    
       29940   1.13856518       1.92441285       1.16923416    
       30000   1.13182604       1.92090166       1.16577458    
       30060   1.13078260       1.92090166       1.16299188    
       30120   1.13082218       1.91884100       1.16098726    
       30180   1.12482607       1.91884100       1.15896857    
       30240   1.11656523       1.91740859       1.15777314    
