 20190106
 Seconds  Measures(GLF-%)  Meso-NH(GLF-%)  FORECAST_AR(GLF-%)
       32280   16.5149994       33.4799080       17.3500004    
       32340   16.5149994       33.4799080       17.3500004    
       32400   17.2124996       33.3823204       17.3500004    
       32460   17.9925003       33.3823204       17.3500004    
       32520   18.7350006       33.0814056       17.3500004    
       32580   18.7350006       33.0814056       17.3500004    
       32640   19.9225006       32.7756042       17.3500004    
       32700   20.3875008       32.7756042       17.3500004    
       32760   20.9609756       32.6921387       17.3500004    
       32820   21.3974991       32.6921387       17.3500004    
       32880   20.8624992       32.5272484       17.3500004    
       32940   20.5825005       32.5272484       17.3500004    
       33000   20.6951218       32.0943451       17.3500004    
       33060   20.5450001       32.0943451       17.3500004    
       33120   21.4099998       31.6676636       17.3500004    
       33180   21.6175003       31.6676636       17.3500004    
       33240   21.4439030       31.5014133       17.3500004    
       33300   21.6900005       31.5014133       17.3500004    
       33360   22.3449993       31.4287510       17.3500004    
       33420   22.6399994       31.4287510       17.3500004    
       33480   22.5487804       31.3826542       17.3500004    
       33540   22.9200001       31.3826542       17.3500004    
       33600   23.2525005       31.4436207       17.3500004    
       33660   23.3780479       31.4436207       17.3500004    
       33720   23.5904770       31.4268188       17.3500004    
       33780   23.5904770       31.4268188       17.3500004    
       33840   23.7209301       31.3850269       17.3500004    
       33900   23.6045456       31.3850269       17.3500004    
       33960   23.6045456       31.5887089       17.3500004    
       34020   23.6045456       31.5887089       17.3500004    
       34080   23.6045456       32.0197296       17.3500004    
       34140   23.5818176       32.0197296       17.3500004    
       34200   23.4545460       32.4083748       17.3500004    
       34260   23.5795460       32.4083748       17.3500004    
       34320   23.5795460       32.6846848       17.3500004    
       34380   23.7772732       32.6846848       17.3500004    
       34440   24.2795448       32.8760033       17.3500004    
       34500   24.3340912       32.8760033       17.3500004    
       34560   24.3340912       33.2271347       17.3500004    
       34620   24.4954548       33.2271347       17.3500004    
       34680   24.8227272       33.7698669       17.3500004    
       34740   24.5227280       33.7698669       17.3500004    
       34800   24.5227280       34.3221359       17.3500004    
       34860   24.3022728       34.3221359       17.3500004    
       34920   24.0249996       34.8435974       17.3500004    
       34980   23.7659092       34.8435974       17.3500004    
       35040   23.7659092       35.2975273       17.3500004    
       35100   24.0727272       35.2975273       17.3500004    
       35160   24.6068172       35.7788429       17.3500004    
       35220   24.5886364       35.7788429       17.3500004    
       35280   24.5886364       36.1898460       17.3500004    
       35340   24.5249996       36.1898460       17.3500004    
       35400   24.5906982       36.4044266       17.3500004    
       35460   24.4604645       36.4044266       17.3500004    
       35520   24.5295448       36.6828346       17.3500004    
       35580   25.1068172       36.6828346       17.3500004    
       35640   25.5162792       36.9712601       17.3500004    
       35700   25.8209305       36.9712601       17.3500004    
       35760   25.9954548       37.1086159       17.3500004    
       35820   26.1727276       37.1086159       17.3500004    
       35880   26.3999996       37.1433716       12.3000002    
       35940   26.4186039       37.1433716       12.3000002    
       36000   26.4181824       37.1387939       12.3000002    
       36060   26.3767433       37.1387939       12.3000002    
       36120   26.0441856       37.1302490       12.3000002    
       36180   25.9395351       37.1302490       12.3000002    
       36240   26.2090912       37.1568375       12.3000002    
       36300   25.6790695       37.1568375       12.3000002    
       36360   25.8255806       37.4576950       12.3000002    
       36420   25.6209297       37.4576950       12.3000002    
       36480   25.5818176       38.1971283       12.3000002    
       36540   25.4372101       38.1971283       12.3000002    
       36600   25.5767441       39.1906738       12.3000002    
       36660   25.4488373       39.1906738       12.3000002    
       36720   25.2068176       40.1103401       12.3000002    
       36780   24.4363632       40.1103401       12.3000002    
       36840   24.5139542       40.8575363       12.3000002    
       36900   24.7523804       40.8575363       12.3000002    
       36960   24.8325577       41.2597237       12.3000002    
       37020   24.7604656       41.2597237       12.3000002    
       37080   24.5651169       41.4217949       12.3000002    
       37140   24.7000008       41.4217949       12.3000002    
       37200   24.3744183       41.6048164       12.3000002    
       37260   24.2279072       41.6048164       12.3000002    
       37320   24.1023254       41.8057251       12.3000002    
       37380   23.9906979       41.8057251       12.3000002    
       37440   23.9906979       42.0582199       12.3000002    
       37500   23.9116287       42.0582199       12.3000002    
       37560   23.8697681       42.0963364       12.3000002    
       37620   23.8697681       42.0963364       12.3000002    
       37680   24.0227280       41.8722420       12.3000002    
       37740   24.2199993       41.8722420       12.3000002    
       37800   24.4909096       41.6217575       12.3000002    
       37860   24.4772720       41.6217575       12.3000002    
       37920   24.8931828       41.4061890       12.3000002    
       37980   25.2888889       41.4061890       12.3000002    
       38040   25.0727272       41.3061447       12.3000002    
       38100   25.0795460       41.3061447       12.3000002    
       38160   25.1613636       41.3743439       12.3000002    
       38220   25.4866657       41.3743439       12.3000002    
       38280   25.3444443       41.3219566       12.3000002    
       38340   25.2113628       41.3219566       12.3000002    
       38400   25.8022728       41.1635323       12.3000002    
       38460   25.4133339       41.1635323       12.3000002    
       38520   25.3822231       40.6871033       12.3000002    
       38580   25.6340904       40.6871033       12.3000002    
       38640   25.9818172       40.3422318       12.3000002    
       38700   26.1088886       40.3422318       12.3000002    
       38760   25.9111118       40.2575836       12.3000002    
       38820   25.8886356       40.2575836       12.3000002    
       38880   26.4295464       40.3844185       12.3000002    
       38940   26.6733341       40.3844185       12.3000002    
       39000   26.5044441       40.5348778       12.3000002    
       39060   26.5044441       40.5348778       12.3000002    
       39120   26.7977772       40.6904106       12.3000002    
       39180   26.9288883       40.6904106       12.3000002    
       39240   26.7844448       40.9552040       12.3000002    
       39300   26.7844448       40.9552040       12.3000002    
       39360   26.3999996       41.2954216       12.3000002    
       39420   25.8733330       41.2954216       12.3000002    
       39480   25.1244450       41.6273613       18.7000008    
       39540   25.1244450       41.6273613       18.7000008    
       39600   24.3688889       41.8461723       18.7000008    
       39660   23.9666672       41.8461723       18.7000008    
       39720   23.8239136       42.1447220       18.7000008    
       39780   23.9488888       42.1447220       18.7000008    
       39840   23.8622227       42.5958481       18.7000008    
       39900   23.6422215       42.5958481       18.7000008    
       39960   23.2521744       43.0231857       18.7000008    
       40020   23.1733341       43.0231857       18.7000008    
       40080   22.7155552       43.1774254       18.7000008    
       40140   22.2600002       43.1774254       18.7000008    
       40200   22.4478264       42.8695259       18.7000008    
       40260   22.3199997       42.8695259       18.7000008    
       40320   22.1200008       42.3519249       18.7000008    
       40380   21.9222221       42.3519249       18.7000008    
       40440   22.2409096       41.9976196       18.7000008    
       40500   22.4355564       41.9976196       18.7000008    
       40560   22.5065212       41.7956161       18.7000008    
       40620   22.2021732       41.7956161       18.7000008    
       40680   22.0866661       41.7693672       18.7000008    
       40740   21.9911118       41.7693672       18.7000008    
       40800   22.2000008       41.9466324       18.7000008    
       40860   22.4304352       41.9466324       18.7000008    
       40920   22.5444450       42.1181374       18.7000008    
       40980   22.2088890       42.1181374       18.7000008    
       41040   21.7244453       42.1023979       18.7000008    
       41100   21.5847836       42.1023979       18.7000008    
       41160   21.4911118       41.8610153       18.7000008    
       41220   21.7600002       41.8610153       18.7000008    
       41280   21.9326096       41.6639786       18.7000008    
       41340   21.7869568       41.6639786       18.7000008    
       41400   21.5400009       41.5685120       18.7000008    
       41460   21.4586964       41.5685120       18.7000008    
       41520   21.7195644       41.6378746       18.7000008    
       41580   21.3999996       41.6378746       18.7000008    
       41640   20.8311119       42.0110359       18.7000008    
       41700   20.9347820       42.0110359       18.7000008    
       41760   20.7239132       42.2055359       18.7000008    
       41820   20.5311108       42.2055359       18.7000008    
       41880   20.3911114       41.6790962       18.7000008    
       41940   20.4955559       41.6790962       18.7000008    
       42000   21.1086960       41.4197273       18.7000008    
       42060   21.4891300       41.4197273       18.7000008    
       42120   21.7822227       41.2141342       18.7000008    
       42180   22.3400002       41.2141342       18.7000008    
       42240   22.7326088       41.1931572       18.7000008    
       42300   23.1108704       41.1931572       18.7000008    
       42360   22.9200001       41.0165787       18.7000008    
       42420   23.4711113       41.0165787       18.7000008    
       42480   23.4711113       40.7510185       18.7000008    
       42540   23.4355564       40.7510185       18.7000008    
       42600   23.1181812       40.4111252       18.7000008    
       42660   23.3204536       40.4111252       18.7000008    
       42720   23.4711113       40.3083458       18.7000008    
       42780   23.5599995       40.3083458       18.7000008    
       42840   24.0000000       40.4998741       18.7000008    
       42900   23.8840904       40.4998741       18.7000008    
       42960   24.1222229       40.4934158       18.7000008    
       43020   24.4822216       40.4934158       18.7000008    
       43080   25.4666672       40.3719482       25.5000000    
       43140   26.0295448       40.3719482       25.5000000    
       43200   26.3844452       40.1865463       25.5000000    
       43260   27.4177780       40.1865463       25.5000000    
       43320   28.2044449       40.0324211       25.5000000    
       43380   28.4500008       40.0324211       25.5000000    
       43440   28.6466675       39.9343185       25.5000000    
       43500   29.3911114       39.9343185       25.5000000    
       43560   30.0911102       39.6613350       25.5000000    
       43620   30.6454544       39.6613350       25.5000000    
       43680   31.2444439       39.3419228       25.5000000    
       43740   31.6250000       39.3419228       25.5000000    
       43800   32.9749985       39.3015366       25.5000000    
       43860   33.9659081       39.3015366       25.5000000    
       43920   34.6733322       39.2909698       25.5000000    
       43980   35.2181816       39.2909698       25.5000000    
       44040   36.8022728       39.2471428       25.5000000    
       44100   37.7111130       39.2471428       25.5000000    
       44160   38.6355553       39.2016068       25.5000000    
       44220   38.9295464       39.2016068       25.5000000    
       44280   40.3909073       39.1845360       25.5000000    
       44340   41.2111130       39.1845360       25.5000000    
       44400   42.9111099       39.1195450       25.5000000    
       44460   43.1681824       39.1195450       25.5000000    
       44520   43.6767426       39.0180321       25.5000000    
       44580   43.6767426       39.0180321       25.5000000    
       44640   45.1697693       38.7015419       25.5000000    
       44700   46.4930229       38.7015419       25.5000000    
       44760   47.2357140       37.9778214       25.5000000    
       44820   47.6860466       37.9778214       25.5000000    
       44880   48.3906975       37.5667992       25.5000000    
       44940   49.2999992       37.5667992       25.5000000    
       45000   49.9047623       37.6519852       25.5000000    
       45060   50.2186050       37.6519852       25.5000000    
       45120   51.5441856       37.7428551       25.5000000    
       45180   52.5325584       37.7428551       25.5000000    
       45240   52.5325584       37.6048965       25.5000000    
       45300   53.3697662       37.6048965       25.5000000    
       45360   54.3186035       37.2737770       25.5000000    
       45420   55.0744171       37.2737770       25.5000000    
       45480   55.0744171       37.1880569       25.5000000    
       45540   56.0837212       37.1880569       25.5000000    
       45600   57.0465126       37.7242851       25.5000000    
       45660   57.2139549       37.7242851       25.5000000    
       45720   57.3476181       38.0848503       25.5000000    
       45780   57.6186028       38.0848503       25.5000000    
       45840   58.0906982       38.3225822       25.5000000    
       45900   58.6906967       38.3225822       25.5000000    
       45960   59.0571442       38.4050560       25.5000000    
       46020   59.2627907       38.4050560       25.5000000    
       46080   59.6720924       38.2500916       25.5000000    
       46140   59.5999985       38.2500916       25.5000000    
       46200   60.2581406       38.2123833       25.5000000    
       46260   60.4659081       38.2123833       25.5000000    
       46320   61.4545441       38.0844994       25.5000000    
       46380   62.3159103       38.0844994       25.5000000    
       46440   63.2454529       37.8644028       25.5000000    
       46500   63.4790688       37.8644028       25.5000000    
       46560   63.4681816       37.4070015       25.5000000    
       46620   64.2613602       37.4070015       25.5000000    
       46680   64.8681793       37.2094078       20.8500004    
       46740   65.1186066       37.2094078       20.8500004    
       46800   65.1840897       37.4093971       20.8500004    
       46860   65.7318192       37.4093971       20.8500004    
       46920   66.1727295       37.9007149       20.8500004    
       46980   66.6953506       37.9007149       20.8500004    
       47040   66.6568146       38.8662910       20.8500004    
       47100   67.4863663       38.8662910       20.8500004    
       47160   67.6636353       39.7830658       20.8500004    
       47220   67.8558121       39.7830658       20.8500004    
       47280   67.7454529       40.7454147       20.8500004    
       47340   67.8159103       40.7454147       20.8500004    
       47400   67.7066650       41.8791046       20.8500004    
       47460   67.8181839       41.8791046       20.8500004    
       47520   67.6545486       42.8494720       20.8500004    
       47580   67.7909088       42.8494720       20.8500004    
       47640   67.7909088       43.8387260       20.8500004    
       47700   67.7409058       43.8387260       20.8500004    
       47760   67.5159073       44.7917824       20.8500004    
       47820   67.6045456       44.7917824       20.8500004    
       47880   67.8088913       45.7795334       20.8500004    
       47940   67.5659103       45.7795334       20.8500004    
       48000   67.4636383       46.5796242       20.8500004    
       48060   66.9767456       46.5796242       20.8500004    
       48120   67.1113663       47.4866867       20.8500004    
       48180   67.2377777       47.4866867       20.8500004    
       48240   67.3652191       48.3802032       20.8500004    
       48300   67.2600021       48.3802032       20.8500004    
       48360   67.5088882       49.3972511       20.8500004    
       48420   67.4956512       49.3972511       20.8500004    
       48480   67.5826111       51.0245361       20.8500004    
